stem	title	real	ghosts	ghost_nums	pattern
chousen-shikaku	挑戦資格	3	4	[6, 7, 8, 9]	連番
hajime-ningen-gon	はじめ人間ゴン	1	5	[2, 3, 4, 5, 7]	連番
hana-1996	花	2	7	[5, 7, 8, 10, 14, 17, 21]	飛び番
hana-2005	花	1	8	[2, 5, 7, 8, 10, 14, 17, 21]	飛び番
hana-takeda-1988	花	2	7	[5, 7, 8, 10, 14, 17, 21]	飛び番
juudousanka	柔道讃歌	6	9	[7, 8, 9, 10, 12, 13, 14, 15]	連番
kaikyaku-sengen	海客宣言	1	3	[12, 14, 15]	連番
kuroi-kizuato-no-otoko	黒い傷痕の男	2	3	[2, 8, 9]	飛び番
kusakabesho-meikyuuka-omiya-san	草壁署迷宮課おみやさん	3	4	[1, 2, 3, 4]	連番
kutabare-namida-kun	くたばれ!!涙くん	1	3	[3, 4, 5]	連番
matenrou	摩天楼	5	8	[6, 7, 8, 10, 11, 12, 13, 14]	連番
nagareita-ryuuji	流れ板竜二	2	5	[7, 8, 9, 10, 11]	連番
nanairo-kamen	七色仮面	3	4	[4, 5, 6, 7]	連番
norakuro-buyuudan	のらくろ武勇談	1	3	[3, 4, 5]	連番
norakuro-gochou	のらくろ伍長	1	3	[4, 5, 6]	連番
norakuro-gunsou	のらくろ軍曹	1	3	[4, 5, 6]	連番
norakuro-joutouhei	のらくろ上等兵	1	3	[3, 4, 5]	連番
norakuro-shoui	のらくろ少尉	1	3	[4, 5, 6]	連番
norakuro-shoutaichou	のらくろ小隊長	1	3	[3, 4, 5]	連番
roboko-san	ロボ子さん	1	3	[2, 3, 4]	連番
robot-kun	ロボットくん	2	3	[2, 4, 5]	連番
robot-santou-hei	ロボット三等兵	3	6	[4, 4, 5, 6, 7, 9]	連番
seishun	青春	1	17	[2, 4, 7, 19, 20, 22, 23, 25]	飛び番
shounen-jet	少年ジェット	4	6	[1, 2, 3, 4, 5, 6]	連番
thrill-kun	スリルくん	1	8	[2, 3, 4, 5, 6, 7, 8, 9]	連番
yotarou-kun	よたろうくん	1	10	[2, 3, 4, 5, 6, 7, 8, 9]	連番
zenigata-heiji-torimonohikae	銭形平次捕物控	5	15	[1, 2, 4, 5, 6, 7, 8, 9]	連番
