class	slug	title	vols	imprint	publisher	evidence	recommend
再録選集	golgo-13-shorty	ゴルゴ13 shorty	8	SPコミックス. SP pocket wide	リイド社	楽天題「ゴルゴ13 SHORTY 特殊条件下の狙撃/ノー・クライアント/強敵現る…!?」ser=SPコミックス ポケットワイド。本編既刊のテーマ別再録	★適用済(2026-09-02 drop)
再録選集	golgo-13-characters	ゴルゴ13 characters	4	SPコミックス. SP pocket wide	リイド社	楽天題「ゴルゴ13 CHARACTERS ゴルゴ13を追う男/英国秘密情報部の騎士/巻き込まれる男たち」= 登場人物別の再録	★適用済(2026-09-02 drop)
再録選集	golgo-13-best-of-200	ゴルゴ13 best of 200	4	SPコミックス	リイド社	楽天題「ゴルゴ13 BEST OF 200 不可能へ/世界を変える一撃/前人未到の伝説へ」= 200巻到達記念の傑作選	★適用済(2026-09-02 drop)
再録選集	golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	5	BIG COMICS SPECIAL	小学館	楽天CAP「大人気の“ルーツ編”を集大成するシリーズ第2集」「沖吾郎作品を全て収録」= 既刊の再編集。ただし「発表時に近い新編集」と明記あり	★適用済(2026-09-02 drop)
再録選集	gendaishi-no-naka-no-golgo-13	現代史の中のゴルゴ13	2	SP pocket wide	リイド社	楽天題/subTitle「第二次世界大戦の亡霊」「燻る火種と中東情勢」= 現代史テーマ別の再録	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-black	Legend ofゴルゴ13 black	1	SPコミックス	リイド社	NDL「Legend ofゴルゴ13 black」2021.4。同シリーズ6点はいずれもリイド社SP系のテーマ別再録	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-white	Legend ofゴルゴ13 white	1	SPコミックス	リイド社	同上(2021.4刊、black と対)	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-assassin-rose	Legend of ゴルゴ13 アサシン・ローズ	1	SP pocket wide	リイド社	同シリーズ。楽天/NDLとも書誌薄いがimprintと題形式が一致	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-cross-of-iron	Legend ofゴルゴ13クロス・オブ・アイアン	1	SP pocket wide	リイド社	同シリーズ	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-the-best-4	Legend ofゴルゴ13ザ・ベスト4	1	SP pocket wide	リイド社	NDL「Legend ofゴルゴ13ザ・ベスト4」2022.9。題に「ザ・ベスト」	★適用済(2026-09-02 drop)
再録選集	legend-of-golgo-13-the-red-star	Legend ofゴルゴ13ザ・レッドスター	1	SP pocket wide	リイド社	同シリーズ(2022.9)	★適用済(2026-09-02 drop)
再録選集(二重)	readers-choice-best-13-of-golgo-13	リーダーズ・チョイスbest 13 ofゴルゴ13	1	None	小学館	2002年版。読者投票で選ばれた13作の傑作選	★適用済(2026-09-02 drop)
