tier	slug	stem	title	reason	lost_n	lost_isbn
20-29	ai-to-makoto	ai-to-makoto	愛と誠	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	2	9784063600766 9784063600858
20-29	chiisana-koi-no-monogatari	chiisana-koi-no-monogatari		主版候補の中で既に47年逆行(1 edition内が混成=要人手)		
20-29	choujin-locke	choujin-locke		版が14本(多すぎ=要人手)		
20-29	genji-monogatari-miyagi	genji-monogatari-miyagi-2010		版が19本(多すぎ=要人手)		
20-29	harris-no-kaze	harris-no-kaze		主版候補の中で既に22年逆行(1 edition内が混成=要人手)		
20-29	kamen-rider	kamen-rider		版が15本(多すぎ=要人手)		
20-29	kyojin-no-hoshi	kyojin-no-hoshi	巨人の星	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	11	9784062600811 9784062600828 9784062600835 9784062600842 9784062600859 9784062601030 9784062601047 9784062601054
20-29	love-pack	love-pack	ラブパック	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	2	9784063604306 9784063604313
20-29	makai-tenshou	makai-tenshou	魔界転生	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	1	9784845856800
20-29	makaitensei	makaitensei	魔界転生	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	1	9784845856800
20-29	ninja-bugeichou-kagemaruden	ninja-bugeichou-kagemaruden	忍者武芸帳〈影丸伝〉	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	1	9784091922076
20-29	notari-matsutarou	notari-matsutarou	のたり松太郎	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	2	9784091802231 9784091802262
20-29	sasuke	sasuke	サスケ	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	8	9784091921024 9784091921048 9784091921055 9784091921062 9784091921079 9784091921086 9784091921093 9784091921109
20-29	shidenkai-no-taka	shidenkai-no-taka	紫電改のタカ	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	4	9784062607964 9784062607971 9784062607988 9784062607995
20-29	shin-agatte-nanbo-taichiyo-nakuna	shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	1	9784883154357
20-29	stop-hibari-kun	stop-hibari-kun	ストップ!!ひばりくん!	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	3	9784778031190 9784778031206 9784778031213
20-29	suikoden	suikoden		版が15本(多すぎ=要人手)		
20-29	suikoden-sentaro	suikoden-sentaro-1980		版が15本(多すぎ=要人手)		
20-29	ten	ten	天	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	9	9784801953369 9784801953598 9784801953772 9784801954106 9784801954328 9784801954458 9784801954656 9784801954861
20-29	tensai-bakabon	tensai-bakabon	天才バカボン	自動生成すると本番から巻(ISBN)が消える=種2から辿れない版が頁に載っている	6	9784063127638 9784063127645 9784063127652 9784063127669 9784063127676 9784063127706
20-29	yabou	yabou		主版候補の中で既に22年逆行(1 edition内が混成=要人手)		
