slug	title	authors	canonical済	worst	page_shape	cluster_shape
1-2-3-to-4-5-roku	1・2・3と4・5・ロク	ちばてつや		28年 bunkobon 1巻(2005-11)→3巻(1977-03)	bunkobon[文庫版]/ちばてつや漫画文庫 3冊 1977-03〜2005-11 ; standard[通常版]/虫コミックス 7冊 1981-06-10〜1981-06-20	sid37076/ed44146 bunkobon[ちばてつや漫画文庫] 3冊 1977-02〜1977-03 ISBN0 || sid37076/ed44147 standard[講談社コミックスフレンド] 3冊 1981-06〜1981-06-20 ISBN3 || sid37076/ed44148 standard[ちばてつや全集] 2冊 1997-11〜1997-12 ISBN2 || sid37076/ed44149 bunkobon[双葉文庫・名作シリーズ] 2冊 2005-11〜2005-11 ISBN2 || sid37076/ed44150 standard[母と娘でみる漫画名作館] 2冊 1987-11-25〜1987-11-25 ISBN2 || sid37076/ed44151 standard[ホーム・コミックス] 3冊 1975-06〜1975-06 ISBN0 || sid37076/ed44152 standard[My first big special] 2冊 2016-01-20〜2016-02-17 ISBN2 || sid37076/ed44153 standard[MUSHI COMICS] 2冊 1970-01〜1970-02-28 ISBN0 || sid37076/ed44154 standard[虫コミックス] 1冊 1969-12-30〜1969-12-30 ISBN0
99-suikan-super-99	潜水艦スーパー99	松本零士		25年 bunkobon 1巻(2002-08)→2巻(1977-11)	bunkobon[文庫版]/秋田漫画文庫 2冊 1977-11〜2002-08 ; standard[通常版]/SUNDAY COMICS 2冊 1997-08-05〜1997-09-01	sid43551/ed52940 standard[SUNDAY COMICS] 2冊 1997-08-05〜1997-09-01 ISBN2 || sid43551/ed52941 bunkobon[秋田漫画文庫] 2冊 1977-10〜1977-11 ISBN0 || sid43551/ed52942 bunkobon[秋田文庫] 1冊 2002-08〜2002-08 ISBN1
ace-o-nerae	エースをねらえ!	山本鈴美香		23年 standard 1巻(2002-06)→11巻(1979-01)	standard[通常版]/マーガレットコミックス 18冊 1979-01〜2002-10 ; bunkobon[文庫版]/集英社漫画文庫 18冊 1981-07-25〜1995-10-18 ; aizoban[愛蔵版]/中央公論社愛蔵版 4冊 1989-07-01〜1989-12-20	sid36975/ed44015 standard[マーガレットコミックス] 14冊 1975-06-20〜1980-04 ISBN0 || sid36975/ed44016 bunkobon[集英社漫画文庫] 18冊 1978-12-31〜1981-08-25 ISBN0 || sid36975/ed44017 bunkobon[中公文庫コミック版] 14冊 1994-10-18〜1995-10-18 ISBN14 || sid36975/ed44018 standard[HMB] 10冊 2002-06〜2002-10 ISBN10 || sid36975/ed44019 aizoban[中央公論社愛蔵版] 4冊 1989-07〜1989-12 ISBN4 || sid36975/ed44020 standard[-] 6冊 -〜- ISBN6 || sid139407/ed156955 standard[マーガレットコミックス] 19冊 1973-09-20〜1980-06-30 ISBN0
ai-no-aranjuez	愛のアランフェス	槇村さとる・横森理香		24年 standard 4巻(2004-04)→6巻(1980-10)	standard[通常版]/マーガレットコミックス 7冊 1980-10〜2004-06 ; bunkobon[文庫版]/集英社文庫 コミック版 4冊 1996-09-23〜1996-11-20	sid20560/ed24201 standard[Queen's comics premium] 5冊 2003-12〜2004-06 ISBN5 || sid20560/ed24202 standard[Shueisha girls comics] 3冊 1989-09〜1989-12 ISBN3 || sid20560/ed24203 bunkobon[集英社文庫 コミック版] 4冊 1996-09-23〜1996-11-20 ISBN4 || sid154895/ed172809 standard[マーガレットコミックス] 7冊 1979-06-30〜1980-11-30 ISBN0
ai-to-makoto	愛と誠	ながやす巧		23年 bunkobon 1巻(2001-05)→11巻(1978-04)	standard[通常版]/講談社コミックス 16冊 1975-07-25〜1986-06-06 ; bunkobon[文庫版]/講談社漫画文庫 16冊 1978-04〜2001-09-12 ; deluxe[デラックス版]/KCデラックス 10冊 1995-03-23〜1995-12-18	sid144/ed218 standard[講談社コミックススペシャル] 3冊 1986-02-06〜1986-03-06 ISBN3 || sid144/ed219 bunkobon[講談社漫画文庫] 26冊 1977-08〜2001-09 ISBN10 || sid144/ed220 standard[講談社コミックス] 16冊 1973-11〜1976-09-15 ISBN0 || sid144/ed221 standard[KCスペシャル] 1冊 -〜- ISBN1 || sid125318/ed142310 standard[講談社プラチナコミックス] 6冊 2012-05〜2012-07 ISBN6 || sid125318/ed142311 standard[KCスペシャル] 6冊 1986-04-05〜1986-06-06 ISBN6 || sid125318/ed142312 deluxe[KCデラックス] 9冊 1995-04-21〜1995-12-18 ISBN9 || sid125318/ed142313 standard[KPC] 8冊 2004-03〜2004-06 ISBN8 || sid125318/ed142314 deluxe[デラックスコミックス] 1冊 -〜- ISBN1
akabee	赤兵衛	黒鉄ヒロシ		24年 standard 1巻(2003-06-20)→2巻(1979-03)	bunkobon[文庫版]/立風漫画文庫 4冊 1977-10〜1981-01-15 ; standard[通常版]/黒鉄ヒロシ傑作集5 2冊 1979-03〜2003-06-20	sid30701/ed35983 standard[黒鉄ヒロシ傑作集] 1冊 1979-03〜1979-03 ISBN0 || sid30701/ed35984 bunkobon[立風漫画文庫] 4冊 1977-10〜1981-01-15 ISBN0 || sid30701/ed35985 standard[-] 1冊 2003-06〜2003-06 ISBN1 || sid30701/ed35986 standard[黒鉄ヒロシ傑作集5] 1冊 1974-12-15〜1974-12-15 ISBN0
aoi-sora-o-shiroi-kumo-ga-kaketetta	青い空を、白い雲がかけてった	あすなひろし		25年 standard 1巻(2004-07-07)→2巻(1979-05-25)	standard[通常版]/少年チャンピオンコミックス 3冊 1979-05-25〜2004-07-07 ; bunkobon[文庫版]/ビームコミックス文庫 2冊 2008-03〜2008-03	sid2627/ed3180 standard[少年チャンピオンコミックス] 3冊 1978-06-10〜1981-02-15 ISBN0 || sid2627/ed3181 bunkobon[ビームコミックス文庫] 2冊 2008-03〜2008-03 ISBN2 || sid2627/ed3182 standard[BEAM COMIX] 1冊 2004-07-07〜2004-07-07 ISBN1
arion	アリオン	安彦良和		23年 standard 1巻(2004-04-20)→2巻(1981-06-05)	standard[通常版]/アニメージュコミックス 5冊 1981-06-05〜2004-04-20 ; deluxe[デラックス版]/アニメージュコミックスデラックス 3冊 1986-01-01〜1986-01-01 ; bunkobon[文庫版]/中公文庫コミック版 4冊 1997-02-18〜1997-03-18	sid343/ed491 standard[アニメージュコミックス] 5冊 1980-11-10〜1985-01-10 ISBN0 || sid343/ed492 bunkobon[中公文庫コミック版] 4冊 1997-02〜1997-03 ISBN4 || sid343/ed493 deluxe[アニメージュコミックスデラックス] 3冊 1986-01-01〜1986-01-01 ISBN0 || sid343/ed494 standard[アイランドコミックスPRIMO] 1冊 -〜- ISBN1 || sid73095/ed87486 standard[ジ・アニメフィルムコミックス] 2冊 1986-04〜1986-04 ISBN2
ashita-kagayaku	あした輝く	里中満智子		21年 bunkobon 1巻(1998-09)→4巻(1977-02)	(本番yml無し)	
attack-no-1	アタックNo.1	浦野千賀子		25年 standard 3巻(1995-02-28)→9巻(1970-09-20)	standard[通常版]/マーガレットコミックス 12冊 1970-09-20〜1995-07-12 ; bunkobon[文庫版]/集英社漫画文庫 12冊 1984-01〜1984-06-25	sid22121/ed26027 standard[マーガレットコミックス] 12冊 1969-04-20〜1971-04-20 ISBN0 || sid22121/ed26028 bunkobon[集英社漫画文庫] 12冊 1984-01〜1984-06-25 ISBN12 || sid22121/ed26029 standard[漫画名作館] 8冊 1994-11-10〜1995-07-12 ISBN8
