file	slug	rakuten_kana	reason
3senchimentaru	3senchimentaru	サン センチメンタル	ALIGN_FAIL
ablovecadabra	ablovecadabra	アブラブカダブラ　イチ	ALIGN_FAIL
abunoomarukei-joshi	abunoomarukei-joshi	アブ ノーマルケイ ジョシ	ALIGN_FAIL
aburakadabura	aburakadabura	アブラカダブラ リョウキハンザイトクソウシツ	ALIGN_FAIL
ahogenomu	ahogenomu	アホゲノム　ザムザカサタニックヘアー　イチ	ALIGN_FAIL
aikodesho	aikodesho	ヒマワリ ヨウチエン モノガタリ アイコ デショ	ALIGN_FAIL
ainosenbiki	ainosenbiki	アイノセンビキ 〜ママカツシタラママガデキタハナシ〜　1	ALIGN_FAIL
akanbeetenshi	akanbeetenshi	アカンベエ テンシ	ALIGN_FAIL
akumagari	akumagari	アクマガリ カンヨク ノ セイテンシヘン	ALIGN_FAIL
akumazelma	akumazelma	アクマ ゼルマ	ALIGN_FAIL
alabaster	alabaster	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
alosmente	alosmente	アルオス メンテ	ALIGN_FAIL
andaadokutaa	andaadokutaa	アンダー ドクター	ALIGN_FAIL
angelic-kanbaseeshon	angelic-kanbaseeshon	アー ユー エネミー	ALIGN_FAIL
angorumoa	angorumoa	アンゴルモア　ゲンコウカッセンキ　ダイ1カン	ALIGN_FAIL
animetenchou	animetenchou	アニメ テンチョウ	ALIGN_FAIL
animunxacsys	animunxacsys	アニムン サクシス	ALIGN_FAIL
ansatsuhime	ansatsuhime	アンサツヒメ ヤイバ ノ コクヨウヒメ ワ コオリ ノ オウジ ニ トカサレル	ALIGN_FAIL
anzunosakuoto	anzunosakuoto	ウエハラ キミコ ジセンシュウ	ALIGN_FAIL
asahiyama	asahiyama	アサヒヤマ アサヒヤマ ドウブツエン モノガタリ	ALIGN_FAIL
atashihakai	atashihakai	アタシ ワ カイ	ALIGN_FAIL
atomikkutaun	atomikkutaun	アトミツク タウン	ALIGN_FAIL
autobureiku-company	autobureiku-company	アウトブレイク カンパニー モエル シンリャクシャ	ALIGN_FAIL
ayamachi-hajimemashite	ayamachi-hajimemashite	アヤマチ ハジメマシテ ゲンエキ ジョシダイセイ ト タダレタ ニクタイ カンケ	ALIGN_FAIL
ayanoshiki	ayanoshiki	アヤ ノ キセツ	ALIGN_FAIL
azumaotoko-kyouotoko	azumaotoko-kyouotoko	アズマ オトコ キョウ オトコ	ALIGN_FAIL
baafubari	baafubari	バーフバリ オウ ノ ガイセン	ALIGN_FAIL
bachihebi	bachihebi	バチヘビ マタギ ノ イノチ	ALIGN_FAIL
bachikaburi	bachikaburi	バチ カブリ マルヤマ ユウカク アイシ	ALIGN_FAIL
bakegyamon	bakegyamon	ウシオ ト トラ	ALIGN_FAIL
bakemonogatari	bakemonogatari	バケモノガタリ1 トクソウバン	ALIGN_FAIL
bakishimi	bakishimi	バキシミ 〜バキドウトシミケンガイレカワッタケン〜　1	ALIGN_FAIL
bakuchigui	bakuchigui	バクチグイ イチ	ALIGN_FAIL
bakuneyoung	bakuneyoung	バクネ ヤング	ALIGN_FAIL
baratokenjuu	baratokenjuu	バラ ト ケンジユウ	ALIGN_FAIL
bejitaberu	bejitaberu	ベジタベル イチ	ALIGN_FAIL
benitsubaki	benitsubaki	ベニツバキ　イチ	ALIGN_FAIL
besharigurashi	besharigurashi	ベシャリ グラシ	ALIGN_FAIL
biriketsu	biriketsu	ビリケツ　イチ	ALIGN_FAIL
bittersweet	bittersweet	ビター スウィート	ALIGN_FAIL
brightworks	brightworks	ミヤガワ マサヨ ブライト ワークス	ALIGN_FAIL
bugeikikou	bugeikikou	ブゲイ キコウ セイシ オ ケン ニ タクス モノ	ALIGN_FAIL
bullbuster	bullbuster	ブルバスター　イチ	ALIGN_FAIL
bureiburuu	bureiburuu	ブレイブルー　リミックスハート　1	ALIGN_FAIL
burunga1sei	burunga1sei	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
bushimeshi	bushimeshi	キンバン グルメ ブシメシ	ALIGN_FAIL
bushinden	bushinden	ブシンデン イケニエニササゲラレタオレハ、カミニヒロワレブヲキワメル 1	ALIGN_FAIL
butennokaito	butennokaito	ムテン ノ カイト	ALIGN_FAIL
byakumonogatari	byakumonogatari	ビャクモノガタリ ゼロイチ	ALIGN_FAIL
canzoniere	canzoniere	カンツォニエーレ チェーザレバンガイヘン	ALIGN_FAIL
cappuccino	cappuccino	カプチーノ　イチ	ALIGN_FAIL
celebrate	celebrate	セレブレイト イツツ ノ ハッピー ウエディング	ALIGN_FAIL
chibichuki	chibichuki	タイプムーンガクエン チビチュキ！1	ALIGN_FAIL
chidamagi	chidamagi	イトウ ジュンジ キョウフ マンガ コレクション	ALIGN_FAIL
chikyuuwonomu	chikyuuwonomu	チキュウ オ ノム	ALIGN_FAIL
chikyuuzeronen	chikyuuzeronen	チキュウ ゼロネン	ALIGN_FAIL
chinurareta-hakkinbon	chinurareta-hakkinbon	マンガ グリム ドウワ	ALIGN_FAIL
chitoseoni	chitoseoni	チトセオニ　イチ	ALIGN_FAIL
choudenjitaisen-bikutoriifaibu	choudenjitaisen-bikutoriifaibu	チョウデンジ タイセン ビクトリー ファイブ	ALIGN_FAIL
choujintaikei	choujintaikei	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
chouonsoku-suupaasonikku	chouonsoku-suupaasonikku	チョウオンソク スーパー ソニック	ALIGN_FAIL
chousensuikan-shutsugeki	chousensuikan-shutsugeki	チョウ センスイカン シュツゲキ	ALIGN_FAIL
chousenteki-heiwaron	chousenteki-heiwaron	チョウセンテキ ヘイワ ロン	ALIGN_FAIL
