tier	slug	title	canonical	publisher	merged	years	overlap	eiA	typeA	labelA	imprintA	volsA	eiB	typeB	labelB	imprintB	volsB
B	blue-sakisaka-2006	BLUE	有	小学館	1-8	2010-01〜2011-12	[]	0	standard	通常版	Sho-Comiフラワーコミックス	[1, 2, 3, 4, 5, 8]	1	shinsoban	フラワーコミックス	フラワーコミックス	[6, 7]
B	isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	有	集英社	8-17	1983-06〜1985-06	[12]	1	shinsoban	ヤングジャンプ・コミックス	ヤングジャンプ・コミックス	[8, 9, 10, 11, 12, 13, 15, 16]	3	shinsoban	集英社版	集英社版	[12, 14, 17]
B	ore-no-sora-keiji-hen	俺の空 刑事編	有	集英社	1-11	1980-10〜1997-04	[]	0	standard	通常版	ヤングジャンプ・コミックス	[1, 2, 3, 4, 5, 6, 7]	2	bunkobon	集英社文庫コミック版(8〜11巻)	集英社文庫 コミック版	[8, 9, 10, 11]
B	pokkapoka	ぽっかぽか	無	集英社	1-19	1988-09〜2011-08	[1]	0	standard	通常版	(空)	[1, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	1	deluxe	デラックス版	ユーコミックスデラックス	[1, 2, 3, 4, 5, 6]
B	tokugawa-kun-ga-komarasetekuru	十九川くんが困らせてくる!	無	講談社	1-6	2024-11〜2026-07	[6]	0	standard	通常版	講談社	[1, 6]	1	deluxe	デラックス版	KCデラックス	[2, 3, 4, 5, 6]
C	81-bunch-no-inu	81番地の犬	有	スコラ	1-6	1998-03〜1995-12	[]	0	standard	通常版	あおばコミックス	[3, 4, 5]	1	shinsoban	スコラレディースコミック	スコラレディースコミック	[1, 2, 6]
C	dokonjougaeru	ど根性ガエル	有	集英社	1-5	1995-11〜1978-07	[2]	3	bunkobon	集英社漫画文庫	集英社漫画文庫	[2, 3, 4, 5]	4	bunkobon	集英社文庫コミック版	集英社文庫コミック版	[1, 2]
C	go-west-2004	Go!west	有	不明	1-6	1992-08〜1993-11	[]	0	standard	通常版	Out comics	[1, 2, 3, 4]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	[5, 6]
C	hime-2006	姫	有	不明	1-4	1998-08〜1977-04	[]	0	standard	通常版	アクション・コミックス	[3, 4]	4	shinsoban	キュン!Comics	キュン!Comics	[1, 2]
C	purodeyuusaa-ni-naritai	プロデューサーになりたい	有	講談社	1-4	2004-08〜1997-02	[]	0	standard	通常版	ワイドKCミスターマガジン	[3, 4]	1	shinsoban	講談社版	講談社版	[1, 2]
C	sanada-juuyuushi	真田十勇士	有	不明	1-8	1975-12〜1976-10	[2]	0	standard	通常版	ジャンプ・テレビ・コミックス	[2, 3, 4, 5, 6, 7, 8]	1	shinsoban	ナンバーワンブックス	ナンバーワンブックス	[1, 2]
