class	isbn13	n_pages	group_shared_n	group_ratio	author_rel	isolated_side	num_mismatch	version_side	pages	group_id
WRONG_ISBN_FILL	9784253099356	2	1	20%	著者不一致				bikkuriman-omoshiro-land[ビックリマンおもしろランド] ed=standard/Movieコミックス vol=7 ed_vols=11 page_vols=11 date=1988-08-20 | bikkuriman-omoshirorando[ビックリマン おもしろランド] ed=standard/Movieコミックス vol=7 ed_vols=5 page_vols=5 date=1988-09-15	bikkuriman-omoshiro-land+bikkuriman-omoshirorando
WRONG_ISBN_FILL	9784063806205	2	1	33%	著者不一致				k-memory-of-red[K -メモリー・オブ・レッド-] ed=standard/講談社 vol=2 ed_vols=3 page_vols=3 date=2013-03-13 | k-shitsuki-1988[K] ed=standard/SPコミックス vol=2 ed_vols=2 page_vols=3 date=2013-03	k-memory-of-red+k-shitsuki-1988
WRONG_ISBN_FILL	9784757503724	2	1	50%	著者不一致				star-ocean-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.25 vol=6 ed_vols=3 page_vols=3 date=2001-01 | star-ocean-sekando-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.30 vol=6 ed_vols=2 page_vols=2 date=2001-01	star-ocean-second-story+star-ocean-sekando-story
WRONG_ISBN_FILL	9784757503830	2	1	33%	著者不一致				star-ocean-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 v.25 vol=5 ed_vols=3 page_vols=3 date=2001-01-22 | star-ocean-the-second-story[スターオーシャン セカンドストーリー] ed=standard/エニックススーパーコミック劇場 vol=5 ed_vols=7 page_vols=7 date=2001-02	star-ocean-second-story+star-ocean-the-second-story
WRONG_ISBN_FILL	9784257900757	2	1	50%	著者不一致				the-combat[ザ・コンバット] ed=standard/デュオ・セレクション・オリジナル vol=1 ed_vols=2 page_vols=2 date=1986-01 | the-konbatto[ザ・コンバット] ed=standard/デュオ・セレクション・オリジナル vol=1 ed_vols=2 page_vols=2 date=1986-01	the-combat+the-konbatto
TRIPLE_PLUS	9784253064293	3	2	67%	著者不一致				ultraman[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=9 date=1997-07-04 | ultraman-1992[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=3 date=1997-07-04 | ultraman-kazumine-1968[ウルトラマン] ed=shinsoban/秋田書店 vol=1 ed_vols=2 page_vols=6 date=1997-07-04	ultraman+ultraman-1992+ultraman-kazumine-1968
TRIPLE_PLUS	9784253064309	3	2	67%	著者不一致				ultraman[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=9 date=1997-08-01 | ultraman-1992[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=3 date=1997-08-01 | ultraman-kazumine-1968[ウルトラマン] ed=shinsoban/秋田書店 vol=2 ed_vols=2 page_vols=6 date=1997-08-01	ultraman+ultraman-1992+ultraman-kazumine-1968
TRIPLE_PLUS	9784884757397	3	1	33%	著者不一致				x-men[X-MEN] ed=standard/Bamboo comics vol=7 ed_vols=9 page_vols=21 date=1994-09 | x-men-1994[X-MEN] ed=standard/バンブーコミックス vol=7 ed_vols=11 page_vols=11 date=1994-09 | x-men-1994-4[エックスメン] ed=standard/バンブーコミックス vol=7 ed_vols=3 page_vols=3 date=1994-09-15	x-men+x-men-1994+x-men-1994-4
GRAFT_ISOLATED	9784801957794	2	2	100%	共通著者あり	bird-black-market			bird-black-maaketto[バード] ed=standard/近代麻雀コミックス vol=1 ed_vols=9 page_vols=9 date=2017-03-15 | bird-black-market[バード BLACK MARKET] ed=standard/近代麻雀コミックス vol=1 ed_vols=2 page_vols=2 date=2017-03-15	bird-black-maaketto+bird-black-market
GRAFT_ISOLATED	9784801960237	2	2	100%	共通著者あり	bird-black-market			bird-black-maaketto[バード] ed=standard/近代麻雀コミックス vol=2 ed_vols=9 page_vols=9 date=2017-09-01 | bird-black-market[バード BLACK MARKET] ed=standard/近代麻雀コミックス vol=2 ed_vols=2 page_vols=2 date=2017-09-01	bird-black-maaketto+bird-black-market
GRAFT_ISOLATED	9784785920852	2	2	100%	共通著者あり	gold-2			gold-2[ゴールド] ed=standard/少年画報社 vol=1 ed_vols=2 page_vols=2 date=2001-05-11 | gold-2004[GOLD] ed=standard/ヤングキングコミックス vol=1 ed_vols=16 page_vols=16 date=2001-05-11	gold-2+gold-2004
GRAFT_ISOLATED	9784785921101	2	2	100%	共通著者あり	gold-2			gold-2[ゴールド] ed=standard/少年画報社 vol=2 ed_vols=2 page_vols=2 date=- | gold-2004[GOLD] ed=standard/ヤングキングコミックス vol=2 ed_vols=16 page_vols=16 date=2001-08	gold-2+gold-2004
