slug	file	title	edition_type	isbn	numbers	dup_n	total_vols	same_date	all_have_variant
ginga-densetsu-weed	ginga-densetsu-weed.yml	銀牙伝説Weed	standard	9789784537100	43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59	17	60	False	False
shima-kousaku-zenshuu	shima-kousaku-zenshuu.yml	島耕作全集	standard	9784063647181	1,2,3,4,6,7,8	7	9	False	False
bakemono-no-hanayome	bakemono-no-hanayome.yml	バケモノの花嫁	standard	9784861239113	1,2	2	2	True	True
boku-wa-chikyuu-toutau	boku-wa-chikyuu-toutau.yml	ぼくは地球と歌う	standard	9784592214816	1,2	2	9	False	True
bokura-no-koi-to-seishun-no-subete-hokenshitsu-no-bokura	bokura-no-koi-to-seishun-no-subete-hokenshitsu-no-bokura.yml	【僕らの恋と青春のすべて】保健室の僕ら	standard	9784758022477	1,2	2	2	True	True
chocolat-no-mahou	chocolat-no-mahou.yml	ショコラの魔法	standard	9784091348272	8,9	2	15	True	True
golgo-13	golgo-13.yml	ゴルゴ13	standard	9784845801275	127,129	2	220	False	False
kenban-no-ue-no-caress	kenban-no-ue-no-caress.yml	鍵盤の上のカレス	standard	9784864363730	1,2	2	3	False	True
kiss-de-goukaku	kiss-de-goukaku.yml	Kissで合格	standard	9784088623559	2,3	2	3	True	False
koi-ga-michitara	koi-ga-michitara.yml	恋が満ちたら	standard	9784866535838	1,2	2	2	True	True
kudan-no-folklore	kudan-no-folklore.yml	クダンノフォークロア	standard	9784758022217	1,2	2	2	True	True
kusattemo-neko-nanode	kusattemo-neko-nanode.yml	くさっても猫なので	standard	9784065330104	2,3	2	3	True	False
kuso-joushi-wa-yari-mederu-mono-to-kokoroeyo	kuso-joushi-wa-yari-mederu-mono-to-kokoroeyo.yml	クソ上司はヤリ愛でるものと心得よ	standard	9784434295362	1,2	2	2	True	True
nonnon-hiyori-remember	nonnon-hiyori-remember.yml	のんのんびよりりめんばー	standard	9784046811615	1,2	2	2	True	True
off-stage-love-side	off-stage-love-side.yml	オフステージラブサイド	standard	9784866537726	1,2	2	2	True	True
romanshingu-saga	romanshingu-saga.yml	ロマンシング サ・ガ2	standard	9784197900060	1,2	2	3	False	False
samurai-deeper-kyo	samurai-deeper-kyo.yml	SAMURAI DEEPER KYO	standard	9784063636079	35,36	2	38	False	False
shinshin-agatte-nanbo-taichi-yo-nakuna	shinshin-agatte-nanbo-taichi-yo-nakuna.yml	新々上ってなンボ!!太一よ泣くな	standard	9784862256560	1,9	2	5	False	False
shouta-no-sushi	shouta-no-sushi.yml	将太の寿司	standard	9784063121872	17,18	2	27	False	False
shusse-no-hanamichi	shusse-no-hanamichi.yml	出世の花道	standard	9784910803005	1,2	2	2	True	True
yadamon	yadamon.yml	ヤダモン	standard	9784197700134	2,3	2	3	False	False
yuukyuu-omega-sansankudo	yuukyuu-omega-sansankudo.yml	有休オメガ三三九度	standard	9784865896503	1,2	2	2	True	True
zenryaku-onii-chan-wa-seijo-ni-narimashita	zenryaku-onii-chan-wa-seijo-ni-narimashita.yml	前略、お兄ちゃんは聖女になりました。	standard	9784434377327	1,4	2	4	False	False
