class	severity	slug	title	isbn13	isbn_ok	n_rows	n_editions	numbers	ed_idx	ed_types	ed_labels	ed_imprints	release_dates	ed_overlap	flags	slot_conflict	note
NUM_INFLATION	確実な破損	ginga-densetsu-weed	銀牙伝説Weed	9789784537100	0	17	1	43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59	0	standard	通常版	通常版	2007-01-12|2007-03-09|2007-05-10|2007-07-09|2007-09-07|2007-11-09|2008-01-11|2008-03-10|2008-05-10|2008-07-10|2008-09-08|2008-11-07|2008-12-08|2009-01-19|2009-03-09|2009-05-09|2009-07-09		ISBN_BAD,DATE_DIFF		ISBN自体が不正(チェックディジット/桁) ; 同一版の巻43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	shima-kousaku-zenshuu	島耕作全集	9784063647181	1	7	1	1,2,3,4,6,7,8	0	standard	通常版	弘兼憲史叢書	2008-05-15|2008-05		JOGE,DATE_DIFF		同一版の巻1,2,3,4,6,7,8に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	bakemono-no-hanayome	バケモノの花嫁	9784861239113	1	2	1	1,2	0	standard	通常版	Tulle Comics	2021-12-17				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	boku-wa-chikyuu-toutau	ぼくは地球と歌う	9784592214816	1	2	1	1,2	0	standard	通常版	花とゆめCOMICS	2016-02|2016-12		DATE_DIFF		同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	bokura-no-koi-to-seishun-no-subete-hokenshitsu-no-bokura	【僕らの恋と青春のすべて】保健室の僕ら	9784758022477	1	2	1	1,2	0	standard	通常版	Gateau comics	2021-06-15				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	chocolat-no-mahou	ショコラの魔法	9784091348272	1	2	1	8,9	0	standard	通常版	ちゃおホラーコミックス	2012-12				同一版の巻8,9に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	golgo-13	ゴルゴ13	9784845801275	1	2	1	127,129	0	standard	SPコミックス	SPコミックス	2003-01-05|2003-08-05		DATE_DIFF		同一版の巻127,129に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	kenban-no-ue-no-caress	鍵盤の上のカレス	9784864363730	1	2	1	1,2	0	standard	通常版	Drap comics	2011-01|2012-12		DATE_DIFF		同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	kiss-de-goukaku	Kissで合格	9784088623559	1	2	1	2,3	0	standard	通常版	ユーコミックス	1996-10-23		JOGE		同一版の巻2,3に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	koi-ga-michitara	恋が満ちたら	9784866535838	1	2	1	1,2	0	standard	通常版	drap COMICS DX	2021-12-02				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	kudan-no-folklore	クダンノフォークロア	9784758022217	1	2	1	1,2	0	standard	通常版	Yurihime comics	2021-04				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	kusattemo-neko-nanode	くさっても猫なので	9784065330104	1	2	1	2,3	0	standard	通常版	ヤンマガKC	2023-09-06		JOGE		同一版の巻2,3に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	kuso-joushi-wa-yari-mederu-mono-to-kokoroeyo	クソ上司はヤリ愛でるものと心得よ	9784434295362	1	2	1	1,2	0	standard	通常版	Glanz BLcomics	2022-01-18				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	nonnon-hiyori-remember	のんのんびよりりめんばー	9784046811615	1	2	1	1,2	0	standard	通常版	MFコミックス	2022-03-23				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	off-stage-love-side	オフステージラブサイド	9784866537726	1	2	1	1,2	0	standard	通常版	drap COMICS DX	2023-12-04				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	otokuyou-mainichi-kaa-san	お徳用毎日かあさん	9784620780108	1	2	1	7,8	0	standard	通常版		2015-08|2015-08-15		JOGE,DATE_DIFF		同一版の巻7,8に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	romanshingu-saga	ロマンシング サ・ガ2	9784197900060	1	2	1	1,2	0	standard	通常版	トクマインターメデイアコミックス	1994-12-15|1995-01-15		DATE_DIFF		同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	samurai-deeper-kyo	SAMURAI DEEPER KYO	9784063636079	1	2	1	35,36	0	standard	通常版	SHONEN MAGAZINE COMICS	2005-12|2005-12-16		DATE_DIFF		同一版の巻35,36に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	9784862256560	1	2	1	1,9	0	standard	通常版	キングシリーズ	2010-10|2010-10-15		DATE_DIFF		同一版の巻1,9に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	shouta-no-sushi	将太の寿司	9784063121872	1	2	1	17,18	0	standard	講談社コミックス	講談社コミックス	1995-10-09|1996-01-13		DATE_DIFF		同一版の巻17,18に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	shusse-no-hanamichi	出世の花道	9784910803005	1	2	1	1,2	0	standard	通常版	BLANKET	2022-09-16				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	yadamon	ヤダモン	9784197700134	1	2	1	2,3	0	standard	通常版	アニメージュコミックス	1994-05-29|1994-06		DATE_DIFF		同一版の巻2,3に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	yuukyuu-omega-sansankudo	有休オメガ三三九度	9784865896503	1	2	1	1,2	0	standard	通常版	Poe backs	2021-05				同一版の巻1,2に同じ本 = 巻数水増し
NUM_INFLATION	確実な破損	zenryaku-onii-chan-wa-seijo-ni-narimashita	前略、お兄ちゃんは聖女になりました。	9784434377327	1	2	1	1,4	0	standard	通常版	Glanz BLcomics	2026-07-17|2026-07-10		DATE_DIFF		同一版の巻1,4に同じ本 = 巻数水増し
EDITION_DOUBLE	確実な破損	12-no-kekkon-monogatari	12の結婚物語	9784063198225	1	2	2	4	0,1	standard|deluxe	通常版|デラックス版	|KCデラックス	1997-07-11	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	2001yamonogatari	2001夜物語	9784334901424	1	2	2	1	1,2	shinsoban	光文社コミック叢書「signal」|Signal special edition high-end	光文社コミック叢書「signal」|Signal special edition high-end	2007-10	100%	JOGE		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	captain-kid	キャプテンキッド	9784063193039	1	2	2	7	0,1	deluxe|standard	デラックス版|通常版	KCデラックス|KCDX	1992-07-17	30%			版の大半が重複(共有率30%)
EDITION_DOUBLE	確実な破損	captain-kid	キャプテンキッド	9784063193879	1	2	2	8	0,1	deluxe|standard	デラックス版|通常版	KCデラックス|KCDX	1993-05-17	30%			版の大半が重複(共有率30%)
EDITION_DOUBLE	確実な破損	captain-kid	キャプテンキッド	9784063193978	1	2	2	9	0,1	deluxe|standard	デラックス版|通常版	KCデラックス|KCDX	1993-07-17	30%			版の大半が重複(共有率30%)
EDITION_DOUBLE	確実な破損	clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	9784063343830	1	2	2	1	0,1	standard|deluxe	KCキャラクターブックス（2001–2002）|デラックスKC（2001–2002）	KCキャラクターブックス|デラックスKC	2001-02-16	80%			版まるごと複製(共有率80%)
EDITION_DOUBLE	確実な破損	clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	9784063344271	1	2	2	2	0,1	standard|deluxe	KCキャラクターブックス（2001–2002）|デラックスKC（2001–2002）	KCキャラクターブックス|デラックスKC	2001-06-29	80%			版まるごと複製(共有率80%)
EDITION_DOUBLE	確実な破損	clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	9784063344837	1	2	2	4	0,1	standard|deluxe	KCキャラクターブックス（2001–2002）|デラックスKC（2001–2002）	KCキャラクターブックス|デラックスKC	2001-12	80%			版まるごと複製(共有率80%)
EDITION_DOUBLE	確実な破損	clamp-premium-collection-chobittsu	CLAMP PREMIUM COLLECTIONちょびっツ	9784063345278	1	2	2	5	0,1	standard|deluxe	KCキャラクターブックス（2001–2002）|デラックスKC（2001–2002）	KCキャラクターブックス|デラックスKC	2002-04	80%			版まるごと複製(共有率80%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587219	1	2	2	1	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1993-06-04|1993-06-09	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587226	1	2	2	2	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1993-12-02	100%			版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587233	1	2	2	3	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1994-05-10|1994-05-15	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587240	1	2	2	4	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1994-12-02|1994-12-07	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587257	1	2	2	5	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1995-06-02|1995-06-07	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587264	1	2	2	6	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1995-12-01|1995-12-06	100%	DATE_DIFF		版まるごと複製(共有率100%)
EDITION_DOUBLE	確実な破損	golden-boy-1993	Golden boy	9784088587271	1	2	2	7	0,1	standard|deluxe	通常版|デラックス版	集英社|ジャンプ・コミックスデラックス	1996-06-04|1996-06-09	100%	DATE_DIFF		版まるごと複製(共有率100%)
