class	shared/small	ratio	author_match	stemA	titleA	authorA	stemB	titleB	authorB	isbns_sample
DUP_PAGE	121/121	100%	別著者	chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	桜木さゆみ	chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	華桜小桃	9784821127047,9784821127214,9784821127290,9784821127436,9784821127559...
DUP_PAGE	65/65	100%	別著者	pocket-monsters-special	ポケットモンスターSPECIAL	真斗	pocket-monsters-special-2014	Pocket monsters special	山本サトシ	9784091400963,9784091402288,9784091402547,9784091403186,9784091403292...
DUP_PAGE	44/44	100%	別著者	meitantei-conan-2005	名探偵コナン特別編	阿部ゆたか	meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	窪田一裕	9784091400796,9784091400949,9784091402554,9784091403155,9784091404152...
DUP_PAGE	43/53	81%	同著者	honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	植田まさし	kariage-kun	かりあげクン	植田まさし	9784575930146,9784575930160,9784575930207,9784575930221,9784575930238...
DUP_PAGE	28/28	100%	同著者	hitorijime-my-hero	ひとりじめマイヒーロー	ありいめめこ	hitorijime-my-hero-2025	Hitorijime my hero	ありいめめこ	9784758021227,9784758021234,9784758022330,9784758022347,9784758023238...
DUP_PAGE	28/28	100%	別著者	nihonnorekishi	日本の歴史	児玉幸多	nippon-no-rekishi-2007-2	日本の歴史	井上大助	9784081950171,9784081950195,9784081950201,9784081951017,9784082390181...
DUP_PAGE	24/24	100%	別著者	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	スゴ盛!本当にあった〔○生〕ここだけの話極	おがたちえ	sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	安斎かなえ	9784832252929,9784832253070,9784832253230,9784832253391,9784832253551...
DUP_PAGE	23/23	100%	別著者	ultraman-2012	ULTRAMAN	下口智裕	ultraman-g	ウルトラマンG	島本和彦	9784864681544,9784864682374,9784864683012,9784864683210,9784864683418...
DUP_PAGE	21/21	100%	同著者	shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	叶精作	shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	叶精作	9784862259295,9784862259301,9784862259318,9784862259325,9784862259516...
DUP_PAGE	20/23	87%	別著者	bukkomi-no-taku	特攻の拓	佐木飛朗斗	kaze-densetsu-bukkomi-no-taku	疾風伝説特攻の拓	所十三	9784065307465,9784065307472,9784065310786,9784065310854,9784065313886...
DUP_PAGE	19/19	100%	同著者	toaru-kagaku-no-railgun-2025	とある科学の超電磁砲	冬川基	toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲(レールガン)	冬川基	9784048654319,9784048666985,9784048671460,9784048677196,9784048678940...
DUP_PAGE	17/17	100%	別著者	kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	桃井涼太	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	「艦これ」運営鎮守府	9784047293335,9784047296404,9784047298538,9784047301443,9784047304963...
DUP_PAGE	16/16	100%	同著者	duel-masters	DUEL MASTERS	松本しげのぶ	duel-masters-2017	デュエル・マスターズ	松本しげのぶ	9784091425843,9784091425850,9784091425867,9784091425874,9784091425881...
DUP_PAGE	14/14	100%	同著者	c0de-breaker	C0DE:BREAKER	上条明峰	code-breaker	CODE:BREAKER	上条明峰	9784063840568,9784063840810,9784063841039,9784063841282,9784063841503...
DUP_PAGE	14/18	78%	同著者	trinity-7-shichinin-no-masho-tsukai	トリニティセブン 7人の魔書使い	奈央晃徳	trinity-seven	トリニティセブン	奈央晃徳	9784040700793,9784040702650,9784040702667,9784040703497,9784040703510...
DUP_PAGE	13/13	100%	別著者	gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	コージィ城倉	gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	アダチケイジ	9784063885491,9784063885842,9784063886207,9784063886429,9784063886627...
DUP_PAGE	12/12	100%	同著者	banzai-haiuei	万歳ハイウエイ	守村大	banzai-highway	万歳ハイウェイ	守村大	9784061025516,9784061025592,9784061025769,9784061025868,9784061025967...
DUP_PAGE	12/13	92%	別著者	buyuden	BUYUDEN	満田拓也	buyuuden	武勇伝	もりやまつる	9784091233691,9784091235176,9784091236463,9784091237927,9784091238894...
DUP_PAGE	12/13	92%	同著者	ekiben-hitoritabi	駅弁ひとり旅	はやせ淳	shin-ekiben-hitoritabi	新・駅弁ひとり旅	はやせ淳	9784575837513,9784575837865,9784575838558,9784575838985,9784575839326...
DUP_PAGE	11/11	100%	同著者	alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	中山星香	arufuheimunokishibaraddotsuguminomori	妖精国(アルフヘイム)の騎士Ballad～継ぐ視の守護者～	中山星香	9784253004558,9784253013536,9784253193559,9784253274326,9784253274333...
DUP_PAGE	11/13	85%	別著者	gifuu-doudou	義風堂々!!	武村勇治	gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	出口真人	9784199800290,9784199802287,9784199802799,9784199803178,9784199803345...
DUP_PAGE	11/11	100%	同著者	ninku-kazu-2006	Ninku	桐山光侍	ninkuu-zero	忍空 零	桐山光侍	9784081150328,9784081150335,9784081150342,9784081150359,9784086185325...
DUP_PAGE	11/11	100%	同著者	ninkuu	忍空	桐山光侍	ninkuu-2nd-stage	忍空2nd stage	桐山光侍	9784081150311,9784081150328,9784081150335,9784081150342,9784081150359...
DUP_PAGE	10/10	100%	同著者	final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジャー	むつきらん	final-fantasy-lost-stranger-2021	Final fantasy lost stranger	むつきらん	9784301000020,9784301005162,9784757555204,9784757557192,9784757559752...
DUP_PAGE	10/11	91%	同著者	ninku-kazu-2006	Ninku	桐山光侍	ninkuu	忍空	桐山光侍	9784081150328,9784081150335,9784081150342,9784081150359,9784086185325...
DUP_PAGE	10/11	91%	同著者	ninku-kazu-2006	Ninku	桐山光侍	ninkuu-2nd-stage	忍空2nd stage	桐山光侍	9784081150328,9784081150335,9784081150342,9784081150359,9784086185325...
DUP_PAGE	10/11	91%	同著者	ninkuu	忍空	桐山光侍	ninkuu-zero	忍空 零	桐山光侍	9784081150328,9784081150335,9784081150342,9784081150359,9784086185325...
DUP_PAGE	10/11	91%	同著者	ninkuu-2nd-stage	忍空2nd stage	桐山光侍	ninkuu-zero	忍空 零	桐山光侍	9784081150328,9784081150335,9784081150342,9784081150359,9784086185325...
DUP_PAGE	10/10	100%	別著者	x-men-1994	X-MEN	ヒグチヒロシ	x-men-1994-5	X-MEN	児嶋都	9784796873390,9784796873406,9784884757090,9784884757311,9784884757328...
DUP_PAGE	9/13	69%	同著者	diamond-no-a-act-2	ダイヤのA act 2	寺嶋裕二	diamond-no-ace-act-tsuu	ダイヤのA act Ⅱ	寺嶋裕二	9784063588200,9784063588217,9784063955989,9784063956672,9784063957099...
DUP_PAGE	9/12	75%	同著者	dora-beesu	ドラベース	むぎわらしんたろう	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	むぎわらしんたろう	9784091402790,9784091403476,9784091404190,9784091405463,9784091407153...
DUP_PAGE	9/9	100%	同著者	kogane-no-rafu-2	黄金のラフ2	なかいま強	ougon-no-rafu-2	黄金のラフⅡ	なかいま強	9784091867704,9784091871794,9784091874467,9784091876263,9784091877581...
SHARED_FEW	9/30	30%	同著者	roto-no-monshou	ロトの紋章	藤原カムイ	roto-no-monshou-monshou-o-tsugu-monotachi-he	ロトの紋章 紋章を継ぐ者達へ	藤原カムイ	9784757547223,9784757548411,9784757549630,9784757550841,9784757551916...
DUP_PAGE	8/10	80%	別著者	akatsuki-no-uta	暁の歌	藤田和日郎	ayakashidou-no-hourai	あやかし堂のホウライ	金田達也	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/10	80%	別著者	akatsuki-no-uta	暁の歌	藤田和日郎	bakegyamon	妖逆門	田村光久	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/9	89%	同著者	akatsuki-no-uta	暁の歌	藤田和日郎	fujita-kazuhiro-bon	藤田和日郎本	藤田和日郎	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/10	80%	同著者	akatsuki-no-uta	暁の歌	藤田和日郎	gekkou-jourei	月光条例	藤田和日郎	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/9	89%	同著者	akatsuki-no-uta	暁の歌	藤田和日郎	jagan-ha-gachirin-ni-tobu	邪眼は月輪に飛ぶ	藤田和日郎	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/10	80%	同著者	akatsuki-no-uta	暁の歌	藤田和日郎	karakuri-circus	からくりサーカス	藤田和日郎	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
DUP_PAGE	8/10	80%	同著者	akatsuki-no-uta	暁の歌	藤田和日郎	kuro-hakubutsukan-ghost-and-lady	黒博物館 ゴーストアンドレディ	藤田和日郎	9784091258625,9784091258632,9784091258649,9784091258656,9784091258663...
