why	stems	titles	authors
集合不一致	kochira-katsushikaku-kameari-kouen-mae-hashutsujo,kochira-katsushikaku-kameari-kouenmae-hashutsujo	こちら葛飾区亀有公園前派出所 / こちら葛飾区亀有公園前派出所	秋本治
題不一致+著者不一致	chibi-hontou-ni-atta-waraeru-hanashi,chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話 / ちび本当にあった笑える話ガールズコレクション	桜木さゆみ / 華桜小桃
題不一致	dragon-quest,dragon-quest-dai-no-daibouken,dragon-quest-daino-daibouken	ドラゴンクエスト / Dragon quest-ダイの大冒険 / ドラゴンクエスト ダイの大冒険	稲田浩司
題不一致+著者不一致	pocket-monsters-special,pocket-monsters-special-2014	ポケットモンスターSPECIAL / Pocket monsters special	山本サトシ / 真斗
題不一致	ajia-he-no-michi,kenshuusei-jidai,senri-no-michi-mo	千里の道も-アジアへの道- / 千里の道も-研修生時代- / 千里の道も	渡辺敏
著者不一致+集合不一致	meitantei-conan-2005,meitantei-conan-tokubetsuhen-2016	名探偵コナン特別編 / 名探偵コナン 特別編	窪田一裕 / 阿部ゆたか
題不一致+集合不一致	honnyaragokko-kariage-kun,kariage-kun	ほんにゃらゴッコ かりあげクン / かりあげクン	植田まさし
題不一致	clamp-premium-collection-holic,xxxholic	CLAMP PREMIUM COLLECTION ×××HOLiC / xxxHOLiC	CLAMP
題不一致+集合不一致	hitorijime-my-hero,hitorijime-my-hero-2025	ひとりじめマイヒーロー / Hitorijime my hero	ありいめめこ
著者不一致+集合不一致	nihonnorekishi,nippon-no-rekishi-2007-2	日本の歴史 / 日本の歴史	井上大助 / 児玉幸多
題不一致	eikou-no-naporeon,eroika	栄光のナポレオン / エロイカ	池田理代子
題不一致	kowai-hon,umezu-kazuo-kowai-hon,zoku-kowai-hon	こわい本 / 楳図かずおこわい本 / ゾクこわい本	楳図かずお
題不一致+著者不一致+集合不一致	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami,sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった〔○生〕ここだけの話極 / スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	おがたちえ / 安斎かなえ
題不一致+著者不一致+集合不一致	ultraman-2012,ultraman-g	ULTRAMAN / ウルトラマンG	下口智裕 / 島本和彦
題不一致+集合不一致	shin-agatte-nanbo-taichiyo-nakuna,shinshin-agatte-nanbo-taichi-yo-nakuna	新上ってなンボ!!太一よ泣くな / 新々上ってなンボ!!太一よ泣くな	叶精作
題不一致+著者不一致+集合不一致	bukkomi-no-taku,kaze-densetsu-bukkomi-no-taku	特攻の拓 / 疾風伝説特攻の拓	佐木飛朗斗 / 所十三
題不一致	heiwa-no-kane-series,nakazawa-deka-heiwa-manga-sakuhinshuu	平和の鐘シリーズ / 中沢啓治平和マンガ作品集	中沢啓治
