isbn13	前回の頁	理由
9784040656373	mushoku-tensei	volume-exclude.yml(混入巻除去)
9784040734392	aru-hi-kara-tsukaeru-you-ni-natta-teni-mahou-ga-bannou-de-ikiru-no-ga-tanoshiku-narimashita	volume-exclude.yml(混入巻除去)
9784040747699	isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	volume-exclude.yml(混入巻除去)
9784040764764	ouji-sama-no-tomodachi	volume-exclude.yml(混入巻除去)
9784046834805	dorobune-kizoku-no-goreijou	volume-exclude.yml(混入巻除去)
9784049152951	fuguu-reijou-to-hikikomori-mahoutsukai	volume-exclude.yml(混入巻除去)
9784086315029	bishuu-gyakuten-sekai-no-kurerikku	volume-exclude.yml(混入巻除去)
9784434309526	dakara-katte-ni-yuusha-toka-haou-ni-nintei-sunno-yameroyo	volume-exclude.yml(混入巻除去)
9784434315770	konyakusha-ga-uwaki-aite-to-kakeochi-shimashita-ouji-denka-ni-dekiai-sarete-shiawase-nanode-imasara	volume-exclude.yml(混入巻除去)
9784434341243	blade-bastard	volume-exclude.yml(混入巻除去)
9784575246452	jigoku-no-sata-mo-ougon-shidai	volume-exclude.yml(混入巻除去)
9784575247343	anata-ni-miren-wa-arimasen	volume-exclude.yml(混入巻除去)
9784575753288	s-kyuu-party-kara-tsuihou-sareta-kariudo-jitsu-wa-sekai-saikyou	volume-exclude.yml(混入巻除去)
9784575753332	eiyuu-buran-no-jinsei-keikaku	volume-exclude.yml(混入巻除去)
9784757578722	anata-no-oshiro-no-kobito-san	volume-exclude.yml(混入巻除去)
9784790113300	dare-ni-mo-ienai-hi-uwaki-suru-onna-dekiaisareru-onna	pending-r2-prune(松文館ガールズポップコレクション=18禁TL(ユーザ裁定8/5)の初フル適用で退)
9784798633695	buchigire-reijou-wa-houfuku-o-chikaimashita	volume-exclude.yml(混入巻除去)
9784801925557	yandere-mahoutsukai-wa-sekizou-no-otome-shika-aisenai	volume-exclude.yml(混入巻除去)
9784803017663	hazure-skill-sekai-toshokan-ni-yoru-isekai-no-chishiki-to-hajimeru-sangyou-kakumei	volume-exclude.yml(混入巻除去)
9784803018370	oukuu-kishidan-to-kyuukoku-no-shoujo	volume-exclude.yml(混入巻除去)
9784815621810	kinoshita-mahou-koumuten	volume-exclude.yml(混入巻除去)
9784824004185	akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	volume-exclude.yml(混入巻除去)
9784845854769	20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu	pending-r2-prune(コンビニ再録drop(蔵出し選集!!コミック乱創刊20周年記念特別編集))
9784845854776	kuradashi-senshuu-comic-ran-soukan-20-shuunen-kinen-tokubetsu-henshuu	pending-r2-prune(コンビニ再録drop(蔵出し選集!!コミック乱創刊20周年記念特別編集))
9784845870721	comic-ran-selection-shaseki-inu	pending-r2-prune(コンビニ再録drop(コミック乱セレクション射石飲羽))
