優先度	分類	位置	slug	題	版idx	版type	imprint	出版社	ISBN帯	版の巻数	逸脱巻	逸脱ISBN	発売日	前の正常ISBN	次の正常ISBN	逸脱幅	日付整合	帯era	帯era差	帯当年数	楽天題	楽天叢書	楽天発売日	楽天判型	特装signal	題不一致
A	SPIKE_1	内部	fantasista-stella	ファンタジスタステラ	0	standard	少年サンデーコミックス	小学館	978409	14	9	9784099418441	2014-11-14	9784091251039	9784091255808	816264	整合	2024	10	9	ファンタジスタステラ（9）	［特装版コミック］	2014年11月14日頃	カセット、ＣＤ等	特装	
A	SPIKE_1	内部	it-s-my-life	IT'S MY LIFE	0	standard	裏少年サンデーコミックス	小学館	978409	11	3	9784099418601	2015-10-07	9784091261830	9784091270252	814835	整合	2024	9	7	IT’S MY LIFE 3 カラーワークスコレクション限定版	裏少年サンデーコミックス	2015年10月07日頃	カセット、ＣＤ等	限定	
A	SPIKE_1	内部	12sai	12歳。	0	standard	ちゃおコミックス	小学館	978409	20	7	9784099418595	2015-07-22	9784091367303	9784091382061	803653	整合	2024	9	7	12歳。7 〜トマドイ〜 アニメDVD・生写真つき限定版BOX	ちゃおコミックス	2015年07月22日頃	カセット、ＣＤ等	限定,dvd,box	
A	SPIKE_1	内部	umamusume-pisupisu-supisupi-gorushi-chan	ウマ娘ピスピス☆スピスピ ゴルシちゃん	0	standard	Coro coro comics SP = コロコロコミックススペシャル	小学館	978409	8	3	9784099431754	2024-12-03	9784091497406	9784091540188	789157	整合	2024	0	30	ウマ娘 ピスピス☆スピスピ ゴルシちゃん 3 アクスタつき特装版	コロコロコミックス	2024年12月18日頃	カセット、ＣＤ等	特装	
A	SPIKE_1	内部	unmei-no-makimodoshi	運命の巻戻士	0	standard	コロコロコミックス	小学館	978409	13	10	9784099432041	2025-08-01	9784091540324	9784091541093	789095	整合	2024	1	37	運命の巻戻士 10 アクリルスタンドつき特装版	コロコロコミックス	2025年07月28日頃	カセット、ＣＤ等	特装,アクリル	
A	SPIKE_1	内部	mobile-suit-gundam-thunderbolt	機動戦士ガンダムサンダーボルト	0	standard	BIG SUPERIOR COMICS SPECIAL	小学館	978409	27	3	9784098604371	2014-03	9784091853073	9784091867186	673719	整合	2022	8	1	機動戦士ガンダム サンダーボルト 外伝（3）	ビッグ コミックス	2019年09月30日	コミック	外伝	
A	SPIKE_1	内部	orfina	Orfina	0	standard		角川書店	978404	12	8	9784047124042	2005-06-01	9784049261622	9784049261882	213758	★日付も逆行	2007	2	333	新装版オルフィーナ8	ドラゴンコミックスエイジ	2005年05月30日	コミック	新装	
A	SPIKE_1	内部	moyashimon	もやしもん	0	standard	イブニングKC	講談社	978406	13	11	9784065427460	2012-03	9784063523508	9784063524567	190290	整合	2026	14	1	新装版　もやしもん（11）	KCデラックス	2026年03月23日	コミック	新装	
A	SPIKE_1	内部	dear-boys-act-3	DEAR BOYS ACT 3	0	standard	MONTHLY SHONEN MAGAZINE COMICS	講談社	978406	15	8	9784065392737	2011-10	9784063712902	9784063713220	167951	整合	2024	13	1	DEAR　BOYS　新装版（8）	KCデラックス	2025年07月16日	コミック	新装	
A	SPIKE_1	内部	hotaru-no-yomeiri	ホタルの嫁入り	0	standard	裏少年サンデーコミックス	小学館	978409	12	8	9784099432010	2025-06-14	9784098540396	9784098542505	88951	整合	2024	1	37	ホタルの嫁入り 8 ジオラマアクリルスタンド付き特装版	マンガワンコミックス	2025年06月18日頃	カセット、ＣＤ等	特装,アクリル	
