slug	title	broken_kana	authors
101	101	マツモト,タイヨウ,1967-	松本大洋
a-little-heaven	A little heaven	ヨシ,マサコ,1958-	よしまさこ
a-or-abc	A or ABC	フキヤマ,リコ	吹山りこ
aika	Aika	コノミチ,アユミ	此路あゆみ
angel-eyes-1994	Angel eyes	ヨシダ,アキミ	吉田秋生
angel-text	Angel Text	エンドウ,ミナリ	遠藤海成
as-you-wish-sister	As you wish, sister	Asyouwish,sister=シスターサマノオオセノママニ|シスター様の仰せの魔々に	hone
baby-jelly-candy	Baby jelly candy	トガワ,ハナマル	とがわはなまる
blanc-et-noir	Blanc et noir	オバタ,タケシ,1969-	小畑健
blue-blood-2000	Blue blood	ウエスギ,カナコ	上杉可南子
blue-nananan-2020	Blue	ナナナン,キリコ,1972-2024	魚喃キリコ
brains-1997	BRAINS	クボタ,シンジ	伊藤智義,久保田眞二
buzzer-beater	BUZZER BEATER	イノウエ,タケヒコ,1967-	井上雄彦
c	C	キタガワ,ショウ,1967-	きたがわ翔
cgh	CGH!	コイケダ,マヤ	小池田マヤ
days-of-moonlight-limited	Days of moonlight limited	サクラノ,ミネネ	桜野みねね
ddt	DDT	マルオ,スエヒロ,1956-	丸尾末広
destinies-cross	Destinies cross	アズミ,モカ	安曇もか
dh	DH	ホンマ,リュウ,1946-	ほんまりう
doesn-t	Doesn't	ニラサワ,ヤスシ,1963-2016	韮沢靖
drug-store	Drug store	ハヤシヤ,シズル	林家志弦
equus	Equus	エスト,エム	えすとえむ
fullmetal-alchemist	Fullmetal alchemist	アラカワ,ヒロム,1973-	荒川弘
funky-monkey-babies	Funky monkey babies	タカハシ,ユウ	高橋ゆう
g-2003	G	コイケ,ケイイチ	小池桂一
garden-furuya-2000	Garden	フルヤ,ウサマル,1968-	古屋兎丸
gen-si-kaki-ayam-hadashi-no-gen	Gen si kaki ayam （Hadashi no Gen）	ナカザワ,ケイジ,1939-2012	中沢啓治,K
going-to-hell	Going to hell	ツズキ,シュン	つづき春
hard-metal	HARD METAL	マツモト,レイジ,1938-2023	松本零士
hate-my-mia	Hate my Mia!	ヒトトリ,ペンギン	人鳥ぺんぎん
hideout	HIDEOUT	カキザキ,マサスミ,1978-	柿崎正澄
hijikatatoshizou	土方歳三	ヒジカタ,トシゾウ	神田たけ志
i-love-baseball	I love baseball	ミズシマ,シンジ,1939-2022	水島新司
jane	Jane	タチバナ,ミズキ	桜林子,櫻林子,橘瑞樹
kiss-of-fire	KISS OF FIRE	ニッタ,ユウカ	新田祐克
lost-angel	Lost angel	ヒグリ,ユウ	氷栗優
lost-sheep	LOST SHEEP	キタサト,センジュ	北里千寿
love-order-200x	Love order 200X	モチズキ,レイコ	望月玲子
love-so-special	Love so special	サクラザワ,エリカ,1963-	桜沢エリカ
love-vibes	Love vibes	サクラザワ,エリカ,1963-	桜沢エリカ
lust	LUST	モリゾノ,ミルク,1957-	森園みるく
magical-girl-lyrical-nanoha-movie-1st-the-comics	Magical Girl Lyrical Nanoha movie 1st the comics	ハセガワ,コウジ,1972-	長谷川光司
memory	Memory	タカセ,ユカ	高瀬由香
mine-blue	Mine bluE	ヨシザキ,ミネ,1971-	吉崎観音
new-york-stories	New York stories	モリゾノ,ミルク,1957-	森園みるく
niwa	NIWA	ヨコヤマ,ユウイチ,1967-	横山裕一
nocturne	Nocturne	クリハシ,シンスケ,1964-2024	栗橋伸祐
not-simple	Not simple	オノ,ナツメ	オノ・ナツメ
one-form	One form	リュウガ,ショウ	龍牙翔
possession-tracer	Possession tracer	ヨネムラ,コウイチロウ,1966-	米村孝一郎
prism-in-girls	Prism in girls	ヨシ,マサコ,1958-	よしまさこ
private	Private	フワ,シンリ	不破慎理
prototype-azmax	Prototype azmax	As&#39;マリア,1969-	As'まりあ
punk	PUNK	ナガオ,ケンイチロウ,1972-	長尾謙一郎
r-3	R[3]	ハコダ,マキ	箱田真紀
real-love	Real love	カヤマ,ユミ,-2005	かやまゆみ
record	RECORD	フジワラ,カムイ,1959-	藤原カムイ
run	Run	イ,サンセ,1958-	李相世
seven	Seven	ナカハラ,モモタ	なかはら★ももた
she-is-beautiful-2010	She is beautiful	コンドウ,エツコ,マンガカ	近藤悦子
short-twist	SHORT TWIST	ササキ,ジュンコ	佐々木淳子
sky	Sky	ロクダ,ノボル,1952-	六田登
slip	Slip	ニシムラ,シノブ,1963-	西村しのぶ
speace-ship-ee	Speace ship EE	タカノ,アヤ	タカノ綾
sweet-home-2002	Sweet home	カヤマ,ユミ,-2005	かやまゆみ
trance	Trance	シバタ,マサヒロ,1949-	柴田昌弘
two-on-the-road	Two on the road	ワタセ,セイゾウ,1945-	ワタセセイゾウ
ultras	ULTRAS	エスト,エム	えすとえむ
warning-1991	Warning	イノウエ,エミコ,1959-	井上恵美子
wings	WINGS	カマタ,ヨウジ	鎌田洋次
woman	Woman	トダ,セイジ	戸田誠二
works	WORKS	エグチ,ヒサシ,1958-	江口寿史
yellow-kawaguchi-1996	Yellow	カワグチ,カイジ,1948-	かわぐちかいじ
you-re-my-only-shinin-star	You're my only shinin'star	コウガ,ユン,1965-	高河ゆん
your-eyes-only	Your eyes only	ヒリュウ,ラン	飛龍乱
z-mazinger	Z Mazinger	ナガイ,ゴウ,1945-	ONE,Rico,Dynamic Production,TALI,D,ED
