slug	title	genres	publisher	signal	verdict
dokkiri-angel	どっきり！エンジェル	comedy/ecchi	kodansha	BL/ecchi	
genji-monogatari-yanagawa	源氏物語	historical/romance	gakkoutosho	romance系	
iruka-chan-yoroshiku	いるかちゃんヨロシク	comedy/romance/romcom	shueisha	romance系	
wakaki-werther-no-nayami	若きウェルテルの悩み	drama/romance	oubunsha	romance系	
ohana-no-moufu	お花のもうふ	romance/school	shueisha	romance系	
pink-no-usagi	ピンクのうさぎ	comedy/romance/slice-of-life	kodansha	romance系	
buraian-kunno-kiyuuka	ブライアン君の休暇	drama/romance	hakusensha	romance系	
ise-monogatari	伊勢物語	historical/romance	gakkoutosho	romance系	
izu-no-odoriko	伊豆の踊子	drama/romance/slice-of-life	gyosei	romance系	
yuujou	友情	drama/romance	gyosei	romance系	
ise-monogatari-1993	伊勢物語	historical/romance	kadokawa	romance系	
romeo-to-juliet	ロミオとジュリエット	drama/romance	sekai-bunka	romance系	是正済(2026-08-10)
osakana-march	おさかなマーチ	ecchi/fantasy/romance	gakken	BL/ecchi	
arashigaoka	嵐が丘	drama/historical/romance	sekai-bunka	romance系	是正済(2026-08-10)
peter-to-ookami	ペーターと狼	romance	tousuisha	romance系	
pocket-monster-pipipi-adventure	ポケットモンスターpipipi☆アドベンチャー	adventure/comedy/fantasy/romance/romcom/代理戦闘	shogakukan	romance系	
robot-ponkottsu	ロボットポンコッツ	action/adventure/comedy/ecchi	kodansha	BL/ecchi	
manga-de-yomu-hitobito-no-sei-to-sei	まんがで読む・ひとびとの生と性	romance	poplar	romance系	
ashita-no-naaja	明日のナージャ	adventure/historical/romance	kodansha	romance系	
magiis-inu-jr	マギー's犬Jr.	ecchi	nihon-bungeisha	BL/ecchi	
disneys-kirara-princess	Disney's きらら☆プリンセス	adventure/fantasy/romance	kodansha	romance系	
hauru-no-ugoku-shiro	ハウルの動く城	adventure/fantasy/romance	tokuma	romance系	
koufuku-no-ouji	幸福の王子	fantasy/romance/ボーイズラブ	biblos	romance系	是正済(2026-08-10)
fushigiboshi-no-futagohime	ふしぎ星の☆ふたご姫	fantasy/mahou-shoujo/romance	shogakukan	romance系	
guruguru-pon-chan-okawaritsu	ぐるぐるポンちゃんおかわりッ	comedy/romance/動物	kodansha	romance系	
disneys-magical-dance	Disney's マジカルダンス!!	adventure/comedy/fantasy/romance/slice-of-life	kodansha	romance系	
yumemiru-angel-blue	夢みるエンジェルブルー	romance	kodansha	romance系	
dokidoki-tama-tan	どきどき!たまタン	fantasy/romance	kodansha	romance系	
kaiketsu-shirano	サボテン君 快傑シラノ	action/romance	kokushokankoukai	romance系	
jewel-pet	ジュエルペット	adventure/comedy/fantasy/romance	shogakukan	romance系	
pipedon	ピペドン	ecchi	shogakukan	BL/ecchi	
princess-to-mahou-no-kiss	プリンセスと魔法のキス	adventure/romance	kodansha	romance系	
bokkonrinri	ボッコンリンリ	romance/書道	kodansha	romance系	
arumi-chan-no-gakushuuchou	あるみちゃんの学習帳	romance	shueisha	romance系	
otasuke-miko-miko-chan	お助け巫女ミコちゃん	LGBTQ+/bl/comedy/fantasy/mahou-shoujo/school/変身/魔法	ichijinsha	BL/ecchi	
shougakusei-no-himitsu	小学生のヒミツ	romance	kodansha	romance系	
guri-gura	GURI+GURA	adventure/comedy/romance	libre	romance系	
tamanyan	たまにゃん	comedy/ecchi/fantasy/romance/supernatural/動物	kadokawa	BL/ecchi	
romeo-to-juliet-isakawa	ロミオとジュリエット	drama/romance/古典文学/悲劇	gakkenkyouikushuppan	romance系	
heart-kyatchi-izumi-chan-zenbu	ハート・キャッチいずみちゃん全部!	comedy/ecchi	fukkan-com	BL/ecchi	
tantei-miimi-no-oshare-file	探偵ミーミのおしゃれ事件簿	mystery/romance/ファッション	shogakukan	romance系	
machikoromatchi-plus	街コロマッチ!+	comedy/ecchi	shueisha	BL/ecchi	
aka-to-kuro-komachi	赤と黒	drama/romance/ボーイズラブ	kaiohsha	romance系	是正済(2026-08-10)
karin-channel-hajimete-mita	かりんちゃんねるはじめてみた!	comedy/romance/slice-of-life/料理	kodansha	romance系	
goaisatsu	ごあいさつ	comedy/ecchi/slice-of-life/supernatural	kodansha	BL/ecchi	
sora-meshi	宇宙(そら)めし!	drama/gourmet/romance/sci-fi/料理	shogakukan	romance系	
chocotto-dorakyura	チョコっとドラキュラ	comedy/romance	micro-magazine	romance系	
puniru-wa-kawaii-slime	ぷにるはかわいいスライム	comedy/fantasy/romance/slice-of-life/シュール/変身・変化	shogakukan	romance系	
dora-q	ドラQ	romance/suspense	kodansha	romance系	
ouji-to-kojiki	王子と乞食	bl/drama/historical/romance	libre	BL/ecchi	
naiki-komori-no-hikikomogomo-seikatsu	内木小森のひきこもごも生活	romance/slice-of-life	houbunsha	romance系	
