imprint	label	type	slug	title	巻数	書影数	書影	初刊	最終
AX comicsセレクション	通常版	standard	hakaishin-muhaa-jiruun	破戒神ムハー・ジルーン	2	0	0/2	1999-06-25	2001-01-29
Akita top comics	通常版	standard	4nen-1kumi-kiritsu	4年1組起立!	11	11	11/11	1990-05	1993-01-28
Akita top comics	Akita top comics	shinsoban	iga-no-kagemaru	伊賀の影丸	2	0	0/2	2001-11	2001-12
Akita top comics	通常版	standard	kiku	キク	1	0	0/1	2005-11	2005-11
Akita top comics	Akita top comics	shinsoban	nanairo-inko	七色いんこ	1	0	0/1	2004-02	2004-02
Akita top comics	Akita top comics	shinsoban	uchuu-kaizoku-captain-harlock	宇宙海賊キャプテンハーロック	5	4	4/5	2003-08	2004-01
Akita top comics	Akita top comics	shinsoban	umi-no-toriton	海のトリトン	4	4	4/4	2003-03	2003-06
Akita top comics wide	通常版	standard	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	6	0	0/6	2007-03-13	2009-05
Akita top comics wide	通常版	standard	asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	5	5	5/5	2019-04	2019-08
Akita top comics wide	通常版	standard	black-jack-kuroi-ishi-2012	ブラック・ジャック 黒い医師	1	1	1/1	2012-10	2012-10
Akita top comics wide	通常版	standard	daimonzu	ダイモンズ	6	5	5/6	2015-07	2015-12
Akita top comics wide	Akita top comics wide	shinsoban	don-dracula	ドン・ドラキュラ	1	0	0/1	2007-08	2007-08
Akita top comics wide	Akita top comics wide	shinsoban	garouden-boy	餓狼伝BOY	1	0	0/1	2014-01	2014-01
Akita top comics wide	Akita top comics wide	shinsoban	hyakuoku-no-hiru-to-senoku-no-yoru	百億の昼と千億の夜	1	0	0/1	2003-01	2003-01
Akita top comics wide	Akita top comics wide	wideban	iga-no-kagemaru	伊賀の影丸	8	0	0/8	2006-01	2007-01
Akita top comics wide	通常版	standard	jigoku-no-sougiya	地獄の葬儀屋	2	2	2/2	2019-05	2019-07
Akita top comics wide	通常版	standard	jingitachi-tachihara2018	仁義S (たち)	8	8	8/8	2018-06	2019-01
Akita top comics wide	通常版	standard	kantou-sangokushi	関東三国志	1	0	0/1	2013-09	2013-09
Akita top comics wide	通常版	standard	keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション	12	0	0/12	2011-08	2014-10
Akita top comics wide	Akita top comics wide	shinsoban	kyoufu-shinbun	恐怖新聞	1	0	0/1	2003-01	2003-01
Akita top comics wide	通常版	standard	maji-sandaana	本気!サンダーナ	3	0	0/3	2011-06	2011-08
Akita top comics wide	Akita top comics wide	shinsoban	mars-yokoyama-1976	マーズ	2	0	0/2	2005-11	2005-12
Akita top comics wide	Akita top comics wide	shinsoban	nanairo-inko	七色いんこ	2	2	2/2	2016-08	2016-09
Akita top comics wide	Akita top comics wide	shinsoban	ninpou-juuban-shoubu-shirato	忍法十番勝負	1	0	0/1	2013-09	2013-09
Akita top comics wide	通常版	standard	nyamily-wandahoo	にゃミリーワンだほー!	2	1	1/2	2008-09	2011-01
Akita top comics wide	通常版	standard	sekigan-no-ryuu	隻眼の竜	6	0	0/6	1991-07-13	1992-05-18
Akita top comics wide	Akita top comics wide	shinsoban	sono-na-wa-101	その名は101	2	0	0/2	2005-08	2005-09
Akita top comics wide	通常版	standard	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	9	0	0/9	2009-02	2010-11
Akita top comics wide	Akita top comics wide	shinsoban	uchuu-kaizoku-captain-harlock	宇宙海賊キャプテンハーロック	2	0	0/2	2009-09	2009-10
Akita top comics wide	Akita top comics wide	shinsoban	vampire	バンパイヤ	1	1	1/1	2016-06	2016-06
Akita top comics wide	Akita top comics wide	shinsoban	zerozero-nine-one	009ノ1	1	0	0/1	2013-09	2013-09
Birz comics remix	Birz comics remix	shinsoban	hinomaru-agete	日の丸あげて	1	0	0/1	2014-03	2014-03
Dセレクション	通常版	standard	nano	N・a・n・o	1	1	1/1	1999-12	1999-12
KPC	KPC	shinsoban	1-2-no-1-rou	1・2の三四郎	1	0	0/1	2004-03	2004-03
KPC	KPC	shinsoban	ai-to-makoto	愛と誠	8	0	0/8	2004-03	2004-06
KPC	KPC	shinsoban	dororon-enma-kun	ドロロンえん魔くん	2	2	2/2	2003-08	2003-09
KPC	KPC	shinsoban	gorilla-man	ゴリラーマン	1	1	1/1	2010-08	2010-08
KPC	KPC(講談社)	other	harenchi-gakuen	ハレンチ学園	2	2	2/2	2003-05	2003-06
KPC	KPC	shinsoban	nippon-chinbotsu	日本沈没	5	5	5/5	2003-05	2003-07
KPC	KPC(2002)	shinsoban	plamo-kyoushirou	プラモ狂四郎	1	1	1/1	2002-12	2002-12
KPC	KPC(2004)	shinsoban	plamo-kyoushirou	プラモ狂四郎	1	0	0/1	2004-02	2004-02
KPC	KPC(2004)	shinsoban	queen-emeraldas	クイーンエメラルダス	2	0	0/2	2004-06	2004-07
KPC	KPC版(講談社)	shinsoban	sengoku-shishiden	戦国獅子伝	3	3	3/3	2007-08	2007-10
KPC	KPC	shinsoban	shin-kyojin-no-hoshi	新巨人の星	1	0	0/1	2004-02	2004-02
KPC	KPC	shinsoban	sugata-sanshirou	姿三四郎	1	1	1/1	2007-12	2007-12
KPC	KPC	shinsoban	toki-no-gyouja	時の行者	1	0	0/1	2004-05	2004-05
KPC	KPC	shinsoban	yakyuukyou-no-uta	野球狂の詩	1	1	1/1	2003-06	2003-06
KPC mini	KPC mini	shinsoban	yakyuukyou-no-uta	野球狂の詩	1	1	1/1	2005-04	2005-04
Moeohセレクション	通常版	standard	shiritsu-dengeki-jogakuin-seifuku-zukan	私立電撃女学院制服図鑑	1	1	1/1	2004-03	2004-03
Shueisha home remix	Shueisha home remix	shinsoban	ace-o-nerae	エースをねらえ!	6	0	0/6		
[アイプロセレクション]	通常版	standard	19-sai-no-otto-niwa-himitsu-ga-aru	19歳の夫には秘密がある	3	3	3/3	2019-04-11	2020-08-11
すくパラセレクション	通常版	standard	jinsei-mierukahyou-de-jikan-no-muda-ga-nakunarimashita	「人生見える化表」で、時間のムダがなくなりました	1	1	1/1	2026-08-06	2026-08-06
ぶんか社コミック文庫	文庫版	bunkobon	alice-no-hanamichi	アリスの花道	1	1	1/1	2010-03	2010-03
ぶんか社コミック文庫	文庫版	bunkobon	atashi-ni-yarasena	教師にやらせな!	1	1	1/1	2010-04	2010-04
ぶんか社コミック文庫	文庫版	bunkobon	cafe-do-kimagure-beach	カフェ・ド・きまぐれビーチ	1	1	1/1	2010-05	2010-05
ぶんか社コミック文庫	文庫版	bunkobon	dandara-shinsengumi	ダンダラ新選組	1	1	1/1	2009-10	2009-10
ぶんか社コミック文庫	文庫版	bunkobon	fuufu-wa-tenka-no-mawarimono	夫婦は天下のまわりもの	2	2	2/2	2009-04	2009-04
ぶんか社コミック文庫	文庫版	bunkobon	hiba	飛葉	1	1	1/1	2008-12	2008-12
ぶんか社コミック文庫	文庫版	bunkobon	jitannu-90	ジタンヌ90	2	2	2/2	2008-06	2008-06
ぶんか社コミック文庫	文庫版	bunkobon	kashiwaya-kokko-no-jinsei-manzai	柏屋コッコの人生〔×万〕漫才	1	1	1/1	2006-10	2006-10
ぶんか社コミック文庫	文庫版	bunkobon	kenken-gakugakudon	犬々学々丼	1	1	1/1	2006-03	2006-03
ぶんか社コミック文庫	文庫版	bunkobon	koisuru-melody-musume	恋スルメロディ娘。	1	1	1/1	2010-06	2010-06
ぶんか社コミック文庫	文庫版	bunkobon	l-a-heat	L.A.HEAT	1	1	1/1	2010-05	2010-05
ぶんか社コミック文庫	文庫版	bunkobon	mama-wa-yashinomiwari	ママはやしの実わり	2	2	2/2	2009-05	2009-05
ぶんか社コミック文庫	文庫版	bunkobon	mikosuri-gekijou-harikeen	みこすり半劇場 ハリケーン	1	1	1/1	2006-11	2006-11
ぶんか社コミック文庫	文庫版	bunkobon	mikosuri-gekijou-typhoon	みこすり半劇場 タイフーン	1	1	1/1	2006-11	2006-11
