bucket	imprint	label	slug	title	巻数	同頁の最大他版巻数	価格中央値	書影数	判型	楽天叢書名	ISBN
C_単独版(消すと作品が消える)	AX comicsセレクション	通常版	hakaishin-muhaa-jiruun	破戒神ムハー・ジルーン	2	0	1045	0	コミック	ソニーマガジンズコミックス	9784789792462;9784789783293
C_単独版(消すと作品が消える)	Akita top comics	通常版	4nen-1kumi-kiritsu	4年1組起立!	11	0	429	11	コミック	少年チャンピオンコミックス	9784253189781;9784253050951;9784253050968
C_単独版(消すと作品が消える)	Akita top comics	通常版	kiku	キク	1	0	0	0			9784253240093
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	6	0	628	0	コミック	秋田トップコミックスWIDE	9784253242127;9784253242134;9784253242141
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	浅見光彦ミステリー&旅愁サスペンス	5	0	631	5	コミック	秋田トップコミックスWIDE	9784253247955;9784253247962;9784253247979
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	black-jack-kuroi-ishi-2012	ブラック・ジャック 黒い医師	1	0	628	1	コミック	秋田トップコミックス	9784253243407
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	daimonzu	ダイモンズ	6	0	611	5	コミック	秋田トップコミックス	9784253248013;9784253248020;9784253248037
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	jigoku-no-sougiya	地獄の葬儀屋	2	0	660	2	コミック	SPコミックス　ポケットワイド	9784845854585;9784845854790
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	jingitachi-tachihara2018	仁義S (たち)	8	0	662	8	コミック	秋田トップコミックスWIDE	9784253249485;9784253249492;9784253249508
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	kantou-sangokushi	関東三国志	1	0	628	0	コミック	秋田トップコミックス	9784253244343
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション	12	0	628	0	コミック	秋田トップコミックス	9784253242707;9784253242714;9784253242721
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	maji-sandaana	本気!サンダーナ	3	0	628	0	コミック	秋田トップコミックス	9784253188296;9784253188302;9784253188340
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	nyamily-wandahoo	にゃミリーワンだほー!	2	0	649	1	コミック	秋田トップコミックスWIDE	9784253243575;9784253104753
C_単独版(消すと作品が消える)	Akita top comics wide	通常版	totsugawa-keibu-hanzai-report	十津川警部犯罪レポート	9	0	628	0	コミック	秋田トップコミックスＷＩＤＥ	9784253245210;9784253245227;9784253245234
C_単独版(消すと作品が消える)	Comic魂別冊	通常版	denka-no-houtou-ginjirou	伝家の宝刀・銀次郎	1	0	652	1	ムックその他		9784073407300
C_単独版(消すと作品が消える)	Comic魂別冊	通常版	hanshichi-torimonochou	半七捕物帳	1	0	652	1	ムックその他		9784073404057
C_単独版(消すと作品が消える)	Comic魂別冊	通常版	tezuka-osamu-no-kimyouna-hanashi	手塚治虫の奇妙な話	1	0	652	1	ムックその他		9784074302840
C_単独版(消すと作品が消える)	Comic魂別冊	通常版	tezuka-osamu-no-sarani-kimyouna-hanashi	手塚治虫のさらに奇妙な話	4	0	652	4	ムックその他		9784074308934;9784073404118;9784073407249
C_単独版(消すと作品が消える)	Comic魂別冊	通常版	tezuka-osamu-no-sarani-nakeru-hanashi	手塚治虫のさらに泣ける話	2	0	652	2	ムックその他		9784074305971;9784073402275
C_単独版(消すと作品が消える)	Comic魂別冊叶精作	通常版	shin-onna-kudouden-rei	新女苦道伝れい	3	0	968	3	コミック,ムックその他		9784074304912;9784073404347;9784073411321
C_単独版(消すと作品が消える)	Dセレクション	通常版	nano	N・a・n・o	1	0	0	1			9784840213868
C_単独版(消すと作品が消える)	Moeohセレクション	通常版	shiritsu-dengeki-jogakuin-seifuku-zukan	私立電撃女学院制服図鑑	1	0	0	1			9784840225991
C_単独版(消すと作品が消える)	SPコミックス. SPポケットワイド	通常版	shinjuku-momiji-ike	新宿もみじ池	1	0	679	1	コミック	SPコミックス　ポケットワイド	9784845868698
C_単独版(消すと作品が消える)	SPコミックス　ポケットワイド	通常版	kenkyaku-shoubai-premium-ka	剣客商売プレミアム 家	1	0	0	1			9784845872039
C_単独版(消すと作品が消える)	SPコミックス　ポケットワイド	通常版	niyonin-onmitsuken-senmetsusu	女忍隠密剣 殲滅ス!!	1	0	0	1			9784845872169
C_単独版(消すと作品が消える)	SPコミックス　ポケットワイド	通常版	yo-ni-mo-kimyou-na-jidaigeki-ayakashi	世にも奇妙な時代劇 妖	1	0	0	1			9784845872138
C_単独版(消すと作品が消える)	SPコミックスポケットワイド	通常版	oedo-file	大江戸事件簿	3	0	0	0			9784845858330;9784845862313;9784845865888
