layer	stem	title	ei	etype	label	number	kind	isbn	date	rak_title	rak_author	rak_publisher	other_slug	other_title	in_db	route	layer_note
A_種2のみ(本番未描画)	hyper-restaurant	ハイパーレストラン	0	standard	通常版	1	LEAD	9784870256590	1997-12-08	ハイパーレストラン(1)	霧香&聖娜	スクウェア・エニックス			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	hyper-restaurant	ハイパーレストラン	0	standard	通常版	2	LEAD	9784870253872	1998-09-12	ハイパーレストラン(2)	霧香&聖娜	スクウェア・エニックス			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	shin-nippon-jinbutsushi	新日本人物史	0	standard	通常版	1	LEAD	9784907150679	2015-10	新日本人物史 : ヒカリとあかり. 1	つぼい, こう, 1951-	朝日学生新聞社			o	overrides	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	shin-nippon-jinbutsushi	新日本人物史	0	standard	通常版	2	LEAD	9784907150686	2015-10	新日本人物史 : ヒカリとあかり. 2	つぼい, こう, 1951-	朝日学生新聞社			o	overrides	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	0	standard	通常版	1	LEAD	9784048937740	2018-03	とある魔術の電脳戦機(バーチャロン) : とある魔術の禁書目録×電脳戦機バーチャロン. 1	鎌池, 和馬/ひびぽん/灰村, キヨタカ/竹/カトキ, ハジメ	KADOKAWA			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A_種2のみ(本番未描画)	zettai-reido	絶対麗奴	0	standard	通常版	1	LEAD	9784905965442	1998-02-04	絶対麗奴(1)	アンソロジー	光彩書房			o	seed4	種2に在るが本番のどの頁にも出ていない = 種4結線で出せる可能性
A2_自頁に別巻番号で在る	hana-ichimonme	花いちもんめ	0	standard	通常版	1	LEAD	9784821198658	2001-03-17	花いちもんめ	渡千枝	ぶんか社	hana-ichimonme	花いちもんめ	o	seed4	同じ頁の中に既に在る(番号違い/版違い) = 番号の付け直し領域
A2_自頁に別巻番号で在る	nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道	0	standard	通常版	1	LEAD	9784065357255	2024-05-15	なんだかんだで! 女のはしょり道	伊藤 理佐	講談社	nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道	o	seed4	同じ頁の中に既に在る(番号違い/版違い) = 番号の付け直し領域
A2_自頁に別巻番号で在る	zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	0	standard	通常版	1	LEAD	9784091354020	2002-01-26	続・禁断の恋をしよう	大海 とむ	小学館	zoku-kindan-no-koi-o-shiyou	続・禁断の恋をしよう	o	seed4	同じ頁の中に既に在る(番号違い/版違い) = 番号の付け直し領域
B1_別頁(同題)	bikkuriman-omoshiro-land	ビックリマンおもしろランド	0	standard	通常版	1	LEAD	9784253099295	1988-03-10	ビックリマンおもしろランド(1)	菅野誠一	秋田書店	bikkuriman-omoshirorando	ビックリマン おもしろランド	o	seed4	描画先=bikkuriman-omoshirorando
B1_別頁(同題)	bikkuriman-omoshiro-land	ビックリマンおもしろランド	0	standard	通常版	2	LEAD	9784253099301	1988-03-10	ビックリマンおもしろランド(2)	菅野誠一	秋田書店	bikkuriman-omoshirorando	ビックリマン おもしろランド	o	seed4	描画先=bikkuriman-omoshirorando
B1_別頁(同題)	bikkuriman-omoshiro-land	ビックリマンおもしろランド	0	standard	通常版	3	LEAD	9784253099318	1988-04-16	ビックリマンおもしろランド(3)	菅野誠一	秋田書店	bikkuriman-omoshirorando	ビックリマン おもしろランド	o	seed4	描画先=bikkuriman-omoshirorando
B1_別頁(同題)	hannintachi-no-file-kindaichi-shounen-no-file-gaiden	犯人たちの事件簿	0	standard	通常版	1	LEAD	9784065104323	2017-11	犯人たちの事件簿 : 金田一少年の事件簿外伝. 1	天樹, 征丸, 1962-/金成, 陽三郎/さとう, ふみや/船津, 紳平, 1989-	講談社	hannintachi-no-file	犯人たちの事件簿	o	seed4	描画先=hannintachi-no-file
