判定	Wiki題	Wiki作者	Wiki掲載期間	slug	本番magazine	本番著者/題
AUTHOR?	DESIRE	小谷憲一	1997-2006	desire-kanazawa-2001	null	金沢有倖
DIFF-NULL	17ANS	小谷憲一	1990-1995	17ans	null	小谷憲一/ホーム社/Seinen
DIFF-NULL	BENGO!	きたがわ翔	2009-2010	bengo	null	きたがわ翔/元榮太一郎/Seinen
DIFF-NULL	BIG乳Sです!	七瀬あゆむ	2004-2005	big-nyuus-desu	null	七瀬あゆむ
DIFF-NULL	DESIRE 2nd season	小谷憲一	2006-2010	desire-2nd-season	null	小谷憲一
DIFF-NULL	Dr.DMAT	菊池昭夫	2011	dr-dmat	null	菊地昭夫/髙野洋/Medicine/Seinen (菊地昭夫=菊池昭夫)
DIFF-NULL	EATER	うすね正俊	1990-1991	eater	null	うすね正俊/Seinen/Henshin
DIFF-NULL	FIGHTING COCK	あだちつよし	1990-1992	fighting-cock	null	あだちつよし
DIFF-NULL	GO FOR ぶれいく	あだちつよし	1999-2000	goo-foo-break	null	あだちつよし/武論尊
DIFF-NULL	GUN DRAGON Σ	寺沢武一	1999	gun-dragon	null	寺沢武一/Seinen/Police
DIFF-NULL	JUDGE MEN	東條仁	2011	judge-men	null	東條仁
DIFF-NULL	NEWSMAN	ふんわり	2006-2007	newsman	null	ふんわり/矢島正雄/Seinen
DIFF-NULL	Oh!透明人間21	中西やすひろ	2002-2004	oh-toumei-ningen-21	null	中西やすひろ/Seinen
DIFF-NULL	RING	島袋光年	2004-2005	ring-2004	null	島袋光年/Seinen
DIFF-NULL	SHOW!	小谷憲一	1996-1997	show-1996	null	小谷憲一
DIFF-NULL	WOW! F1	池沢さとし	1991-1992	wow-f1	null	池沢さとし/Seinen
DIFF-NULL	あかね色の風	車田正美	1995-1996	akaneiro-no-kaze	null	車田正美/Shounen
DIFF-NULL	うっかり♥マリ子さん	葉月京	2009-2010	ukkari-mariko-san	null	葉月京/Seinen
DIFF-NULL	おくさま予備校	山口譲司	2009-2010	oku-sama-yobikou	null	山口譲司
DIFF-NULL	おしとね天繕	山口譲司	2004-2007	oshitone-tenzen	null	山口譲司/Seinen
DIFF-NULL	ごっこ	小路啓之	2010-2011	gokko	null	小路啓之/Seinen/Family Life/Otaku Culture
DIFF-NULL	せさみ☆すとりーと	まつもと泉	1988-1992	sesame-street	null	まつもと泉/Seinen
DIFF-NULL	そして、僕は君に還る	小谷憲一	2010-2011	soshite-boku-wa-kimi-ni-kaeru	null	小谷憲一
DIFF-NULL	どんまい!	若狭たけし	2001-2006	donmai	null	若狭たけし/矢島正雄
DIFF-NULL	ぱらのい屋劇場	あろひろし	1988-1991	paranoiya-gekijou	null	あろひろし
DIFF-NULL	むしむしころころ	あだちつよし	1993-1996	mushimushi-korokoro	null	あだちつよし/武論尊
DIFF-NULL	もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら	椿あす	2011	moshi-koukou-yakyuu-no-joshi-manager-ga-drucker-no-management-o-yondara	null	椿あす/岩崎夏海/Seinen
DIFF-NULL	もーにんぐMOON	富沢順	1991-1992	morning-moon	null	富沢順/Seinen
DIFF-NULL	ゆきのいろ	石川サブロウ	2001-2002	yuki-no-iro	null	石川サブロウ/Drawing/Seinen
DIFF-NULL	オサムシ教授の事件簿	山口よしのぶ	2005-2006	osamushi-kyouju-no-file	null	山口ヨシノブ (山口ヨシノブ=山口よしのぶ)
DIFF-NULL	キメラ	緒方てい	2002-2007	kimera	null	緒方てい/Seinen
DIFF-NULL	ケ・セラ・セラ	玉越博幸	2007-2009	que-ser-ser	null	玉越博幸/Seinen
DIFF-NULL	ゴクジョッ。	宮崎摩耶	2009-2011	gokujotsu	null	宮崎摩耶/Yuri/Seinen
DIFF-NULL	ゴタ消し	大沢俊太郎	2008-2011	gotakeshi	null	大沢俊太郎
DIFF-NULL	ゴンタクレ	蔦二郎	1996-1997	gontakure-1997	null	蔦二郎
DIFF-NULL	ザ・ファンドマネージャー	岩田やすてる	2006	the-fund-manager	null	岩田やすてる/周良貨
DIFF-NULL	ショートソング	小手川ゆあ	2007	short-song	null	小手川ゆあ/枡野浩一
DIFF-NULL	スカイハイ4	髙橋ツトム	2010	sky-high-four	null	高橋ツトム (高橋ツトム=髙橋ツトム)
DIFF-NULL	スカイハイ・ヘヴン	髙橋ツトム	2011	skyhigh-h-v-n	null	高橋ツトム/Seinen (高橋ツトム=髙橋ツトム)
DIFF-NULL	スーパーまるでん	森下裕美	1995-2002	super-maruden	null	森下裕美
DIFF-NULL	ソウルメッセンジャー	きたがわ翔	2011	soul-messenger	null	きたがわ翔/藤沢とおる/Seinen
DIFF-NULL	ソラリウム	伊藤圭一	2002-2003	solarium	null	伊藤圭一
DIFF-NULL	ダイヤモンドがまぶしくて	小泉裕洋	1991-1992	diamond-ga-mabushikute	null	小泉裕洋
DIFF-NULL	トイレの花ちゃん	吉川新	2005-2007	toire-no-hana-chan	null	吉川新
DIFF-NULL	ナギ戦記	内野正宏	2009	nagi-senki	null	内野正宏
DIFF-NULL	ナースステーション	田中つかさ	1988-1990	nurse-station-kozan-1990	null	田中つかさ/高山よしのり
DIFF-NULL	ネイチャー・パイロット	天沼俊	1993-1994	nature-pilot	null	天沼俊
DIFF-NULL	フレフレ少女	よしづきくみち	2008	furefure-shoujo	null	よしづきくみち/橋本裕志/渡辺謙作/Seinen
DIFF-NULL	プリンシパル 諭吉の学校	岩田やすてる	2008	purinshiparu-yukichi-no-gakkou	null	岩田やすてる/鍋田吉郎
DIFF-NULL	マボちゃんDAY BY DAY	田中久志	1990-1996	mabo-chan-dei-bai-dei	null	田中久志/ホーム社
DIFF-NULL	リストラ大王	立原あゆみ	2002-2003	risutora-daiou	null	立原あゆみ
DIFF-NULL	リングにかけろ2	車田正美	2000-2008	ring-2-kakero-2	null	車田正美
DIFF-NULL	ロマンス	高見まこ	1997-2000	romance	null	高見まこ/Love Triangle/Seinen/Heterosexual/Drawing/Family Life
DIFF-NULL	人事課長鬼塚	渡辺獏人	1994-2001	jinji-kachou-onizuka	null	渡辺獏人
DIFF-NULL	企業戦士YAMAZAKI	富沢順	1993-1998	kigyou-suit-yamazaki	null	富沢順/ホーム社/Seinen
DIFF-NULL	働け!メモリちゃん	若狭たけし	2005-2007	hatarake-memori-chan	null	若狭たけし
DIFF-NULL	君だけに愛を	金井たつお	1994-1995	kimi-dakeni-ai-o	null	金井たつお/集新矢/Seinen
DIFF-NULL	君と僕のアシアト	よしづきくみち	2010-2011	kimi-to-boku-no-ashiato	null	よしづきくみち/Seinen
DIFF-NULL	君のナイフ	小手川ゆあ	2009-2011	kimi-no-knife	null	小手川ゆあ/Seinen/Assassins
DIFF-NULL	地獄のアリス	松本次郎	2010-2011	jigoku-no-alice	null	松本次郎/Guns/Seinen
DIFF-NULL	夜逃げ屋本舗	柳澤一明	1992	yonigeya-honpo	null	柳澤一明/永井泰宇
DIFF-NULL	大江戸バーリトゥード	山根和俊	2004-2005	oedo-baaritouudo	null	山根和俊/福内鬼外
DIFF-NULL	大空港	野口賢	1999-2001	daikuukou	null	野口賢/城アラキ
DIFF-NULL	天下人ソウル	鮫島真	2010	tenkanin-soul	null	鮫島真
DIFF-NULL	天職貴族 モン次郎	つの丸	2004-2005	tenshoku-kizoku-monjirou	null	つの丸
DIFF-NULL	実録鬼嫁日記	イトカツ	2005-2006	jitsuroku-oniyome-nikki	null	イトカツ/カズマ
DIFF-NULL	愛修羅 ザ レジェンド	平松伸二	1995-1996	ai-shura-za-legend	null	平松伸士/ホーム社 (平松伸士=平松伸二の誤記)
DIFF-NULL	我が人生にゴルフあり	幡地英明	1992-1995	waga-jinsei-ni-golf-ari	null	幡地英明/高橋三千綱
DIFF-NULL	抱きしめたい	高梨みどり	1991-1993	daki-shimetai	null	高梨みどり
DIFF-NULL	曉!!男塾	宮下あきら	2001-2010	akatsuki-otokojuku	null	宮下あきら
DIFF-NULL	本屋さんにききました。	若狭たけし	2009-2011	honya-san-ni-kikimashita	null	若狭たけし
DIFF-NULL	東京	立原あゆみ	1999-2002	tokyo	null	立原あゆみ
DIFF-NULL	極楽ファミリー	唯洋一郎	1989-2001	gokuraku-family	null	唯洋一郎
DIFF-NULL	死神監察官雷堂	渡辺獏人	2006-2010	shinigami-kansatsukan-raidou	null	渡辺獏人
DIFF-NULL	毒×恋	克・亜樹	2008-2009	doku-koi	null	克・亜樹
DIFF-NULL	温泉へゆこう!	中西やすひろ	1996-2001	onsen-e-yukou	null	中西やすひろ/石川理夫/Seinen
DIFF-NULL	炎の料理人 周富徳	今泉伸二	1995-1998	honoo-no-ryourinin-shuu-tomitoku	null	今泉伸二/荒仁/企画/K
DIFF-NULL	狂四郎2030	徳弘正也	1997-2004	kyoushirou-2030	null	徳弘正也
DIFF-NULL	狗ハンティング	野口賢	2005-	inu-hanteingu	null	野口賢/夢枕獏/子安秀明
DIFF-NULL	王様の仕立て屋	大河原遁	2003-2011	ou-sama-no-shitateya	null	大河原遁/片瀬平太
DIFF-NULL	瑠璃の方船	海埜ゆうこ	2007-2008	ruri-no-hakobune	null	海埜ゆうこ/夢枕獏
DIFF-NULL	瑠璃子女王の華麗なる日々	巻来功士	1997-1998	ruriko-joou-no-kareinaru-hibi	null	巻来功士
DIFF-NULL	競艇少女	小泉裕洋	1996-1998	kyoutei-shoujo	null	小泉裕洋/寺島優/Seinen
