巻数	タイトル	最新巻発売月	未発売	状態	著者	出版社	総巻数(全版合計)	slug	URL
63	金瓶梅	2026-07		completed	竹崎真実	bunkasha	63	kinpeibai	https://mangal.shuichi0725.workers.dev/manga/kinpeibai
62	新コボちゃん	2026-11	予約	ongoing	植田まさし	houbunsha	62	shin-kobo-chan	https://mangal.shuichi0725.workers.dev/manga/shin-kobo-chan
50	名探偵コナン特別編	2026-05		ongoing	青山剛昌/平良隆久/阿部ゆたか/丸伝次郎/太田勝/窪田一裕	shogakukan	50	meitantei-conan-2005	https://mangal.shuichi0725.workers.dev/manga/meitantei-conan-2005
45	しずくちゃん	2026-09		ongoing	ぎぼりつこ	iwasakishoten	45	shizuku-chan	https://mangal.shuichi0725.workers.dev/manga/shizuku-chan
34	ソード・オラトリア	2026-07		ongoing	大森藤ノ/矢樹貴	square-enix	34	sword-oratoria	https://mangal.shuichi0725.workers.dev/manga/sword-oratoria
31	純情ロマンチカ	2026-09		ongoing	中村春菊	kadokawa	31	junjou-romantica	https://mangal.shuichi0725.workers.dev/manga/junjou-romantica
30	+ チック姉さん	2026-07		ongoing	栗井茶	square-enix	30	plus-chikku-nee-san	https://mangal.shuichi0725.workers.dev/manga/plus-chikku-nee-san
30	Q.E.D.iff	2025-04		completed	加藤元浩	kodansha	30	q-e-d-iff	https://mangal.shuichi0725.workers.dev/manga/q-e-d-iff
29	Murciélago	2026-07		ongoing	よしむらかな	square-enix	29	murci-lago	https://mangal.shuichi0725.workers.dev/manga/murci-lago
27	終の退魔師-エンダーガイスター-	2026-10	予約	ongoing	四方山貴史	shogakukan	27	tsui-no-taimashi-endaagaisutaa	https://mangal.shuichi0725.workers.dev/manga/tsui-no-taimashi-endaagaisutaa
26	ガールズ&パンツァーもっとらぶらぶ作戦です!	2026-10	予約	ongoing	弐尉マルコ	kadokawa	26	girls-ando-panzer-motto-raburabu-sakusen-desu	https://mangal.shuichi0725.workers.dev/manga/girls-ando-panzer-motto-raburabu-sakusen-desu
24	クローズ外伝鳳仙花	2026-01		completed	高橋ヒロシ	akita	24	crows-gaiden-housenka	https://mangal.shuichi0725.workers.dev/manga/crows-gaiden-housenka
24	今宵、妻が。	2026-10	予約	ongoing	佐野タカシ	nihon-bungeisha	24	koyoi-tsuma-ga	https://mangal.shuichi0725.workers.dev/manga/koyoi-tsuma-ga
22	Fate/Grand Order-turas réalta-	2026-05		ongoing	TYPE-MOON/カワグチタケシ	kodansha	22	fate-grand-order-turas-r-alta	https://mangal.shuichi0725.workers.dev/manga/fate-grand-order-turas-r-alta
21	SUPER LOVERS	2026-09		ongoing	あべ美幸	kadokawa	21	super-lovers	https://mangal.shuichi0725.workers.dev/manga/super-lovers
21	世界一初恋	2026-05		ongoing	中村春菊	kadokawa	21	sekaiichi-hatsukoi	https://mangal.shuichi0725.workers.dev/manga/sekaiichi-hatsukoi
20	戦国小町苦労譚	2026-06		ongoing	夾竹桃/平沢下戸/沢田一	earth-star	20	sengoku-komachi-kurou-tan	https://mangal.shuichi0725.workers.dev/manga/sengoku-komachi-kurou-tan
19	ファイブスター物語	2026-05		ongoing	永野護	kadokawa	19	faibu-star-stories	https://mangal.shuichi0725.workers.dev/manga/faibu-star-stories
19	解雇された暗黒兵士〈30代〉のスローなセカンドライフ	2026-07		ongoing	岡沢六十四/るれくちぇ	kodansha	19	kaikosareta-sareta-ankoku-heishi-30-dai-no-slow-na-sekando-life	https://mangal.shuichi0725.workers.dev/manga/kaikosareta-sareta-ankoku-heishi-30-dai-no-slow-na-sekando-life
17	Wジュリエット2	2026-07		ongoing	絵夢羅	hakusensha	17	w-juliet-2	https://mangal.shuichi0725.workers.dev/manga/w-juliet-2
17	リラックマ4クママンガ	2026-06		ongoing	コンドウアキ	shufu-to-seikatsu	17	rirakkuma-4kuma-4-ga	https://mangal.shuichi0725.workers.dev/manga/rirakkuma-4kuma-4-ga
17	機動戦士ガンダムNT(ナラティブ)	2025-11		completed	大森倖三	kadokawa	17	kidou-senshi-gundam-narrative	https://mangal.shuichi0725.workers.dev/manga/kidou-senshi-gundam-narrative
17	薬屋のひとりごと	2026-07		ongoing	日向夏/ねこクラゲ	square-enix	17	kusuriya-no-hitorigoto-shino	https://mangal.shuichi0725.workers.dev/manga/kusuriya-no-hitorigoto-shino
16	よつばと!	2025-02		ongoing	あずまきよひこ	ascii-media-works	16	yotsuba-to	https://mangal.shuichi0725.workers.dev/manga/yotsuba-to
16	ガチ恋粘着獣	2025-09		completed	星来	coamix	16	gachikoi-nenchakujuu	https://mangal.shuichi0725.workers.dev/manga/gachikoi-nenchakujuu
16	不遇職〈鑑定士〉が実は最強だった	2025-06		completed	茨木野/藤モロホシ	kodansha	16	fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	https://mangal.shuichi0725.workers.dev/manga/fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta
