slug	title	authors	year	publisher	total_volumes
ippei-zenshuu	一平全集	岡本一平	1929	(unknown)	20
minamoto-no-yoshitsune	源義経	堀江卓	1930	kodansha	5
norakuro-joutouhei	のらくろ上等兵	田河水泡	1932	kodansha	6
norakuro-gochou	のらくろ伍長	田河水泡	1933	kodansha	7
dekoboko-kurobee	凸凹黒兵衛	田河水泡	1933	kodansha	9
norakuro-gunsou	のらくろ軍曹	田河水泡	1934	kodansha	7
norakuro-souchou	のらくろ曹長	田河水泡	1935	kodansha	6
norakuro-shoutaichou	のらくろ小隊長	田河水泡	1936	kodansha	6
norakuro-shoui	のらくろ少尉	田河水泡	1937	kodansha	7
norakuro-soukougeki	のらくろ総攻撃	田河水泡	1937	kodansha	3
norakuro-buyuudan	のらくろ武勇談	田河水泡	1938	kodansha	6
norakuro-kesshi-taichou	のらくろ決死隊長	田河水泡	1938	kodansha	3
norakuro-tankentai	のらくろ探検隊	田河水泡	1939	kodansha	5
kaijin-koronko-hakase	怪人コロンコ博士	手塚治虫	1947	(unknown)	1
tako-no-hatsu-chan	蛸の八ちゃん	田河水泡	1949	kodansha	5
kanra-karabee	カンラ・カラ兵衛	原一司	1951	(unknown)	3
ie-naki-ko	家なき子	沖倉利津子	1953	(unknown)	3
shounen-keniya	少年ケニヤ	山川惣治・石川球太	1953	kadokawa	29
sugata-sanshirou-1987	姿三四郎	(unknown)	1954	shinchosha	2
kappa-tengoku	かっぱ天国	清水崑	1955	(unknown)	4
pikadon-kun	ピカドンくん	ムロタニツネ象	1955	(unknown)	4
yurishiizu	ユリシーズ	藤子・F・不二雄	1955	(unknown)	1
anmitsuhime	あんみつ姫	倉金章介	1956	kodansha	6
himawari-nikki	ひまわり日記	あさぎり夕	1957	kodansha	2
akadou-suzunosuke	赤胴鈴之助	武内つなよし	1957	(unknown)	20
fuichin-san	フイチンさん	上田トシコ	1958	(unknown)	5
wakakusa-monogatari	若草物語	高河ゆん	1959	gakken	2
yotarou-kun	よたろうくん	山根赤鬼	1960	(unknown)	14
supootsuman-kintarou	スポーツマン金太郎	寺田ヒロオ	1960	(unknown)	10
shadow	影	山田ミネコ	1960	daitosha	2
kaiketsu-harimao	快傑ハリマオ	石ノ森章太郎	1960	(unknown)	9
sebangou-0	背番号0	寺田ヒロオ	1960	(unknown)	7
daikouzui-jidai	大洪水時代	手塚治虫	1962	kadokawa	2
hachi-no-su-taishou	ハチのす大将	ちばてつや	1963	shueisha	3
yuka-o-yobu-umi	ユカをよぶ海	ちばてつや	1963	shueisha	10
ninpou-juuban-shoubu	忍法十番勝負	一峰大二・堀江卓	1966	(unknown)	2
bonbon	ボンボン	石ノ森章太郎	1967	mediafactory	4
shinigami-hakase	死神博士	川崎のぼる	1967	akita	2
kuroi-nekomen	黒いねこ面	楳図かずお	1967	akita	2
konnichiwa-sensei	こんにちは先生	水野英子	1968	fusion-product	4
