slug	title	authors	year	publisher	total_volumes
1000nichi-no-diana	1000日のディアナ	島津郷子	2000	shueisha	1
13-gatsu-no-hanataba	13月の花束	本田恵子	2000	futabasha	1
5-nenme-no-u-turn	5年めのUターン	のがみけい	2000	shueisha	1
80-bunch-no-inu	80番地の犬	西田陽子	2000	scola	6
81-bunch-no-inu	81番地の犬	西田陽子	2000	scola	6
82-bunch-no-inu	82番地の犬	西田陽子	2000	aoba-shuppan	5
asumi-miura	ASUMI	三浦みつる	2000	kodansha	1
aitsu-2	A・I・TSU	沖野ヨーコ	2000	kodansha	1
bc-adam	B.C.アダム	赤塚不二夫	2000	shogakukan	1
big	BIG	むつ利之	2000	kodansha	1
body-shooting	BODY Shooting	森園みるく	2000	scola	2
body-talk	BODY TALK	原のり子	2000	futabasha	1
city-masquerade	CITYマスカレード	深見じゅん	2000	kodansha	1
dc-chinpira	DCちんぴら	長浜幸子	2000	shueisha	1
doraemon-2009	DORAEMON	海野一雄	2000	(unknown)	1
dark-moon	Dark Moon	矢萩貴子	2000	byakuya-shobo	1
dokutaa-aiko-no-shinsatsushitsu	Dr.亜衣子の診察室	大島岳詩	2000	mediax	1
fate-stay-night-2	Fate/stay night	カタセミナミ・しゃあ・むねきち・桐原小鳥・胡原おみ・城爪草・田中松太郎・Profおおつき@酔月・さかつき@めにまね・高井夜音・杉沢沙祟・たぽ・凪妖女・GUNP・しなのゆら	2000	ozora-shuppan	1
game-over-inoe	Game Over	尾崎未来	2000	shueisha	1
gen-si-kaki-ayam-hadashi-no-gen	Gen si kaki ayam （Hadashi no Gen）	中沢啓治・K	2000	(unknown)	1
eichiesupii-no-arukikata	HSPの歩き方	おがたちえ	2000	akita	1
japan-moto	JAPAN	須本壮一	2000	futabasha	1
jour-de-neige	JOUR DE NEIGE	竹坂かほり	2000	kodansha	1
kee-shi-no-yuigon	K氏の遺言	三山節子	2000	futabasha	1
maico-2010	MAICO 2010	清水としみつ	2000	shonen-gahosha	2
mr-dozaemon	MR.DOZAEMON	三浦みつる	2000	kodansha	1
my-little-lover	MY LITTLE LOVER	氷栗優	2000	aoba-shuppan	1
madammei	Madamメイ	武田京子	2000	kodansha	2
mai-mai-darling	My舞ダーリン	星野めみ	2000	scola	1
noah-s-ark	NOAH'S ARK	本庄敬	2000	ozora-shuppan	3
power-fool	POWER FOOL	守村大・狩撫麻礼	2000	kodansha	1
q-hayase	Q	はやせ淳	2000	futabasha	1
rude39	RUDE39	福本伸行	2000	takeshobo	1
shop-riido-koutarou	SHOPLEAD航太郎	人見惠史	2000	futabasha	8
soap	SOAP	飛龍乱	2000	(unknown)	1
speed-yamamoto	SPEED	山本賢治	2000	wani-magazine	1
super-baseball-club	SUPER BASEBALL CLUB	野中英次	2000	kodansha	1
tamiko-san-no-koibito	TAMIKOさんの恋人	もんでんあきこ	2000	futabasha	1
taxi-driver	TAXIドライバー	遊人	2000	kodansha	1
tokio-to-kakeru	TOKIOとカケル	赤塚不二夫	2000	shogakukan	1
tom	TOM	長浜幸子	2000	futabasha	1
turugi-hirano	TURUGI	平野仁	2000	leed	1
za-bakumatsu-kessaku	The 幕末	かわぐちかいじ	2000	gakken	1
za-ninja	The忍者	さいとう・たかを	2000	gakken-2	1
xy	XY	東城麻美	2000	takeshobo	1
zero-hour	ZERO HOUR	武本サブロー	2000	mediafactory	1
hihou-surooraifu-o-okuritai-ore-hyakumagan-ryuuou-datta	〈悲報〉スローライフをおくりたいオレ、百魔眼竜王だった	吐露ころと	2000	hifumi-shobo	2
ashita-no-synopsis	あしたのシノプシス	河あきら	2000	kodansha	1
ashita-haru-kara	あした春から!	永松潔	2000	takeshobo	1
anata-dake-kyou-wa	あなただけ今日は	永松潔	2000	wani-books	1
anata-ni-wa-kiken-na-kaori	あなたには危険な香り	岡田純子	2000	shufu-to-seikatsu	1
ano-akujo-niwa-bou-kun-ga-hitsuyou-da	あの悪女には暴君が必要だ	8garak	2000	hifumi-shobo	3
abunai-deka	あぶない刑事	日高七緒	2000	shonen-gahosha	2
ikenai-day-dream	いけないDAY DREAM	中西やすひろ	2000	kodansha	3
ijiwaru-na-jokyouju-wa-asebamu-karada-ni-go-shuushin	いじわるな助教授は汗ばむカラダにご執心	ミコトアヤ	2000	g-walk	2
ijiwaru-jii-san	いじわる爺さん	赤塚不二夫	2000	shogakukan	1
itsuka-bobii-no-you-ni	いつかボビーのように	政岡としや	2000	futabasha	1
itsuka-yasashii-ame-ni-naru	いつか優しい雨になる	ポリー	2000	hifumi-shobo	2
itemae-keibu	いてまえ警部	どおくまん	2000	tokuma	2
usaginokomugi-chan	うさぎの小麦ちゃん	小橋もと子	2000	kodansha	1
okiraku-mama	おきらくママ	新田朋子	2000	kobunsha	1
oji-san-ha-paasuu-man	おじさんはパースーマン	赤塚不二夫	2000	shogakukan	2
ore-wa-gebatetsu	おれはゲバ鉄!	赤塚不二夫	2000	shogakukan	2
onna-no-sai	おんなの彩	深見じゅん	2000	shueisha	1
obaka-san-girl	おバカさんGirl	深谷かほる	2000	shufu-to-seikatsu	1
oaji-wa-ikaga	お味はいかが?	三山節子	2000	shueisha	1
omiyage-wa-naani	お土産はなあに?	八潮路つとむ	2000	shueisha	1
omuko-ga-hoshii	お婿が欲しい!!	のがみけい	2000	shueisha	1
ojousama-gojoudan-o	お嬢様、ご冗談を!	内村月子	2000	kodansha	1
otakara-kei	お宝系	赤塚不二夫	2000	shogakukan	1
owarai-ha-korekara-da	お笑いはこれからだ	赤塚不二夫	2000	shogakukan	1
kawaii-hito-yamakami	かわいいひと	やまかみ梨由	2000	tokuma	1
kantoku	かんとく	ぼっしぃ	2000	kodansha	1
kyou-no-koronpeku	きょうのコロンペク	クリハラタカシ	2000	fukuinkan-shoten	1
kokodake-no-hanashi	ここだけの話	尾崎未来	2000	shueisha	1
kochira-lady-mama	こちらレディー・ママ	森本梢子	2000	shueisha	1
saishin-tensai-bakabon	さいしん天才バカボン	赤塚不二夫	2000	shogakukan	1
sayonara-no-mori	さよならの森	しらいしあい	2000	shufu-to-seikatsu	1
shiawase-midnight	しあわせミッドナイト	神崎春子	2000	shonen-gahosha	1
soshite-boku-wa-kekkon-ni-hashitta	そして僕は結婚にはしった	菊川近子	2000	kodansha	1
sono-akujo-ni-ki-o-tsukete-kudasai	その悪女に気をつけてください	Blue Canna	2000	hifumi-shobo	3
soredemo-koi-wa-koi	それでも恋は恋	西尚美	2000	kodansha	2
sore-wa-chotto-oishii-kusuri	それはちょっとおいしい薬	小沢真理	2000	kodansha	1
tama-chan	たまちゃん	小道迷子	2000	futabasha	1
dakishimete	だきしめて	夢野一子	2000	kodansha	1
tsuge-yoshiharu-shiryou-shuusei	つげ義春資料集成	つげ義春	2000	(unknown)	1
tsumannai-ko-chan	つまんない子ちゃん	赤塚不二夫	2000	shogakukan	1
tsunkoro-tasuke	つんころ太介	山崎匡佑	2000	futabasha	1
tomaranai-nemurenai	とまらない眠れない	永田トマト	2000	nihon-shuppansha	1
tondemo-kirara-story	とんでも・きらら・物語	村田順子	2000	kadokawa	1
nanjara-mama	なんじゃらママ	赤塚不二夫	2000	shogakukan	1
hai-cheese	はい、チーズ!!!	ごとう和	2000	kodansha	1
harukanaru-chiheisen-yori	はるかなる地平線より	まさき輝	2000	kodansha	1
barairo-no-jinsei	ばら色の人生	高野宮子	2000	gentosha	2
hisauchi-michio-kenkyuu-2-ai-no-tabou-ni-tsuite-sukebe-wa-tsurai-yotsu	ひさうちみちお研究2 愛の多忙について スケベはつらいよっ!	ひさうちみちお	2000	daiwa-shobo	1
binbin-eyes	びんびんeyes	清水としみつ	2000	shonen-gahosha	4
piichiku-paachiku	ぴーちくぱーちく	滝沢ひろゆき	2000	shonen-gahosha	1
fumantare-buu	ふまんたれブー	ぬまじりよしみ	2000	futabasha	1
hon-no-joke-de	ほんのジョークで・・・	西尚美	2000	kodansha	1
bokutachi-no-mure	ぼくたちの群れ	立原あゆみ	2000	kodansha	1
boku-ha-kemugoro	ぼくはケムゴロ	赤塚不二夫	2000	shogakukan	1
maajan-yoiko	まあじゃんよゐこ	浜口乃理子	2000	takeshobo	1
manga-zankoku-nippon-banashi-inagaki	まんが残酷日本むかしばなし	稲垣みさお	2000	bunkasha	1
manga-zankoku-nippon-banashi	まんが残酷日本むかしばなし	まつざきあけみ	2000	bunkasha	1
mikan-honkan-natsumikan	みかんホンカン夏蜜柑	ぬまじりよしみ	2000	futabasha	1
mimi-koko-momo	みみここもも	美川べるの	2000	gentosha	2
mou-hitotsu-no-ashita	もうひとつの朝	おおにし真	2000	kodansha	2
moshikashite-cinderella	もしかしてシンデレラ	たらさわみち	2000	kodansha	1
moshi-koukou-yakyuu-no-joshi-manager-ga-drucker-no-management-o-yondara	もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら	椿あす	2000	shueisha	3
motto-ganbare-kieruna-shikiso-usuko-san	もっと!がんばれ!消えるな!!色素薄子さん	水月とーこ	2000	ichijinsha	1
motto-hanashi-o-shitainodakedo	もっと話をしたいのだけど。	七瀬はし	2000	libre	2
monoshiri-mama-no-chieko-san	ものしりママのチエ子さん	永田竹丸	2000	houbunsha	1
yarinaoshi-tensei-reijou-wa-zamaa-shitai-noni-dekiai-dekiaisareru	やり直し転生令嬢はざまぁしたいのに溺愛される	ララ	2000	hifumi-shobo	3
yonaki-udon	よなきうどん	坂田靖子	2000	magazine-magazine	1
wagamama-na-tenshi	わがままな天使	浜田翔子	2000	hakusensha	1
watanabe-masako-kyoufu-gekijou-yashagaike	わたなべまさこ恐怖劇場 夜叉ヶ池	わたなべまさこ	2000	futabasha	1
aiko-sajiyuurokusai	アイコ36歳	本間千恵子	2000	kodansha	1
asobi-shimashou	アソビ、しましょう	長浜幸子	2000	futabasha	1
adam-no-happa	アダムの葉っぱ	深見じゅん	2000	kodansha	1
animal-sakusen	アニマル作戦	赤塚不二夫	2000	shogakukan	2
arbeiter-shinko	アルバイター新子	楠木あると	2000	kodansha	1
anpan-no	アンパンの。	小橋もと子	2000	kodansha	2
umbrella-monogatari	アンブレラ物語	沖野ヨーコ	2000	kodansha	1
wannabes	ウァナビーズ	須本壮一	2000	takeshobo	1
ema-no-omokage	エマの面影	わたなべまさこ	2000	ozora-shuppan	1
eva-lady-miyonescy	エヴァ・レディ	御米椎	2000	takeshobo	1
oak-hill-house-no-sanshimai	オークヒルハウスの三姉妹	神奈幸子	2000	kodansha	1
audition	オーディション	たらさわみち	2000	shonen-gahosha	1
kauchi-tomato-zoku	カウチトマト族	永田トマト	2000	leed	1
charisma-2	カリスマ	花小路ゆみ	2000	houbunsha	4
kampfgruppe-zbv	カンプグルッペZbv	小林源文	2000	gakken	1
gakuran-jingi	ガクラン仁義	本宮ひろ志	2000	kodansha	1
glass-no-jidai	ガラスの時代	たらさわみち	2000	shonen-gahosha	1
glass-no-kutsu-wa-niawanai	ガラスの靴は似合わない	中村真理子	2000	kodansha	1
giganteisu-no-yaiba	ギガンティスの刃	破李拳竜	2000	tokyo-sanseisha	1
gyagu-no-ou-sama	ギャグの王様	赤塚不二夫	2000	shogakukan	2
gag-land	ギャグランド	赤塚不二夫	2000	shogakukan	1
gyaguya	ギャグ屋	赤塚不二夫	2000	shogakukan	1
crystal-doll	クリスタル・ドール	おおにし真	2000	kodansha	1
cross-love-kizokukan	クロスラブ・貴族館	内村月子	2000	kodansha	1
kurokke-kun	クロッケくん	赤塚不二夫	2000	shogakukan	1
gurenderu-seiza	グレンデル星座	筒井百々子	2000	(unknown)	1
kongu-oyaji	コングおやじ	赤塚不二夫	2000	shogakukan	1
god-bonbon	ゴッドボンボン	吉田戦車	2000	ascii-media-works	1
godo	ゴドー	三山のぼる	2000	kodansha	2
ghost-aya-2	ゴースト	内山まもる	2000	futabasha	2
gold-2	ゴールド	山本隆一郎	2000	shonen-gahosha	2
sunny-side-up	サニー・サイド・アップ	本田恵子	2000	futabasha	1
surprise-hotel	サプライズホテル	魔夜峰央	2000	takeshobo	1
salaryman-shokei-ni-sasagu	サラリーマン諸兄に捧ぐ?	つのだじろう	2000	kodansha	2
za-suidou-man	ザ・水道マン	若林健次	2000	futabasha	1
shakishaki-cafe	シャキシャキ・カフェ	片山まさゆき	2000	kodansha	1
cinderella-husband	シンデレラ・ハズバンド	里中満智子	2000	kodansha	1
japanese-inn	ジャパニーズイン	村田順子	2000	ozora-shuppan	1
scandal-hunter	スキャンダル・ハンター	みね武	2000	studio-ship	1
scandal-club	スキャンダル倶楽部	いしかわじゅん	2000	kodansha	1
star-lord	スターロード	まつい智	2000	kodansha	2
sukkiri-shitene	スッキリしてね!	松山三津夫	2000	futabasha	2
supooshon-kid	スポーションKID	高田裕三	2000	kodansha	1
supooshon-kids	スポーションKIDS	高田裕三	2000	kodansha	1
suu-sento-marii-no-koi	スー・セント・マリーの恋	文月今日子	2000	ozora-shuppan	1
titanic-mama	タイタニックママ	寺島令子	2000	studio-ship	1
tatoru-kun	タトル君	赤塚不二夫	2000	shogakukan	1
taratta-pon	タラッタ★ポン	赤星たみこ	2000	kodansha	1
tanpopobashi-watare	タンポポ橋わたれ!	古谷三敏	2000	mediafactory	1
chibidon	チビドン	赤塚不二夫	2000	shogakukan	1
chin-shitene	チンしてね!	ぬまじりよしみ	2000	futabasha	2
cheek-time	チークタイム	朔本敬子	2000	kodansha	1
cheeklet-love	チークレット・らぶ	小橋もと子	2000	kodansha	2
tiffany-de-yakusoku-o	ティファニーで約束を	神奈幸子	2000	kodansha	1
debut	デビュー	長浜幸子	2000	hakusensha	1
toerutoeruto	トエルトエルト	千年銀	2000	hifumi-shobo	2
trouble-cherry	トラブル☆チェリー	佐野タカシ	2000	shonen-gahosha	1
triple-r	トリプルR	ほんまりう	2000	mediafactory	1
tokyo-game	トーキョーゲーム	青山広美	2000	takeshobo	2
domestic	ドメスティック	坂辺周一	2000	houbunsha	2
nana-to-lili	ナナとリリ	里中満智子	2000	(unknown)	2
napoleon	ナポレオン	井上恵美子	2000	kodansha	1
nurse-no-oshigoto	ナースのお仕事	岸香里・美羽さゆら・香椎オルカ・水原冬樹	2000	scola	1
nyarome-no-omoshiro-shogi-nyuumon	ニャロメのおもしろ将棋入門	赤塚不二夫	2000	(unknown)	1
neonbana	ネオン華	東克美	2000	houbunsha	2
neko-no-me-news	ネコの目ニュース	赤塚不二夫	2000	shogakukan	1
non-virgin-ga-suteki	ノン・バージンが素敵	大島岳詩	2000	schubert-shuppan	1
nooi	ノーイ	深谷かほる	2000	kodansha	1
happy-end-kamoshirenai	ハッピーエンドかもしれない	目白花子	2000	shueisha	1
basuruumu-no-ihoujin	バスルームの異邦人	長浜幸子	2000	shueisha	1
babatchisensei	ババッチ先生	赤塚不二夫	2000	shogakukan	1
bank-after5	バンクafter5	成毛厚子	2000	kodansha	1
virgin-jinsei-dokuhon	バージン人生読本	現代洋子	2000	kodansha	1
powder-snow-no-ie	パウダー・スノーの家	もんでんあきこ	2000	futabasha	1
papa-wa-okama-san	パパはオカマさん	いがらしゆみこ	2000	kodansha	1
paapeki-otoko-zoku	パーペキオトコ族	亜月裕	2000	kodansha	1
hitaano-no-musume	ヒターノの娘	原のり子	2000	futabasha	1
vibraphone	ビブラフォン	篠有紀子	2000	shufu-to-seikatsu	1
piasunomadoi	ピアスの惑い	菊川近子	2000	kodansha	1
piyo-13-sei	ピヨ13世	赤塚不二夫	2000	shogakukan	1
