slug	巻	isbn13	発売日	価格	seriesName	size	楽天author	楽天title	種4source	seed
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	2	9784253242127	2007年03月13日頃	576	秋田トップコミックスWIDE	コミック	赤川次郎	赤川次郎ミステリー三毛猫ホームズと名探偵たち（2）	rakuten	volumes-supplement.yml
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	2	9784253247962	2019年04月25日頃	631	秋田トップコミックスWIDE	コミック	内田康夫	浅見光彦ミステリー＆旅愁サスペンス（2）	rakuten	volumes-supplement.yml
asami-mitsuhiko-mystery-ando-ryoshuu-sasupensu	3	9784253247979	2019年05月30日頃	611	秋田トップコミックスWIDE	コミック	内田康夫	浅見光彦ミステリー＆旅愁サスペンス（3）	rakuten	volumes-supplement.yml
chotto-dake-kaettekita-dokutaa-slump	2	9784088060071	1995年04月19日頃	694	Vジャンプブックスコミックスシリーズ　セルバージョン	コミック	鳥山明/小山高生	ちょっとだけかえってきたDr．スランプ（2）	rakuten	volumes-supplement.yml
furiisukiru-de-saikyou-boukensha	3	9784866579498	2026年06月18日頃	847	FWコミックスオルタ	コミック	栗田くろまめ/瀬戸メグル	フリースキルで最強冒険者 〜ペットも無双で異世界生活が楽しすぎる〜 3	ndl-distill-2026	volumes-supplement.yml
gekiga-kachikujin-yapuu	1	9784344802391	2003年05月24日頃	726	バーズコミックス	コミック	江川達也/沼正三	家畜人ヤプー（1）	rakuten	volumes-supplement.yml
hikikomori-tensei	3	9784344854659	2024年09月24日	792	バーズコミックス	コミック	片岡直太郎/石川チカ	ひきこもり転生（3）	rakuten	volumes-supplement.yml
kameraman-monogatari	2	9784537036961	1991年08月	533	ゴラク・コミックス	単行本	荒尾和彦	カメラマン物語（2）	rakuten	volumes-supplement.yml
kankin-ou	5	9784040756400	2024年10月08日	759	ドラゴンコミックスエイジ	コミック	あしもと☆よいか/マサイ/ぺい	監禁王　5	rakuten-local	volumes-supplement-auto.yml
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	8	9784253244824	2013年03月	628	秋田トップコミックス	コミック	西村京太郎	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション（8）	rakuten	volumes-supplement.yml
konpeki-no-kantai	17	9784198301866	1998年12月02日頃	1058	少年キャプテンコミックススペシャル	コミック	居村真二/荒巻義雄	紺碧の艦隊（17）	rakuten-local	volumes-supplement-auto.yml
meitantei-conan-2005	3	9784091425331	1997年11月28日	429	てんとう虫コミックス（少年）	コミック	青山 剛昌/山岸 栄一	名探偵コナン 特別編 3	k3-unrendered	volumes-supplement.yml
meitantei-conan-2005	4	9784091425348	1998年03月18日	429	てんとう虫コミックス（少年）	コミック	青山 剛昌/山岸 栄一	名探偵コナン 特別編 4	k3-unrendered	volumes-supplement.yml
meitantei-conan-2005	8	9784091425386	1999年08月07日	429	てんとう虫コミックス（少年）	コミック	青山 剛昌/山岸 栄一	名探偵コナン 特別編 8	k3-unrendered	volumes-supplement.yml
meitantei-conan-2005	9	9784091425393	1999年12月18日	429	てんとう虫コミックス（少年）	コミック	青山 剛昌/山岸 栄一	名探偵コナン 特別編 9	k3-unrendered	volumes-supplement.yml
meitantei-conan-2005	12	9784091427823	2000年12月25日	429	てんとう虫コミックス（少年）	コミック	青山 剛昌/山岸 栄一	名探偵コナン 特別編 12	k3-unrendered	volumes-supplement.yml
ou-taishihi-ni-nante-nari-takunai	4	9784758088145	2025年09月30日	836	ZERO-SUMコミックス	コミック	鴨野 れな/月神 サキ/蔦森 えん	王太子妃になんてなりたくない!! 婚約者編　4巻	rakuten	volumes-supplement.yml
ryojou-mystery-file	8	9784408177137	2024年11月19日	699	マンサンコミックス	コミック	内田　康夫/西村　京太郎/苑場　凌/日下部　拓海/鞠之子	旅情ミステリー事件簿（8）名探偵 浅見光彦＆警視庁十津川警部	ndl-live2	volumes-supplement.yml
shinimodori-reijou-no-karisome-kekkon	3	9784785977597	2024年09月05日	759	YKコミックス	コミック	日車メレ/ゆりはらあき	死に戻り令嬢の仮初め結婚　〜二度目の人生は生真面目将軍と星獣もふもふ〜　3	ndl-live	volumes-supplement.yml
touhou-chirei-kiden	5	9784049160482	2024年10月25日頃	902	電撃コミックスEX	コミック	ZUN/秋巻　ゆう	東方智霊奇伝 反則探偵さとり 迷宮編5	ndl-live2	volumes-supplement.yml
yuusha-densetsu-no-uragawa-de-ore-wa-eiyuu-densetsu-o-tsukurimasu	8	9784575420043	2024年11月15日頃	748	モンスターコミックス	コミック	荒井空真/ナカノムラアヤスケ	勇者伝説の裏側で俺は英雄伝説を作ります〜王道殺しの英雄譚〜（8）	ndl-live2	volumes-supplement.yml
