class	slugs	titles	nums
DUP	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024 / kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun	顔に出ない柏田さんと顔に出る太田君+ / 顔に出ない柏田さんと顔に出る太田君	[1, 2, 3] / [1, 2, 3, 4, 5, 6, 7, 8]
DUP	mae-kousetsu-hyakumonogatari / saki-no-kousetsu-hyakumonogatari	前巷説百物語 / 前巷説百物語	[1, 2, 3] / [1]
DUP	shouta-no-sushi-zenkokutaikaihen / shouta-no-sushi	将太の寿司 / 将太の寿司	[1, 2, 3, 4, 5, 6, 7, 8] / [1, 2, 3, 4, 5, 6, 7, 8]
DUP	tezuka-osamu-scenario-shuu / tezuka-osamu-shinarioshuu	手塚治虫シナリオ集 / 手塚治虫シナリオ集	[1] / [1]
SEQ?	3-jou-lovers-furu-count -> kyuujou-lovers	球場ラヴァーズ3-2 -> 球場ラヴァーズ	子[1] 親max=6
SEQ?	dienbienfuu-0 -> dien-bien-phu	ディエンビエンフー0 -> ディエンビエンフー	子[1] 親max=12
SEQ?	fukuyadou-honpo-ni -> fukuyadou-honpo	福家堂本舗弐 -> 福家堂本舗	子[1] 親max=11
SEQ?	geist-crusher-first -> geist-crusher	ガイストクラッシャーファースト -> ガイストクラッシャー	子[1] 親max=5
SEQ?	hakaba-kitarou-2 -> hakaba-kitarou	墓場鬼太郎2 -> 墓場鬼太郎	子[1] 親max=6
SEQ?	heisei-umare-3 -> heisei-umare	平成生まれ3 -> 平成生まれ	子[1] 親max=2
SEQ?	houkago-play-2 -> houkago-play	放課後プレイ2 -> 放課後プレイ	子[1] 親max=1
SEQ?	houkago-play-3 -> houkago-play	放課後プレイ3 -> 放課後プレイ	子[1] 親max=1
SEQ?	jingi-2 -> jingi	仁義2 -> 仁義	子[1] 親max=33
SEQ?	mangaka-san-to-assistant-san-to-2 -> mangaka-san-to-assistant-san-to	マンガ家さんとアシスタントさんと2 -> マンガ家さんとアシスタントさんと	子[1] 親max=10
SEQ?	ninkuu-zero -> ninkuu	忍空 零 -> 忍空	子[1] 親max=9
SEQ?	odds-1 -> odds	Odds+1 -> Odds	子[1] 親max=10
SEQ?	rabuhinazero -> love-hina	ラブひな0 -> ラブひな	子[1] 親max=14
SEQ?	rockman-4 -> rockman	ロックマン4 -> ロックマン	子[1] 親max=1
SEQ?	ruumikku-world-35 -> rumic-world	るーみっくわーるど35 -> るーみっくわーるど	子[1] 親max=3
SEQ?	shinbatsu-1-tenichi -> shinbatsu	神罰1.1 -> 神罰	子[1] 親max=1
SEQ?	terebi-magazine-ban-kamen-rider-v3 -> televi-magazine-ban-kamen-rider	テレビマガジン版・仮面ライダーV3 -> テレビマガジン版・仮面ライダー	子[1] 親max=1
SEQ?	warito-yokuaru-danshikou-teki-love-jijou-2 -> warito-yokuaru-danshikouteki-renaijijou	わりとよくある男子校的恋愛事情2 -> わりとよくある男子校的恋愛事情	子[1] 親max=1
SEQ?	zeburaaman-2 -> zebraman	ゼブラーマン2 -> ゼブラーマン	子[1] 親max=5
