isbn13	巻	頁	頁題	楽天題	seriesName	flag
9784434309526	1	dakara-katte-ni-yuusha-toka-haou-ni-nintei-sunno-yameroyo	だから勝手に勇者とか覇王に認定すんのやめろよ!	だから勝手に勇者とか覇王に認定すんのやめろよ！〜エルフ族も国王様もひれ伏すほど俺	ムゲンライトノベルス	LNレーベル(ムゲンライトノベルス)
9784867780459	1	gokudou-domu-sabu	極道dom/sub	極道Dom／Sub　正しい愚弟の躾け方	秋水デジタルコミックス　BLシリーズ	題不一致
9784434300288	1	mamakatsu-hajimemashita	ママ活はじめました			楽天無し
9784344027398	2	mangaban-nobushi-no-gourmet	漫画版野武士のグルメ	野武士のグルメ（2nd）		題不一致
9784434318078	1	seishun-no-nukarumi	青春のぬかるみ			楽天無し
9784434352607	3	seishun-no-nukarumi	青春のぬかるみ			楽天無し
9784434368561	4	seishun-no-nukarumi	青春のぬかるみ			楽天無し
9784253137836	1	sexy-moto-gokudou	セクシー〈元〉極道	セクシー（元）極道 〜豹変義弟に押し倒されました〜	MIU恋愛MAXCOMICS	題不一致
9784299040008	1	tsuihousareta-saikyou-kuzu-kenja-no-henkyou-kosodate-surooraifu	追放最凶クズ〈?〉賢者の辺境子育てスローライフ	追放最凶クズ(?)賢者の辺境子育てスローライフ クズだと勘違いされがちな最強の善	このマンガがすごい! comics	題不一致
9784824004185	1	akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい	暁の魔女レイシーは自由に生きたい 1　〜魔王討伐を終えたので、のんびりお店を開き	オーバーラップノベルスf	LNレーベル(オーバーラップノベルスf)
9784575247343	1	anata-ni-miren-wa-arimasen	貴方に未練はありません!	貴方に未練はありません！　〜浮気者の婚約者を捨てたら王子様の溺愛が待っていました	Mノベルスf	LNレーベル(Mノベルスf)
9784757578722	1	anata-no-oshiro-no-kobito-san	あなたのお城の小人さん	あなたのお城の小人さん　〜御飯下さい、働きますっ〜（1）	SQEXノベル	LNレーベル(SQEXノベル)
9784758093170	1	arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	アレクサンダー英雄戦記　〜最強の土魔術士〜	一迅社ノベルス	LNレーベル(一迅社ノベルス)
9784091425782	1	beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	ベイブレード魂 タク＆ショウ	コロコロコミックス	題不一致
9784091428851	3	beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	ベイブレード魂 タク＆ショウ（3)	コロコロコミックス	題不一致
9784821159369	1	comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー			楽天無し
9784091933881	1	cross-game	クロスゲーム	クロスゲーム（1)	コミック文庫（青年）	LNレーベル(コミック文庫（青年）)
9784091933898	2	cross-game	クロスゲーム	クロスゲーム（2)	コミック文庫（青年）	LNレーベル(コミック文庫（青年）)
9784091933904	3	cross-game	クロスゲーム	クロスゲーム（3)	コミック文庫（青年）	LNレーベル(コミック文庫（青年）)
9784091402790	12	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（12)	コロコロコミックス	題不一致
9784091403476	13	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（13)	コロコロコミックス	題不一致
9784091404190	14	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（14)	コロコロコミックス	題不一致
9784091405463	15	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（15)	コロコロコミックス	題不一致
9784091407153	16	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（16)	コロコロコミックス	題不一致
9784091407924	17	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（17)	コロコロコミックス	題不一致
9784091408471	18	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（18)	コロコロコミックス	題不一致
9784091408952	19	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球(スーパーベースボール)外伝（19)	コロコロコミックス	題不一致
9784091410948	20	dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	ドラベース ドラえもん超野球（スーパーベースボール）外伝（20)	コロコロコミックス	題不一致
9784046834805	1	dorobune-kizoku-no-goreijou	泥船貴族のご令嬢	泥船貴族のご令嬢〜幼い弟を息子と偽装し、隣国でしぶとく生き残る！〜1	MFブックス	LNレーベル(MFブックス)
9784575753332	1	eiyuu-buran-no-jinsei-keikaku	英雄ブランの人生計画	英雄ブランの人生計画　第二の人生は雑用係でお願いします（1）	モンスター文庫	LNレーベル(モンスター文庫)
9784049152951	1	fuguu-reijou-to-hikikomori-mahoutsukai	不遇令嬢とひきこもり魔法使い	不遇令嬢とひきこもり魔法使い ふたりでスローライフを目指します	メディアワークス文庫	LNレーベル(メディアワークス文庫)
9784063794861	2	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	GIANT　KILLING　extra（vol．02）	講談社mook	題不一致
9784063895117	3	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	GIANT　KILLING　extra（vol．03）	講談社mook	題不一致
9784063895285	4	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	GIANT　KILLING　extra（vol．04）	講談社mook	題不一致
9784063895483	5	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	GIANT　KILLING　extra（vol．05）	講談社mook	題不一致
9784063897289	12	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング	GIANT　KILLING　extra（vol．12）	講談社mook	題不一致
9784041020241	1	gundam-exa-vs	ガンダムEXA VS	GUNDAM　EXA　VS　（1）	角川コミックス・エース	題不一致
9784041033449	3	gundam-exa-vs	ガンダムEXA VS	GUNDAM　EXA　VS　（3）	角川コミックス・エース	題不一致
9784041037836	4	gundam-exa-vs	ガンダムEXA VS	GUNDAM　EXA　VS　（4）	角川コミックス・エース	題不一致
9784041045312	5	gundam-exa-vs	ガンダムEXA VS	GUNDAM　EXA　VS　（5）	角川コミックス・エース	題不一致
9784785962883	1	hyoujin	鏢人	〓人（1）	ヤングキングコミックス	題不一致
9784537148756	1	isekai-class-shoukan-saretara-r1-no-skill-o-kakutoku-shita-node-yaritai-houdai-sasete-moraimasu	異世界クラス召喚されたらR1〇のスキルを獲得したので、〇りた	異世界クラス召喚されたらR1○のスキルを獲得したので、○りたい放題させてもらいま	ニチブンコミックス　マンガBANG！コミ	題不一致
9784040747699	1	isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	異世界でチート能力を手にした俺は、現実世界をも無双するガール	異世界でチート能力を手にした俺は、現実世界をも無双する　ガールズサイド 〜華麗な	ファンタジア文庫	LNレーベル(ファンタジア文庫)
9784575246452	1	jigoku-no-sata-mo-ougon-shidai	地獄の沙汰も黄金次第	地獄の沙汰も黄金次第　（1）〜会社をクビになったけど、錬金術とかいうチートスキル	Mノベルス	LNレーベル(Mノベルス)
9784040695273	1	jingai-coupling-catalog	人外CP(カップリング)かたろぐ。	人外CPかたろぐ。（1）	MFコミックス ジーンシリーズ	題不一致
9784041210192	3	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　参	角川コミックス・エース	題不一致
9784041211250	4	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　四	角川コミックス・エース	題不一致
9784041016848	5	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　伍	角川コミックス・エース	題不一致
9784041016855	6	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　六	角川コミックス・エース	題不一致
9784041024676	7	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　七	角川コミックス・エース	題不一致
9784041031391	8	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　八	角川コミックス・エース	題不一致
9784041035924	9	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょんー艦これーコミックアラカルト　舞鶴鎮守府編　九	角川コミックス・エース	題不一致
9784041038666	10	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん -艦これー コミックアラカルト　舞鶴鎮守府編　十	角川コミックス・エース	題不一致
9784041041703	11	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん -艦これー コミックアラカルト　舞鶴鎮守府編　十一	角川コミックス・エース	題不一致
9784041045299	12	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん -艦これー コミックアラカルト　舞鶴鎮守府編　十二	角川コミックス・エース	題不一致
9784041048726	13	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん -艦これー コミックアラカルト　舞鶴鎮守府編　十三	角川コミックス・エース	題不一致
9784041055595	14	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん　-艦これー　コミックアラカルト　舞鶴鎮守府編　十四	角川コミックス・エース	題不一致
9784041063064	16	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん　-艦これー　コミックアラカルト　舞鶴鎮守府編　十六	角川コミックス・エース	題不一致
9784041068335	17	kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	艦隊これくしょん　-艦これー　コミックアラカルト　舞鶴鎮守府編　十七	角川コミックス・エース	題不一致
9784815621810	1	kinoshita-mahou-koumuten	きのした魔法工務店	きのした魔法工務店　異世界工法で最強の家づくりを	GAノベル	LNレーベル(GAノベル)
9784434344992	1	kougei-shokunin-wa-sekando-life-o-ouka-suru	工芸職人はセカンドライフを謳歌する	工芸職人《クラフトマン》はセカンドライフを謳歌する（1）	アルファポリスCOMICS	題不一致
9784434299315	1	kuudere-zuma	クーデレづま			楽天無し
9784864233972	8	moon-trick				楽天無し
9784773404036	1	nakazawa-deka-chosakushuu	中沢啓治著作集	広島カープ誕生物語	中沢啓治著作集　1	題不一致
9784803018370	1	oukuu-kishidan-to-kyuukoku-no-shoujo	王空騎士団と救国の少女	王空騎士団と救国の少女　世界最速の飛翔能力者アイリス（1）	アース・スターノベル	LNレーベル(アース・スターノベル)
9784041152218	1	overlord-shin-sekaihen	オーバーロード〈新〉世界編	オーバーロード　＜新＞世界編　1	角川コミックス・エース	題不一致
9784065374047	4	pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど	【パクパクですわ】追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、	シリウスKC	題不一致
9784065371886	1	road59-shinjidai-ninkyou-tokku-shoujo-to-chi-no-sakazuki	ROAD59-新時代任侠特区-少女と血のサカズキ	ROAD59　-新時代任侠特区ー　少女と血のサカズキ（1）	シリウスKC	題不一致
9784434241895	1	saikyou-no-shokugyou-wa-yuusha-demo-kenja-demo-naku-kanteishi-kari-rashii-desu-yo	最強の職業は勇者でも賢者でもなく鑑定士〈仮〉らしいですよ?	最強の職業は勇者でも賢者でもなく鑑定士（仮）らしいですよ？！（1）	アルファポリスCOMICS	題不一致
9784866996813	1	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか	転生したら皇帝でした〜生まれながらの皇帝はこの先生き残れるか〜＠COMIC 第1	コロナ・コミックス	題不一致
9784866998862	2	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか	転生したら皇帝でした〜生まれながらの皇帝はこの先生き残れるか〜＠COMIC 第2	コロナ・コミックス	題不一致
9784867943595	4	tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか	転生したら皇帝でした〜生まれながらの皇帝はこの先生き残れるか〜@COMIC 第4	コロナ・コミックス	題不一致
9788382953343	8					楽天無し
9784098537082	1	yamiochi-yuusha-no-haishin-haishin-tsuihousareta-sare-kakushi-bosu-beya-ni-hourikomareta-kekka-bosu	闇堕ち勇者の背信配信～追放され、隠しボス部屋に放り込まれた結	闇堕ち勇者の背信配信＠comic（1）	マンガワンコミックス	題不一致
9784801925557	1	yandere-mahoutsukai-wa-sekizou-no-otome-shika-aisenai	ヤンデレ魔法使いは石像の乙女しか愛せない	ヤンデレ魔法使いは石像の乙女しか愛せない 魔女は愛弟子の熱い口づけでとける	蜜猫文庫　ML-084	LNレーベル(蜜猫文庫　ML-084)
9784088934372	8	4-gun-kun-kari	4軍くん〈仮〉	4軍くん（仮） 8	ヤングジャンプコミックス	題不一致
9784088935829	9	4-gun-kun-kari	4軍くん〈仮〉	4軍くん（仮） 9	ヤングジャンプコミックス	題不一致
9784088940274	12	4-gun-kun-kari	4軍くん〈仮〉	4軍くん（仮） 12	ヤングジャンプコミックス	題不一致
