slug	last_pub_year	anilist_status	anilist_end_year
arakure-naito-koukou-bakusouhen	0	FINISHED	2003
hana-ga-chittemo	0	-	
noah-s-ark	0	FINISHED	2005
again	1976	FINISHED	1972
kanata-e	1976	-	
dongokudousuikoden	1978	-	
suzume-to-donguri	1978	-	
cecil-kibun	1980	-	
bokura-no-housoku	1981	-	
knock	1981	-	
nemuta-kun	1982	-	
ultra-shii	1982	-	
aa-bishamon-koukou	1983	FINISHED	1983
dosanko	1983	-	
gan-gara-gan	1983	FINISHED	1983
koronde-pockle	1983	FINISHED	1983
kuremutsu-doushin	1983	-	
madogiwazoku-no-pop-chan	1983	-	
mahoutsukai-no-deshi	1983	FINISHED	2025
maikon-deka	1983	-	
men-patchin	1983	-	
oozorarouman	1983	-	
raburabu-police	1983	-	
scramble-game	1983	-	
shiritsu-otokojuku	1983	-	
sono-na-mo-agarou	1983	FINISHED	1983
star-road	1983	FINISHED	1982
wanpaku-shiyouchikubai	1983	FINISHED	1983
blizzard-princess	1984	-	
futari-no-derby	1984	-	
inou-suit	1984	-	
kasumi-kun-no-something	1984	-	
katte-ni-senka	1984	-	
kirameki-green-age	1984	-	
manchara-kohinata-kun	1984	-	
mattanashi-yoshiko-ha-old-lady	1984	-	
milk-sousa-nikki	1984	-	
street-rider	1984	-	
yumenosuke-rabu-land	1984	FINISHED	1984
aishite-ageru	1985	-	
apple-dream	1985	FINISHED	1984
dassen-gannen	1985	-	
gakusei-no-ryoubun	1985	FINISHED	1985
green-romance	1985	-	
hadashi-no-shinwa	1985	-	
harukana-bishi	1985	-	
hotel-tantei-doll	1985	FINISHED	1984
kakuei-ikiru	1985	-	
kanamen-tantei-gen	1985	FINISHED	1976
maniakkusu-21	1985	FINISHED	1985
paradise-tsuushin	1985	-	
saizu-wa-mairudo-cup	1985	-	
satou-kun	1985	-	
seiken-wolf	1985	FINISHED	1985
shooting-star	1985	-	
sutoraikaa-rendetsu	1985	-	
yaminomitsuryoushi	1985	-	
zingy	1985	FINISHED	1984
an-wa-an	1986	FINISHED	1986
aoi-tori-no-densetsu	1986	-	
bikkuri-salad-note	1986	-	
blue-jean	1986	-	
bokura-no-jidai	1986	FINISHED	1986
hata-mochi-henkutsu-otoko	1986	-	
kimi-wa-norun	1986	-	
kinu-no-hero	1986	-	
koi-wa-jasumin	1986	FINISHED	1985
kouya-no-penguin	1986	-	
lion-ha-okite-iru	1986	FINISHED	1986
maajan-gorinnosho	1986	-	
maiko	1986	-	
mangetsu-usagi	1986	-	
paradise-gakuen	1986	-	
seiryuu-no-saga	1986	-	
b-c-toraianguru	1987	FINISHED	1987
chance-1987	1987	-	
dokuro-bouzu	1987	-	
doubles	1987	-	
famicom-cap	1987	-	
famicom-fuuunji	1987	FINISHED	1987
famicom-shounendan	1987	-	
ginga-no-tachi	1987	-	
happa-64	1987	FINISHED	1987
harajuku-pop-beat	1987	-	
hidokei-hanadokei	1987	-	
kami-no-ko	1987	-	
maboroshi-ugen	1987	-	
majindensetsu	1987	FINISHED	1984
ohayou-buddy	1987	-	
omatase-yoshihiko-kun	1987	-	
ore-wa-haruku	1987	FINISHED	
otome-no-jidai	1987	FINISHED	1986
ottamajakushi	1987	-	
road-runner	1987	-	
sakkaa-shounen-musashi	1987	-	
shishiou-den	1987	-	
takuya-connection	1987	-	
umi-chan-donna-iro	1987	-	
yamazaki-ginjirou	1987	FINISHED	1981
zero-racer	1987	-	
akujiyo-no-nichiyoubi	1988	-	
alkali-lady	1988	-	
bii-smile	1988	-	
bokura-taikutsu-zoku	1988	-	
butainu	1988	-	
charming	1988	-	
chichi-monogatari-ono	1988	-	
chotto-meiken	1988	-	
dancing	1988	-	
doku-no-onna	1988	FINISHED	1988
faiteingu-suiipaa	1988	-	
garandou	1988	-	
hananosakitarou	1988	FINISHED	1980
meikyuu-shinwa	1988	FINISHED	1986
meitantei-mr-katagiri	1988	FINISHED	1988
money-hunter	1988	-	
munasawagi-tendousetsu	1988	-	
natte-choudai-oomono-ni	1988	-	
nishi-kaigan-machi-feroozu	1988	-	
pocket-story	1988	-	
shinkon-u-fu-fu	1988	-	
task-1987	1988	-	
tomato-squash	1988	-	
totsugeki-wolf	1988	-	
uepon	1988	FINISHED	1988
wani-bunsho	1988	FINISHED	1981
youka-aruraune	1988	-	
youma-no-tsukai	1988	-	
zetsutsu-over-heart	1988	-	
aku-ga-yobu	1989	-	
ayakashi-hunter	1989	-	
bakudan-1985	1989	-	
banyuu-nari	1989	-	
channel-rabu	1989	-	
colorful-box	1989	FINISHED	
gooda-kun	1989	-	
ikenai-day-dream	1989	-	
karasu-1988	1989	-	
kodomo-wa-wakattekurenai	1989	-	
koishite-shimatsuta	1989	-	
kyuutarou-ga-yattekita	1989	FINISHED	1990
moeyo-koshien-washi-to-taka	1989	-	
mugenshinshikaikihen	1989	FINISHED	1991
odenwa-omachishitemasu	1989	-	
okinosawa-graffiti	1989	-	
ometto-swan	1989	-	
ribaibaru-wa-itsumo-densha-de	1989	-	
show-no-densetsu	1989	-	
tookyoobei-wild-cats	1989	-	
tv-jacker	1989	-	
violence-tokkyuu	1989	-	
worst-komuro-1970	1989	FINISHED	1971
yumekaribito	1989	-	
0-no-bible	1990	-	
1-pun-16-byou-zerohachi	1990	FINISHED	1990
abunougozaimasu-obotchama	1990	-	
aitakute	1990	-	
algo	1990	-	
appare-sakurada	1990	-	
ayuko	1990	-	
bangai-koshien	1990	-	
bara-no-jiyumon	1990	FINISHED	1990
chiguhagu	1990	-	
eagle-driver	1990	FINISHED	1990
envirion	1990	-	
hanabira-no-tou	1990	-	
hard-metal	1990	-	
hoshi-e-iku-fune	1990	-	
kiosk-flapper	1990	-	
mademoiselle-mozart	1990	FINISHED	1990
natsu-no-kyuujitachi	1990	-	
onikarijuu	1990	-	
piinatsu-doori	1990	-	
reinou-battle	1990	-	
rising-sun-matsumoto-1989	1990	FINISHED	1990
seeraafuku-monogatari	1990	-	
super-mario-land	1990	FINISHED	1990
the-green-eyes	1990	FINISHED	1990
tvo	1990	-	
7200-byou-no-romance	1991	FINISHED	1991
aijin	1991	-	
angel-boy	1991	-	
aoki-honoo	1991	FINISHED	1991
arahan	1991	-	
burai-za-kid	1991	-	
cho-hakkai	1991	-	
edokko-boy-gatten-tasuke	1991	FINISHED	1991
guy-saito-1990	1991	-	
hanran-niniroku-jiken	1991	-	
happy-talk	1991	FINISHED	1991
harajuku-fasshon-monogatari	1991	-	
heat-edge	1991	FINISHED	1991
izou-no-kimochi	1991	-	
kaze-kazoku	1991	-	
kazeoh	1991	FINISHED	
kenia-kusa-to-wakusei	1991	-	
kiba-no-ketsuzoku	1991	-	
kimi-ga-mezameru-toki	1991	-	
kyouryuu-carnival	1991	-	
mahou-de-sadondesu	1991	-	
miesugichatte-komaru-no	1991	FINISHED	1991
minamoto-no-yoshitsune	1991	FINISHED	1991
miracle-lingerie	1991	FINISHED	1991
miraikko-toshi-chan	1991	-	
mizukagegusa	1991	FINISHED	1991
momoka-coming	1991	-	
money-moon	1991	-	
negao-ha-micha-iyatsu	1991	-	
netsuretsuteki-hautou-girl	1991	-	
one-day-army	1991	-	
ragtime-blues	1991	FINISHED	1983
roko-mooshon	1991	-	
seirei-densetsu-hyuudii	1991	FINISHED	1991
shin-otoko-no-unchikugaku	1991	-	
sign-kosain-rabu-sign	1991	FINISHED	1994
teinensho-kun	1991	-	
tobe-anpanman	1991	-	
toumaden	1991	-	
uizaadorii-gaiden	1991	-	
wakaba-no-koi	1991	-	
working-class	1991	-	
yamihime-tensei	1991	-	
garfield	1992	-	
hata-manjirou-no-omoshiro-zukan	1992	-	
heisei-arashiyama-ikka	1992	-	
hime	1992	-	
hitomi-no-naka-no-oukoku	1992	-	
izumi-chan-gurafutei	1992	-	
jiimago-rhapsody	1992	-	
kazeomiruhito	1992	-	
kin-no-arekusandora	1992	-	
lesson-puro-densetsu-lion	1992	-	
lion-1986	1992	-	
maboroshi-no-natsu	1992	FINISHED	1992
morning-moon	1992	FINISHED	1992
mr-business	1992	-	
naisho-no-count-5	1992	FINISHED	
ochanoma	1992	FINISHED	1992
ohikae-nasutte	1992	-	
ojamakura	1992	FINISHED	1990
paradise-cafe	1992	FINISHED	
poison	1992	-	
power-bomb-theater	1992	-	
radical-guardian	1992	-	
rouman-girl	1992	-	
show-1992	1992	-	
struck	1992	FINISHED	1992
tonari-no-bonjingumi	1992	-	
toukyousei-ni-ikou	1992	-	
trucker-arikawa-taizou	1992	FINISHED	1992
yakyuu-doahou-den	1992	-	
yuukyuu-no-kaze-densetsu	1992	FINISHED	
antatchaburu	1993	-	
birth-night	1993	-	
boku-no-paato-2	1993	-	
change-up	1993	FINISHED	1993
diamond-ga-mabushikute	1993	-	
doguu-family	1993	FINISHED	1993
doremifa-doremi	1993	-	
fools-1992	1993	-	
heisei-dousei-monogatari	1993	-	
hell-madonna	1993	FINISHED	1992
hisho-ha-madonna	1993	-	
houkago-sentai-gotakkii	1993	-	
itoshi-no-kamira	1993	-	
iya-na-yatsu	1993	-	
kakutou-museigen-kyomusume-taamii	1993	-	
kantou-todonpa-otoko	1993	-	
kazunoko-densho	1993	-	
kennel-tokorozawa	1993	FINISHED	1992
koisuru-sayo-chan	1993	FINISHED	1993
kujiraninegaio	1993	FINISHED	1993
la-blue-girl	1993	-	
libido	1993	-	
lovelyn-monroe	1993	FINISHED	1992
luckyman	1993	-	
nijiironotorokkii	1993	-	
onda	1993	-	
onna-shachou	1993	-	
panorama-de-koi-o-shiyou	1993	-	
penguin-no-ou-sama	1993	FINISHED	1993
prince	1993	FINISHED	1993
rabbit-spirits	1993	-	
saizensen	1993	-	
sasurai-no-haken-shine-oryuu	1993	-	
singles-1992	1993	-	
super-sub	1993	-	
tenshi-no-shippo	1993	FINISHED	1993
tsuyoku-nariagare	1993	-	
unaseradi-tokyo	1993	FINISHED	1993
wagaya-no-sasae	1993	-	
watanabe	1993	FINISHED	1992
wizardry	1993	-	
aka-no-joker	1994	-	
akai-ito-1994	1994	-	
angelic-game	1994	-	
b-boy-blues	1994	-	
bust-shot	1994	-	
butennokaito	1994	FINISHED	1994
chou-shoujo-asuka-kyuuseishu-no-chi	1994	-	
choujin-rokku-seija-no-namida	1994	-	
cocktail-25-ji	1994	-	
cotton-candy	1994	-	
denshi-yousei-abatamo-ekubo	1994	FINISHED	1992
ex-boy	1994	-	
fight	1994	-	
fushigi-no-mori-no-monogatari	1994	-	
hanappe-bazooka	1994	FINISHED	1982
hitoe-chan-koi-nikki	1994	-	
injukaashisu	1994	-	
inu-to-ojou-sama	1994	FINISHED	
itten-shikai	1994	-	
jipang	1994	-	
kaijinki	1994	-	
koguma-no-march	1994	-	
kurara-shake	1994	FINISHED	1992
moeru-joshi-puroresu	1994	FINISHED	1994
nandemo-alice	1994	-	
nature-pilot	1994	-	
onna-tachi-no-miyako	1994	FINISHED	1994
opaline	1994	-	
osakana-wa-ami-no-naka	1994	FINISHED	1994
out	1994	FINISHED	1994
pochi-no-henachoko-daisakusen	1994	-	
pocket-park	1994	FINISHED	1994
poko-a-poko	1994	-	
psycho	1994	-	
rucha-doll-mai	1994	-	
sanchoume-boueigun	1994	FINISHED	1994
shin-eikou-naki-tensaitachi	1994	-	
the-debut	1994	-	
the-live	1994	-	
tokyo-ballad	1994	FINISHED	1994
trick-lip	1994	-	
yggdrasil	1994	-	
zoku-shishunki-miman-okotowari	1994	FINISHED	1994
ai-no-sakaagari	1995	-	
aijin-mari	1995	-	
akai-ookami	1995	-	
akutoreizaa	1995	FINISHED	1995
angel-hard	1995	FINISHED	1995
anton	1995	FINISHED	1995
atashi-tenshi-anata-akuma	1995	-	
banchou-wakusei	1995	FINISHED	1976
be-ing	1995	FINISHED	1994
biwako-yousai-1997	1995	-	
chocotto-choco-chan	1995	FINISHED	1995
chouai-no-hito	1995	-	
choujin-tatsumaki-bareebu	1995	-	
daisuki-1993	1995	-	
darkness-doll	1995	FINISHED	1995
edo-murasaki-tokkyuu	1995	-	
