slug	title	artists	orig	nums
operaza-no-kaijin	オペラ座の怪人	真崎春望,Jet	ガストン・ルルー	[(1, 1995, 2005)]
wakaki-werther-no-nayami	若きウェルテルの悩み	市川容子,バラエティ・アートワークス	ゲーテ	[(1, 1985, 2009)]
don-quixote	ドン・キホーテ	今道英治,井元水明,高島茂,バラエティ・アートワークス	セルバンテス	[(1, 1985, 2009)]
anna-karenina	アンナ・カレーニナ	小早川杏,大瀧晶	トルストイ	[(1, 1985, 2009)]
ushinawareta-toki-o-motomete	失われた時を求めて	ステファヌ・ウエ,HeuetStéphane	マルセル・プルースト	[(2, 2008, 2022)]
hakugei	白鯨	ひおあきら,バラエティ・アートワークス	メルヴィル	[(1, 1985, 2009)]
re-mizeraburu	レ・ミゼラブル	白六郎,バラエティ・アートワークス	ユゴー	[(1, 1985, 2009)]
juugo-shounen-hyouryuuki	十五少年漂流記	河合一慶,バラエティ・アートワークス	ヴェルヌ	[(1, 1985, 2012)]
nogiku-no-haka	野菊の墓	清水めぐみ,巴里夫,知念政順	伊藤左千夫	[(1, 1985, 2011)]
gingatetsudou-no-yoru	銀河鉄道の夜	永島慎二,石原はるひこ,北原文野	宮沢賢治	[(0, 1983, 2023), (1, 1984, 2018)]
kaze-no-matasaburou	風の又三郎	ますむらひろし,有久祐子	宮沢賢治	[(1, 1983, 1998)]
mobile-00-gundam-00	機動戦士ガンダム00	大森倖三,田口央斗	矢立肇,富野由悠季	[(4, 2008, 2018)]
green-requiem	グリーン・レクイエム	文月今日子,春名里日	新井素子	[(1, 1985, 2003)]
tange-sazen	丹下左膳	伊藤隆夫,湖玉次吉	林不忘	[(1, 1981, 2011)]
akuma-ga-kitarite-fue-o-fuku	悪魔が来りて笛を吹く	影丸穣也,Jet	横溝正史	[(1, 2001, 2014)]
inugamike-no-ichizoku	犬神家の一族	つのだじろう,Jet	横溝正史	[(1, 1984, 2014)]
kenkaku-shoubai	剣客商売	さいとう・たかを,大島やすいち,田中貴大,島田悠子,天沢彰,三國月々子	池波正太郎,北鏡太	[(1, 1998, 2016), (2, 1998, 2008), (3, 1999, 2009)]
onihei-hankachou	鬼平犯科帳	さいとう・たかを,村田青,大原久澄	金成陽三郎,坂本六有,池波正太郎,守山カオリ,植田真太郎,北鏡太,久保田千太郎	[(21, 1997, 2008), (23, 1998, 2008), (38, 2008, 2019)]
mobile-butouden-jii-gundam	機動武闘伝Gガンダム	ときた洸一,鴇田洸一	矢立肇,富野由悠季	[(2, 2005, 2024), (3, 2003, 2024)]
paprika	パプリカ	坂井恵理,萩原玲二	筒井康隆	[(1, 1995, 2007)]
genji-monogatari-egawa-1991	源氏物語	江川達也,バラエティ・アートワークス	紫式部	[(1, 1991, 2010)]
teito-monogatari	帝都物語	高橋葉介,藤原カムイ	荒俣宏	[(1, 1988, 2008)]
