series_key	title	class	subtitle	vols	first_date	last_date	imprints	authors	isbn	既存頁slug	類似頁	材料	著者既掲載
qid:Q97188820|name:本好きの下剋上	本好きの下剋上	同題別著者(要確認)		2	2025-08-18	2026-08-27		香月美夜 / 波野涼	9784867946282			未取得	
name:かぬアイ|name:ヒャッハーな幼馴染達と始めるVRMMO@COMIC	ヒャッハーな幼馴染達と始めるVRMMO@COMIC	未掲載		2	2025-01-27	2026-08-27	コロナ・コミックス	則本シゲ / 地雷酒	9784867943908			紹介文+書影	
name:近原さくら|name:高嶺のSubのあばき方	高嶺のSubのあばき方	未掲載		2	2026-04-20	2026-08-03	Daitosha comic. Daito comics BLシリーズ	近原さくら	9784864957977			紹介文+書影	
name:MAHALO|name:恋するサイコの白雪くん	恋するサイコの白雪くん	未掲載		4	2026-05-04	2026-08-03	FUTAMI COMICS×サイコワ	江夏遙 / MAHALO / 石原通信	9784576260068			紹介文+書影	
name:宇佐木|name:離婚しようと記憶喪失のふりをしたら、怜悧な旦那様が激甘に愛してきます	離婚しようと記憶喪失のふりをしたら、怜悧な旦那様が激甘に愛してきます	未掲載		2	2026-02-02	2026-07-27	marmalade comics	由多いり / 宇佐木	9784302114016			紹介文+書影	済
name:坂上暁仁|name:神田ごくら町職人ばなし	神田ごくら町職人ばなし	未掲載		2	2023-09	2026-07-27	torch comics	坂上暁仁	9784845861637			紹介文+書影	
name:さざなみ陽輔|name:異世界転生おじさんは静かに暮らしたい	異世界転生おじさんは静かに暮らしたい	未掲載		2	2025-05-02	2026-07-27	ヤングチャンピオン・コミックス	さざなみ陽輔	9784253017794			紹介文+書影	済
name:琴子|name:推し〈噓〉の筆頭魔術師様が「俺たち、両思いだったんだね」と溺愛してくるんですが!?	推し〈噓〉の筆頭魔術師様が「俺たち、両思いだったんだね」と溺愛してくるんですが!?	未掲載		2	2025-07-18	2026-07-27	ブリーゼコミックス	麦崎旬 / 琴子	9784799220634			紹介文+書影	済
name:ほの香|name:元聖女候補は生臭坊主の金ヅルです	元聖女候補は生臭坊主の金ヅルです	未掲載		2	2026-02-23	2026-07-27	ヤングチャンピオン・コミックス	ほの香	9784253010580			紹介文+書影	
name:Hansol|name:傲慢の時代	傲慢の時代	未掲載		3	2026-02-09	2026-07-27	GAコミックf	Lemonfrog / Josara	9784815636913			紹介文+書影	
name:あおぞら|name:一般兵士が転生特典に『無限再生』を貰った結果、数多の美女に狙われた	一般兵士が転生特典に『無限再生』を貰った結果、数多の美女に狙われた	未掲載		2	2026-02-09	2026-07-27	GAコミック	つまじょ / あおぞら	9784815631796			紹介文+書影	
name:やぶら|name:ロブレイブ	ロブレイブ	未掲載		2	2026-05-08	2026-07-27	KCDX. 週刊少年マガジン		9784065436622			紹介文+書影	
name:ラズウェル細木1956-|name:ほろ酔いグルメ帖	ほろ酔いグルメ帖	未掲載		2	2026-01-09	2026-07-27	SPコミックス. SP pocket wide	ラズウェル細木	9784845870431			書影のみ	済
name:イシイ渡|name:せいぶつ部の田辺くん	せいぶつ部の田辺くん	未掲載		3	2026-01-26	2026-07-27	KCDX. 週刊少年マガジン	中川海二	9784065421994			紹介文+書影	済
name:星倉ぞぞ|name:かわいいしっぽのかくしかた	かわいいしっぽのかくしかた	未掲載		2	2025-09-29	2026-07-27	drap COMICS DX	星倉ぞぞ	9784866539034			紹介文+書影	済
name:高比良りと|name:Dr.系男子の恋愛カルテ	Dr.系男子の恋愛カルテ	未掲載		2	2020-10	2026-07-27	Honey Milk Comics	高比良りと	9784065209288			紹介文+書影	済
name:Mikura|name:一匹狼の花嫁	一匹狼の花嫁	未掲載		2	2026-01-15	2026-07-22	Cult comics. Niμ collection	すのはら風香 / 百迦にごう	9784773066241			紹介文+書影	済
name:ながを|name:鬼様の恋、前途多難	鬼様の恋、前途多難	未掲載		2	2025-03-05	2026-07-20	Ryu comics	理系女ちゃん	9784199508967			紹介文+書影	
name:冨手優夢|name:風俗怪談	風俗怪談	未掲載		2	2025-11-24	2026-07-20	ビッグコミックス	charme	9784098636150			紹介文+書影	
name:れもんぴーる|name:転生赤ちゃんカティは諜報活動しています	転生赤ちゃんカティは諜報活動しています	未掲載		2	2025-12-15	2026-07-20	Regina COMICS	生倉大福 / れもんぴーる	9784434365027			紹介文+書影	済
name:とらふぐ|name:縁切りエマ	縁切りエマ	未掲載		2	2025-04-21	2026-07-20	ビッグコミックススペシャル	とらふぐ / 今井康絵	9784098633852			紹介文+書影	済
name:ぽぽたぱぽた|name:甘い声でStayなんて言うんじゃねぇ!	甘い声でStayなんて言うんじゃねぇ!	未掲載		2	2025-11-24	2026-07-20	Blend COMICS	ぽぽたぱぽた	9784434367540			紹介文+書影	済
name:市居ちい|name:溺愛御曹司は小鳥に求愛する	溺愛御曹司は小鳥に求愛する	未掲載		2	2025-03-28	2026-07-20	Bamboo comics. Renpara collection DX = 恋パラコレクションDX	市居ちい	9784801985889			紹介文+書影	
name:よねやませつこ|name:梟と番様	梟と番様	未掲載		2	2026-01-26	2026-07-20	IDコミックス. Zero-sum comics	藤森フクロウ / よねやませつこ	9784758088985			書影のみ	済
name:北里のえ|name:悪役令嬢はシングルマザーになりました	悪役令嬢はシングルマザーになりました	未掲載		2	2025-10-27	2026-07-20	IDコミックス. Zero-sum comics	星川きづき / 北里のえ	9784758088169			書影のみ	済
name:おきぬpub.|name:後は野となれ山となれ	後は野となれ山となれ	未掲載		2	2025-11-24	2026-07-20	Blend COMICS	立川譲	9784434367557			紹介文+書影	
name:gacchi|name:居場所を奪われ続けた私はどこに行けばいいのでしょうか?	居場所を奪われ続けた私はどこに行けばいいのでしょうか?	未掲載		2	2026-02-23	2026-07-20	Regina COMICS	gacchi / 暮間チカ	9784434367045			紹介文+書影	済
name:港發|name:妖狩のカノカ	妖狩のカノカ	未掲載		2	2026-04-18	2026-07-20	ヤンマガKC	うみんちゅ	9784065430590			紹介文+書影	済
qid:Q11553336|name:名もなき魔物と二人の騎士	名もなき魔物と二人の騎士	未掲載		2	2026-03-20	2026-07-20	ベツコミフラワーコミックススペシャル	河丸慎	9784098733576			紹介文+書影	済
name:シクシク|name:マユノウタ	マユノウタ	未掲載		2	2026-01-12	2026-07-20	IDコミックス. コミック百合姫	シクシク	9784758088787			書影のみ	済
name:ぽんぬ|name:プリエールキス	プリエールキス	未掲載		2	2025-10-27	2026-07-20	IDコミックス. Zero-sum comics	ぽんぬ	9784758088152			書影のみ	
name:西海ミナト|name:ハッピーコンプレックス	ハッピーコンプレックス	未掲載		2	2025-10-03	2026-07-20	Bamboo comics. 恋パラコレクションDX	西海ミナト	9784801987814			紹介文+書影	済
name:折口良乃|name:ドラゴンギャルのネイリスト	ドラゴンギャルのネイリスト	未掲載		2	2026-01-06	2026-07-20	Ryu comics unicorn	折口良乃 / 蜂鳥ちゃぼ	9784199509414			紹介文+書影	
name:羊歯|name:ギベットルーム	ギベットルーム	未掲載		2	2026-03-18	2026-07-20	Bamboo comics	羊歯	9784801989153			紹介文+書影	済
name:ANYCOLOR株式会社|name:でびるんしぇあはうすっ	でびるんしぇあはうすっ	未掲載		2	2025-12-15	2026-07-20	ちゃおコミックススペシャル	ANYCOLOR株式会社 / 桜庭あも	9784098732791			紹介文+書影	
name:白波龍二|name:忍びの犬	忍びの犬	未掲載		2	2026-04-15	2026-07-17	Bamboo comics	蔵人健吾	9784801989467			紹介文+書影	済
name:藤本セツナ|name:堕天使そぷらのちゃんの復讐	堕天使そぷらのちゃんの復讐	未掲載		2	2026-01-09	2026-07-17	カドコミ	藤本セツナ	9784048117456			紹介文+書影	
name:木村琴々|name:前世は保育士、今世は悪役令嬢?からの、わがまま姫様の教育係!?	前世は保育士、今世は悪役令嬢?からの、わがまま姫様の教育係!?	未掲載		2	2026-01-09	2026-07-17	角川コミックス・エース	木村琴々 / 沙夜	9784041165638			紹介文+書影	済
name:優風|name:ポンコツ勇者パーティー、竜をひろう	ポンコツ勇者パーティー、竜をひろう	未掲載		2	2025-10-10	2026-07-17	ドラゴンコミックスエイジ	三木よう子	9784040761237			紹介文+書影	済
