verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:Mikura|name:一匹狼の花嫁	一匹狼の花嫁	2	2026-01-15	2026-07-22	Cult comics. Niμ collection	すのはら風香 / 百迦にごう	9784773066241
著者は本番に在る(作品は別)		qid:Q1319777|name:離婚したいアナタへ	離婚したいアナタへ	1	2026-07-13	2026-07-13	ビッグコミックス	柴門ふみ	9784098640461
著者は本番に在る(作品は別)		name:さんかくpub.|name:隣人のお兄さん。	隣人のお兄さん。	1	2026-07-13	2026-07-13		生倉大福	9784758099608
著者は本番に在る(作品は別)		name:次見やをら|name:腐男子天使	腐男子天使	2	2025-07-28	2026-07-13		小手万里	9784758087131
著者は本番に在る(作品は別)		name:花乃軍|name:竜狩るおじに初恋	竜狩るおじに初恋	1	2026-07-13	2026-07-13		花乃軍	9784758099615
本番に完全に無い		name:若松だんご|name:皇帝陛下の寵愛は契約外につき	皇帝陛下の寵愛は契約外につき	1	2026-07-13	2026-07-13	LAKE		9784758099844
本番に完全に無い		name:青代理鶴|name:煙霧公爵と氷の花嫁	煙霧公爵と氷の花嫁	2	2026-03-23	2026-07-13	Celicaコミックス	青代理鶴	9784867948842
著者は本番に在る(作品は別)		name:バロン吉元1940-|name:昭和柔俠伝	昭和柔俠伝	2	2025-12-22	2026-07-13	torch comics / アクション・コミックス	バロン吉元	9784845869886
本番に完全に無い		name:西原伊緒那|name:憧れの公爵様に嫁いだら、執着Hが止まりません!	憧れの公爵様に嫁いだら、執着Hが止まりません!	1	2026-07-13	2026-07-13	IDコミックス. ベビードール×comics		9784758099493
著者は本番に在る(作品は別)		name:春日部こみと|name:愛する人は他にいると言った夫が、私を離してくれません	愛する人は他にいると言った夫が、私を離してくれません	2	2025-08-15	2026-07-13	LAKE	春日部こみと / 武桐千	9784758087599
著者は本番に在る(作品は別)		name:速戸ゆう|name:富士山大噴火	富士山大噴火	1	2026-07-13	2026-07-13	ビッグコミックス	灯まちこ	9784098640478
著者は本番に在る(作品は別)		name:三沢ケイ|name:囚われた王女は二度、幸せな夢を見る	囚われた王女は二度、幸せな夢を見る	1	2026-07-13	2026-07-13	LAKE	ナフセ	9784758099639
著者は本番に在る(作品は別)		name:花本麻実|name:同じ夢みた君はアイドル	同じ夢みた君はアイドル	2	2026-03-20	2026-07-13	Sho-Comiフラワーコミックス	花本麻実	9784098733033
本番に完全に無い		name:さしみすめし|name:元カウンセラー聖女は奇跡の代わりにパワーと心理でなんとかします!	元カウンセラー聖女は奇跡の代わりにパワーと心理でなんとかします!	1	2026-07-13	2026-07-13	LAKE	のんべんだらり	9784758099646
