slug	頁題	頁最大巻	種2巻	isbn	種2発売日	種2題
hanakeisatsu	花警察	1	3	9784883151325	1991-12-20	花警察
mahouka-koukou-no-rettousei-natsuyasumi-hen	魔法科高校の劣等生 夏休み編	3	4	9784048938440	2018-06	魔法科高校の劣等生
mahouka-koukou-no-rettousei-natsuyasumi-hen	魔法科高校の劣等生 夏休み編	3	5	9784049127003	2019-08	魔法科高校の劣等生
mahouka-koukou-no-rettousei-natsuyasumi-hen	魔法科高校の劣等生 夏休み編	3	6	9784049134155	2020-09	魔法科高校の劣等生
mahouka-koukou-no-rettousei-natsuyasumi-hen	魔法科高校の劣等生 夏休み編	3	7	9784049139785	2021-09	魔法科高校の劣等生
mahouka-koukou-no-rettousei-steeplechase-hen	魔法科高校の劣等生 スティープルチェース編	3	4	9784048938440	2018-06	魔法科高校の劣等生
mahouka-koukou-no-rettousei-steeplechase-hen	魔法科高校の劣等生 スティープルチェース編	3	5	9784049127003	2019-08	魔法科高校の劣等生
mahouka-koukou-no-rettousei-steeplechase-hen	魔法科高校の劣等生 スティープルチェース編	3	6	9784049134155	2020-09	魔法科高校の劣等生
mahouka-koukou-no-rettousei-steeplechase-hen	魔法科高校の劣等生 スティープルチェース編	3	7	9784049139785	2021-09	魔法科高校の劣等生
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	5	9784063704402	2007-05	ゲゲゲの鬼太郎
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	5	9784122073739	2023-05	ゲゲゲの鬼太郎
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	6	9784122073852	2023-06	ゲゲゲの鬼太郎
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	7	9784122073982	2023-07	ゲゲゲの鬼太郎
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	8	9784122074118	2023-08	ゲゲゲの鬼太郎
saishinban-gegege-no-kitarou	最新版 ゲゲゲの鬼太郎	4	9	9784122074248	2023-09	ゲゲゲの鬼太郎
shimaji	嶋二	1	2	9784904101513	2009-08	嶋二
