slug	title	groups	sids	breakdown	series_keys
sorcerian	ソーサリアン	14	15	血ぬられた王家の秘宝〈高長歩〉 || チャイニーズ・メディスン〈佐治二郎〉 || 盗賊達の塔〈久保田眞二〉 || 愛と哀しみのバンパイア〈MEIMU〉 || 暗黒の魔道士〈羽衣翔〉	name:高長歩|name:血ぬられた王家の秘宝 name:佐治二郎|name:チャイニーズ・メディスン name:久保田真二|name:盗賊達の塔 qid:Q6810127|name:愛と哀しみのバンパイア qid:Q41693743|name:暗黒の魔道士 qid:Q10933287|name:戦国ソーサリアン name:八雲ひろし|name:紅玉の謎 qid:Q988513|name:失われ
boku-no-hero-academia	僕のヒーローアカデミア	2	2	僕のヒーローアカデミア〈堀越耕平〉 || ヴィジランテ〈別天荒人〉	qid:Q6455129|name:僕のヒーローアカデミア qid:Q11396673|name:ヴィジランテ
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	2	2	ボンバーマン4コマ漫画王国〈G.G.C〉 || ボンバーマン4コマまんが王国〈G・G・C〉	name:G.G.C.|name:ボンバーマン4コマ漫画王国 name:GGC|name:ボンバーマン4コマまんが王国
golgo-13	ゴルゴ13	2	3	ゴルゴ13.〈さいとうプロダクション/さいとう・たかを〉 || 上杉謙信〈岡村賢二〉	qid:Q2661273|name:ゴルゴ13. qid:Q11473338|name:上杉謙信
kantai-collection-kancolle-comic-arakaruto-maizuru-chinjufu-hen	艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編	2	6	艦隊これくしょん-艦これ-コミックアラカルト〈10mo/ES/HenselerThomas/Zトン/「艦これ」運営鎮守府/あまがえる/かんきりこ/ぐみちょこ/こるり/ししがみ/ちゅー太/ともつか治臣/ぺけ/ぼこちょ/まごころくらげ/まにお/めきめき/も/わたのれ/コミズミコ/コンプティーク編集部/チャりん/ヘラダミツル/レフトハンド/伊佐田/伊勢田/剛田ナギ/千尋/吉田創/唯野影吉/宇崎/広人/明音そーいち/望生ゆう/村上4時/源久也/玖乃緑/聖☆司/藤枝雅/角川ゲームス/門司雪/霧賀ユキ〉 || 艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編〈Blade/HenselerThomas/いくそつ/かろちー/まにお/めきめき/も/コンプティーク編集部/ヘラダミツル/村上4時/津留崎優/玖乃緑/種田優太/稲山/腹部マサヒコ/藤枝雅/角川ゲームス/霧賀ユキ〉	name:「艦これ」運営鎮守府|name:艦隊これくしょん-艦これ-コミックアラカルト name:みゃま|name:艦隊これくしょん-艦これ-コミックアラカルト 舞鶴鎮守府編
kumonoito-mushi-no-ongaeshi	クモノイト～蟲の怨返し～	2	2	クモノイト～蟲の怨返し～〈著者不明〉 || クモノイト〈著者不明〉	name:荒巻美由希|name:クモノイト～蟲の怨返し～ name:荒巻美由希|name:クモノイト|sub:蟲の怨返し
mobile-suit-gundam-emuesubuiaaru-jonii-raiden-no-kikan	機動戦士ガンダムMSV-R ジョニー・ライデンの帰還	2	2	機動戦士ガンダムMSV-R ジョニー・ライデンの帰還〈Arkperformance/大河原邦男/富野由悠季/矢立肇/福島トオル〉 || 機動戦士ガンダムMSV-R〈著者不明〉	name:大河原邦男|name:機動戦士ガンダムMSV-R ジョニー・ライデンの帰還 name:大河原邦男|name:機動戦士ガンダムMSV-R
mobile-suit-gundam-emuesuvui-aaru-uchuu-seiki-eiyuu-densetsu	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説	2	2	機動戦士ガンダムMSV-R 宇宙世紀英雄伝説〈富野由悠季/矢立肇/虎哉孝征〉 || 機動戦士ガンダムMSV-R〈著者不明〉	name:大河原邦男|name:機動戦士ガンダムMSV-R 宇宙世紀英雄伝説 name:大河原邦男|name:機動戦士ガンダムMSV-R
pastel-kazoku	パステル家族	2	2	ゴルフ・人生〈いけうち誠一〉 || パステル家族〈著者不明〉	qid:Q11259142|name:ゴルフ・人生 name:セイ|name:パステル家族
rave	Rave	2	2	Rave〈真島ヒロ〉 || 超感電少女モナ〈安野モヨコ〉	qid:Q471137|name:Rave qid:Q38842|name:超感電少女モナ
shabake-manga	しゃばけ漫画	2	3	しゃばけ〈えすとえむ/つばな/みもり/上野顕太郎/吉川景都/安田弘之/岩岡ヒサエ/村上たかし/柴田ゆう/畠中恵/紗久楽さわ/萩尾望都/鈴木志保/雲田はるこ/高橋留美子〉 || しゃばけ漫画〈萩尾望都/高橋留美子〉	name:畠中恵|name:しゃばけ name:柴田ゆう|name:しゃばけ漫画
sprite-arimura-1995	SPRITE	2	2	私はカジノガール〈望月照子〉 || SPRITE〈有村しのぶ〉	name:望月照子|name:私はカジノガール name:有村しのぶ|name:SPRITE
takeda-shingen-2023	武田信玄	2	2	武田信玄〈佐藤修弘/木村栄志/深谷陽〉 || 風林火山 武田信玄〈井上靖/宮崎惇/横山まさみち〉	qid:Q11560319|name:武田信玄|sub:甲斐の虎、乱世を喰らう。 name:井上靖|name:風林火山 武田信玄
yu-no-hana-tubame	湯の花つばめ	2	2	湯の花つばめ〈こなみ詔子〉 || 大都会にほえろ〈楠桂〉	qid:Q9130304|name:湯の花つばめ qid:Q2232808|name:大都会にほえろ
