type	subtype	severity	slug	title	status	year_started	year_ended	publisher_key	n_vols	n_eds	detail	evidence
YE_LT_YS		47	tsubakuro-zukin	つばくろ頭巾	completed	2007	1960	pan-rolling	3	1	year_ended=1960 < year_started=2007	[standard]MANGA Shop Series/パンローリング 2007-2007 n=3
YE_LT_YS		32	sukaruman	スカルマン	completed	2002	1970	mediafactory	5	2	year_ended=1970 < year_started=2002	[bunkobon]MF文庫/メディアファクトリー 2002-2003 n=4 | [standard]通常版/小学館クリエイティブ 2022-2022 n=1
YE_LT_YS		20	gin-no-oni	銀の鬼	completed	2006	1986	asahi-sonorama	3	1	year_ended=1986 < year_started=2006	[bunkobon]ソノラマコミック文庫/朝日ソノラマ 2006-2006 n=3
YE_LT_YS		18	kissxxxx	Kissxxxx	completed	2009	1991	shueisha	3	1	year_ended=1991 < year_started=2009	[bunkobon]集英社文庫/集英社 2009-2009 n=3
YE_LT_YS		17	shadow-shoukai-henkirou	シャドウ商会変奇郎	completed	1994	1977	akita	3	1	year_ended=1977 < year_started=1994	[bunkobon]秋田文庫/秋田書店 1994-1994 n=3
YE_LT_YS		15	honba-joshikou-manual	本場ぢょしこうマニュアル	completed	2004	1989	kodansha	2	2	year_ended=1989 < year_started=2004	[standard]通常版/講談社 1988-1988 n=1 | [deluxe]KCデラックス/不明 2004-2004 n=1
YE_LT_YS		12	takeki-ougon-no-kuni-iwasaki-yatarou	猛き黄金の国岩崎弥太郎	completed	2004	1992	shueisha	5	2	year_ended=1992 < year_started=2004	[bunkobon]集英社文庫コミック版/集英社 2004-2004 n=3 | [standard]通常版/ 2007-2007 n=2
YE_LT_YS		9	juukyouden	柔侠伝	completed	1989	1980	chuokoron	7	3	year_ended=1980 < year_started=1989	[standard]アクション・コミックス/中央公論社 1989-1989 n=3 | [bunkobon]笠倉漫画文庫/笠倉出版社 1995-1995 n=3 | [deluxe]アクションコミックスデラックス/ ?-? n=1
YE_LT_YS		7	kuroi-hohoemi	黒い微笑	completed	1982	1975	akita	5	2	year_ended=1975 < year_started=1982	[standard]プリンセス・コミックス/秋田書店 1982-1985 n=4 | [shinsoban]Princess comics = プリンセスコミックス/秋田書店 2011-2011 n=1
YE_LT_YS		6	brave-story-shinsetsu	ブレイブ・ストーリー新説	completed	2014	2008	shinchosha	3	1	year_ended=2008 < year_started=2014	[standard]Bunch comics/新潮社 2014-2016 n=3
YE_LT_YS		6	tokyo-babylon	東京BABYLON	completed	2000	1994	shinshokan	12	2	year_ended=1994 < year_started=2000	[standard]ウィングスコミックス/新書館 1992-1992 n=7 | [bunkobon]新書館ウィングス文庫/新書館 2000-2001 n=5
YE_LT_YS		4	kasei-robo-daikessen	火星ロボ大決戦!	completed	2012	2008	kadokawa	3	1	year_ended=2008 < year_started=2012	[standard]BEAM COMIX/角川グループパブリッシング 2012-2012 n=3
ONGOING_HAS_YE		1	hime-kishi-ga-classmate	姫騎士がクラスメート!	ongoing	2016	2026	kill-time-communication	10	1	status=ongoing なのに year_ended=2026	[standard]ヴァルキリーコミックス/キルタイムコミュニケーション 2016-2026 n=10
ONGOING_HAS_YE		1	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	ongoing	2018	2018	gentosha	1	1	status=ongoing なのに year_ended=2018	[standard]バーズコミックス/幻冬舎 2018-2018 n=1
COMPLETED_FUTURE	no_evidence	1	aisareteru-baai-ja-nai-no	愛されてる場合じゃないの	completed	2025	2026	kadokawa	5	1	status=completed なのに未来の初版 #5=2026-10-05	[standard]フロースコミック/KADOKAWA 2025-2026 n=5
COMPLETED_FUTURE	no_evidence	1	ameiro-paradox	飴色パラドックス	completed	2011	2026	shinshokan	8	1	status=completed なのに未来の初版 #8=2026-09-01	[standard]ディアプラスコミックス/新書館 2011-2026 n=8
COMPLETED_FUTURE	no_evidence	1	ao-no-hako	アオのハコ	completed	2021	2026	shueisha	27	1	status=completed なのに未来の初版 #27=2026-10-02	[standard]ジャンプコミックス/集英社 2021-2026 n=27
COMPLETED_FUTURE	no_evidence	1	ayashi-michizure	あやし道連れ	completed	2025	2026	kodansha	3	1	status=completed なのに未来の初版 #3=2026-09-14	[standard]Honey Milk Comics/講談社 2025-2026 n=3
COMPLETED_FUTURE	no_evidence	1	boku-to-mameda-no-ume-nikki	僕とマメダの梅日記	completed	2026		shonen-gahosha	1	1	status=completed なのに未来の初版 #1=2026-08-31	[standard]YKコミックス/少年画報社 2026-2026 n=1
COMPLETED_FUTURE	no_evidence	1	dansou-joshi-ga-danshikou-de-waidan-suru-hanashi	男装女子が男子校で猥談する話	completed	2025	2026	square-enix	2	1	status=completed なのに未来の初版 #2=2026-10-22	[standard]ガンガンコミックスJOKER/スクウェア・エニックス 2025-2026 n=2
COMPLETED_FUTURE	no_evidence	1	doormat-heroine-wa-sokkou-shuuryou-itashimasu	ドアマットヒロインは速攻終了いたします!	completed	2026	2026	square-enix	2	1	status=completed なのに未来の初版 #2=2026-10-09	[standard]ガンガンコミックスONLINE/スクウェア・エニックス 2026-2026 n=2
COMPLETED_FUTURE	no_evidence	1	fuan-no-tane-asterisk	不安の種*	completed	2004	2026	akita	11	1	status=completed なのに未来の初版 #11=2026-10-20	[standard]ACW champion/秋田書店 2004-2026 n=11
COMPLETED_FUTURE	no_evidence	1	gacen-shoujo-to-ibunka-kouryuu	ゲーセン少女と異文化交流	completed	2020	2026	kadokawa	12	1	status=completed なのに未来の初版 #12=2026-10-09	[standard]ドラゴンコミックスエイジ/KADOKAWA 2020-2026 n=12
COMPLETED_FUTURE	no_evidence	1	golden-man	ゴールデンマン	completed	2024	2026	kodansha	11	1	status=completed なのに未来の初版 #11=2026-09-04	[standard]ヤンマガKC/講談社 2024-2026 n=11
COMPLETED_FUTURE	has_completion_evidence	1	hametsu-route-o-mezashi-kanpekina-akuyaku-reijou-ni-natte-misemasu	破滅ルートを目指し、完璧な悪役令嬢になってみせますっ！	completed	2026	2026	takeshobo	3	1	status=completed なのに未来の初版 #3=2026-09-04	[standard]バンブーコミックスBCf/竹書房 2026-2026 n=3
COMPLETED_FUTURE	no_evidence	1	hana-wa-saku-shura-no-gotoku	花は咲く、修羅の如く	completed	2022	2026	shueisha	11	1	status=completed なのに未来の初版 #11=2026-10-19	[standard]ヤングジャンプコミックス・ウルトラ/集英社 2022-2026 n=11
COMPLETED_FUTURE	no_evidence	1	hidarikiki-no-eren	左ききのエレン	completed	2017	2026	shueisha	26	1	status=completed なのに未来の初版 #26=2026-09-04	[standard]JUMP COMICS+/集英社 2017-2026 n=26
COMPLETED_FUTURE	no_evidence	1	hima-ten	ひまてん!	completed	2024	2026	shueisha	11	1	status=completed なのに未来の初版 #11=2026-09-04	[standard]ジャンプコミックス/集英社 2024-2026 n=11
COMPLETED_FUTURE	no_evidence	1	hyouyomi-no-victoria	票読みのヴィクトリア	completed	2024	2026	kodansha	8	1	status=completed なのに未来の初版 #8=2026-10-22	[standard]モーニングKC/講談社 2024-2026 n=8
COMPLETED_FUTURE	no_evidence	1	inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました	completed	2024	2026	kadokawa	4	1	status=completed なのに未来の初版 #4=2026-09-09	[standard]ドラゴンコミックスエイジ/KADOKAWA 2024-2026 n=4
COMPLETED_FUTURE	no_evidence	1	innu	INNU	completed	2024	2026	kodansha	8	1	status=completed なのに未来の初版 #8=2026-09-04	[standard]ヤンマガKC/講談社 2024-2026 n=8
COMPLETED_FUTURE	no_evidence	1	kami-ni-chikatte-itsuwari-desu	神に誓って偽りです	completed	2025	2026	kadokawa	4	1	status=completed なのに未来の初版 #4=2026-09-15	[standard]HARTA COMIX/KADOKAWA 2025-2026 n=4
COMPLETED_FUTURE	no_evidence	1	kanojo-no-real-ga-kirinukenai	彼女のリアルが切り抜けない!	completed	2025	2026	houbunsha	4	1	status=completed なのに未来の初版 #4=2026-09-14	[standard]芳文社コミックス. トレイル/芳文社 2025-2026 n=4
COMPLETED_FUTURE	has_completion_evidence	1	kisei-shoujo-yuuchan	寄生少女ゆうちゃん	completed	2026	2026	vivion	3	1	status=completed なのに未来の初版 #3=2026-09-30	[standard]comipo comics/viviON viviON THOTH 2025-2026 n=3
COMPLETED_FUTURE	no_evidence	1	kochira-katsushikaku-kameari-kouen-mae-hashutsujo	こちら葛飾区亀有公園前派出所	completed	1977	2026	shueisha	229	2	status=completed なのに未来の初版 #203=2026-10-02	[standard]ジャンプ・コミックス/集英社 1977-2026 n=203 | [bunkobon]集英社文庫コミック版/集英社 1995-1999 n=26
COMPLETED_FUTURE	no_evidence	1	konyaku-haki-sareta-node-osouji-maid-ni-nattara-warawanai-kikoushi-sama-ni-dekiai-saremashita	婚約破棄されたのでお掃除メイドになったら笑わない貴公子様に溺愛されました	completed	2024	2026	futabasha	6	1	status=completed なのに未来の初版 #6=2026-10-23	[standard]モンスターコミックスf/双葉社 2024-2026 n=6
COMPLETED_FUTURE	no_evidence	1	me-no-mae-no-kami-sama	目の前の神様	completed	2024	2026	shueisha	5	1	status=completed なのに未来の初版 #5=2026-10-02	[standard]ジャンプコミックス/集英社 2024-2026 n=5
COMPLETED_FUTURE	no_evidence	1	mii-chan-to-yamada-san	みいちゃんと山田さん	completed	2024	2026	kodansha	7	1	status=completed なのに未来の初版 #7=2026-09-09	[standard]シリウスKCデラックス/講談社 2024-2026 n=7
COMPLETED_FUTURE	no_evidence	1	mikiri-kara-hajimeru-garyuu-kenjutsu	見切りから始める我流剣術	completed	2023	2026	mag-garden	5	1	status=completed なのに未来の初版 #5=2026-10-14	[standard]MGC/マッグガーデン 2023-2026 n=5
COMPLETED_FUTURE	no_evidence	1	nenrei-seigen-tsuki-otomege-no-akuyaku-reijou-desu-katabutsu-kishi-sama-ga-yuushuu-sugite-aaru	年齢制限付き乙女ゲーの悪役令嬢ですが、堅物騎士様が優秀過ぎてRイベントが一切おきない	completed	2023	2026	takeshobo	5	1	status=completed なのに未来の初版 #5=2026-10-05	[standard]Bamboo comics/竹書房 2023-2026 n=5
COMPLETED_FUTURE	no_evidence	1	nigejouzu-no-wakagimi	逃げ上手の若君	completed	2021	2026	shueisha	27	1	status=completed なのに未来の初版 #27=2026-10-02	[standard]ジャンプコミックス/集英社 2021-2026 n=27
COMPLETED_FUTURE	has_completion_evidence	1	ore-ochi-slave-hero-korekushon	俺堕ちスレイブヒーローコレクション	completed	2026	2026	kadokawa	3	1	status=completed なのに未来の初版 #3=2026-09-09	[standard]ドラゴンコミックスエイジ/KADOKAWA 2025-2026 n=3
