slug	edition	巻	理由	候補
1-2-no-1-rou	standard	6	canonical結線頁=fill無効(canonical本体へ)	
17-nanasai	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
2001yamonogatari	standard	1	canonical結線頁=fill無効(canonical本体へ)	
2001yamonogatari	standard	2	canonical結線頁=fill無効(canonical本体へ)	
21-emon	other	4	canonical結線頁=fill無効(canonical本体へ)	
3nen-kimengumi	standard	5	検証不通過(外挿/楽天逆引き)	9784834214253,9784088513454
3nen-kimengumi	standard	6	検証不通過(外挿/楽天逆引き)	9784834214260,9784088513461
7-nwairudo7	standard	1	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	2	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	3	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	4	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	5	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	6	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	7	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	13	canonical結線頁=fill無効(canonical本体へ)	
7-nwairudo7	standard	14	canonical結線頁=fill無効(canonical本体へ)	
81-bunch-no-inu	shinsoban	1	canonical結線頁=fill無効(canonical本体へ)	
aa-ichirou	shinsoban	1	canonical結線頁=fill無効(canonical本体へ)	
aa-ichirou	shinsoban	2	canonical結線頁=fill無効(canonical本体へ)	
abare-hayabusa	standard	2	検証不通過(内挿)	9784091405128
abare-hayabusa	standard	3	検証不通過(内挿)	9784091405135
abners	standard	2	検証不通過(外挿)	9784938256760
aburemon	shinsoban	5	canonical結線頁=fill無効(canonical本体へ)	
adventure-kid	standard	3	検証不通過(外挿)	9784898290675
adventure-kid	standard	4	検証不通過(外挿)	9784898290682
again	standard	4	検証不通過(外挿)	9784091600981
again	standard	5	検証不通過(外挿)	9784091600998
again	standard	6	検証不通過(外挿)	9784091601001
ai-ga-yuku	standard	3	canonical結線頁=fill無効(canonical本体へ)	
ai-no-arashi	standard	2	検証不通過(外挿)	9784061097032
ai-no-uta-ni-naritai	standard	5	検証不通過(内挿)	9784091315854
aijin	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
aijin	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
aijin	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
aijin	standard	5	候補生成不能(帯非線形+楽天逆引き無し)	
aisazunihairarenai	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
aishite-himeko-san	bunkobon	2	検証不通過(外挿)	9784253016612
akaki-chi-no-eleven	standard	6	検証不通過(外挿)	9784331251058
akarui-katei-no-tsukuri-kata	standard	1	検証不通過(外挿)	9784049241396
akaten-kyoushi-nashimoto-kotetsu	standard	4	検証不通過(外挿)	9784088517872
alabaster	standard	3	検証不通過(外挿/楽天逆引き)	9784061086913,9784253037952
albatross	standard	2	検証不通過(外挿)	9784063115178
alien-crash	standard	1	検証不通過(外挿)	9784267901768
alien-street	standard	7	検証不通過(内挿)	9784592113072
amazon-baby	bunkobon	2	検証不通過(外挿/楽天逆引き)	9784253014908,9784889915976
amazon-baby	standard	3	検証不通過(楽天逆引き)	9784253014915
ame-ni-nurete-hot-milk	standard	2	検証不通過(外挿)	9784061097414
amerikano-rekishi	aizoban	2	検証不通過(外挿)	9784120019555
angel-blood	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
angelique-kihara-1978	standard	1	canonical結線頁=fill無効(canonical本体へ)	
angelique-kihara-1978	standard	2	canonical結線頁=fill無効(canonical本体へ)	
angelique-kihara-1978	standard	3	canonical結線頁=fill無効(canonical本体へ)	
angelique-kihara-1978	standard	4	canonical結線頁=fill無効(canonical本体へ)	
animal-1	standard	5	検証不通過(外挿)	9784090034039
arashi-no-hatoba	standard	2	検証不通過(外挿)	9784778030216
ariel-comic	standard	8	候補生成不能(帯非線形+楽天逆引き無し)	
asatarou-den	standard	1	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	2	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	3	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	4	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	5	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	6	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	7	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	8	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	10	canonical結線頁=fill無効(canonical本体へ)	
asatarou-den	standard	11	canonical結線頁=fill無効(canonical本体へ)	
asendanto	standard	4	検証不通過(内挿)	9784088571249
astro-kyuudan	shinsoban	6	canonical結線頁=fill無効(canonical本体へ)	
astro-kyuudan	shinsoban	7	canonical結線頁=fill無効(canonical本体へ)	
astro-kyuudan	shinsoban	8	canonical結線頁=fill無効(canonical本体へ)	
astro-kyuudan	shinsoban	11	canonical結線頁=fill無効(canonical本体へ)	
asunarozaka	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
asunarozaka	standard	6	候補生成不能(帯非線形+楽天逆引き無し)	
atagoul-monogatari	standard	7	検証不通過(楽天逆引き)	9784796240468
atagoul-monogatari	standard	9	検証不通過(楽天逆引き)	9784796240550
atashihakai	standard	2	検証不通過(外挿)	9784821198986
atchi-muite-paa	standard	2	検証不通過(外挿)	9784575815177
ayanoshiki	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
ayanoshiki	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
ayanoshiki	standard	3	候補生成不能(帯非線形+楽天逆引き無し)	
baajin-road	standard	1	検証不通過(外挿)	9784088612218
bacchus	standard	2	canonical結線頁=fill無効(canonical本体へ)	
bacchus	standard	3	canonical結線頁=fill無効(canonical本体へ)	
bacchus	standard	4	canonical結線頁=fill無効(canonical本体へ)	
baddodaneyoshiokun	standard	3	canonical結線頁=fill無効(canonical本体へ)	
baku-chan-no-ita-sekusuarisu	standard	5	canonical結線頁=fill無効(canonical本体へ)	
bar-lemon-heart	bunkobon	14	候補生成不能(帯非線形+楽天逆引き無し)	
baragara-no-hoshii-toshigoro	wideban	2	検証不通過(外挿)	9784088602417
battle-thunder	standard	1	canonical結線頁=fill無効(canonical本体へ)	
beddononakadeshinitaino	standard	2	検証不通過(外挿)	9784870314160
begin-the-beguine	standard	2	検証不通過(外挿)	9784391914061
benibarakurobara	standard	1	検証不通過(外挿)	9784778032098
big-rival	standard	3	検証不通過(外挿)	9784088512013
birdy-birdy	standard	6	候補生成不能(帯非線形+楽天逆引き無し)	
black-jack	standard	1	canonical結線頁=fill無効(canonical本体へ)	
black-jack	standard	3	canonical結線頁=fill無効(canonical本体へ)	
black-jack	standard	7	canonical結線頁=fill無効(canonical本体へ)	
black-jack	standard	10	canonical結線頁=fill無効(canonical本体へ)	
black-jack	standard	15	canonical結線頁=fill無効(canonical本体へ)	
black-jack	standard	16	canonical結線頁=fill無効(canonical本体へ)	
bokura-no-jidai	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
bokura-no-jidai	standard	5	候補生成不能(帯非線形+楽天逆引き無し)	
bokutachi-no-kichijouji-koimonogatari	standard	2	検証不通過(外挿)	9784887412705
bokutachi-no-kichijouji-koimonogatari	standard	3	検証不通過(外挿)	9784887412712
bokutachi-no-kichijouji-koimonogatari	standard	4	検証不通過(外挿)	9784887412729
bokutachi-no-kichijouji-koimonogatari	standard	6	検証不通過(外挿)	9784887412743
bokutachi-no-sorairo	standard	2	検証不通過(外挿)	9784091313539
bonobono	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	3	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	5	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	6	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	7	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	8	候補生成不能(帯非線形+楽天逆引き無し)	
bonobono	standard	9	候補生成不能(帯非線形+楽天逆引き無し)	
border	standard	3	候補生成不能(帯非線形+楽天逆引き無し)	
border	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
border	standard	5	候補生成不能(帯非線形+楽天逆引き無し)	
bouryoku-taishou	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
bouryoku-taishou	standard	5	候補生成不能(帯非線形+楽天逆引き無し)	
bouryoku-taishou	standard	7	候補生成不能(帯非線形+楽天逆引き無し)	
bouryoku-taishou	standard	8	候補生成不能(帯非線形+楽天逆引き無し)	
buddha	standard	11	候補生成不能(帯非線形+楽天逆引き無し)	
buddha	standard	12	候補生成不能(帯非線形+楽天逆引き無し)	
buddha	standard	13	候補生成不能(帯非線形+楽天逆引き無し)	
buddha	standard	14	候補生成不能(帯非線形+楽天逆引き無し)	
busuttare-aiko	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	3	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	4	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	6	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	7	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	8	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	9	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	10	候補生成不能(帯非線形+楽天逆引き無し)	
campus-croquis	standard	11	候補生成不能(帯非線形+楽天逆引き無し)	
candy-candy	standard	6	候補生成不能(帯非線形+楽天逆引き無し)	
captain	shinsoban	6	canonical結線頁=fill無効(canonical本体へ)	
captain	shinsoban	9	canonical結線頁=fill無効(canonical本体へ)	
captain	shinsoban	12	canonical結線頁=fill無効(canonical本体へ)	
captain	shinsoban	14	canonical結線頁=fill無効(canonical本体へ)	
captain-ultra	standard	2	検証不通過(外挿)	9784775910627
chako-chan-no-nikki	shinsoban	2	canonical結線頁=fill無効(canonical本体へ)	
chako-chan-no-nikki	shinsoban	3	canonical結線頁=fill無効(canonical本体へ)	
charenjaa-aaa	standard	2	検証不通過(外挿)	9784775910900
chikaranoarika	standard	2	検証不通過(外挿)	9784575938104
chikyuuhyoukaigotokino	deluxe	2	検証不通過(外挿/楽天逆引き)	9784061037793,9784063132922
chikyuuwonomu	bunkobon	1	canonical結線頁=fill無効(canonical本体へ)	
china-girl	standard	11	候補生成不能(帯非線形+楽天逆引き無し)	
chinyuuki	standard	4	canonical結線頁=fill無効(canonical本体へ)	
chinyuuki	standard	5	canonical結線頁=fill無効(canonical本体へ)	
chinyuuki	standard	6	canonical結線頁=fill無効(canonical本体へ)	
choco-banana	standard	16	候補生成不能(帯非線形+楽天逆引き無し)	
chocolate-panic	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
chocolate-panic	standard	3	候補生成不能(帯非線形+楽天逆引き無し)	
chokkin	standard	2	canonical結線頁=fill無効(canonical本体へ)	
choubaku-madouden-slayers	standard	1	候補生成不能(帯非線形+楽天逆引き無し)	
choujin-baromu-1	standard	2	検証不通過(外挿)	9784775911365
choujin-locke	standard	3	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	6	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	7	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	8	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	12	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	13	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	14	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	15	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	16	canonical結線頁=fill無効(canonical本体へ)	
choujin-locke	standard	22	canonical結線頁=fill無効(canonical本体へ)	
choukyori-love-no-kodoku	standard	1	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	1	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	2	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	3	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	4	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	5	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	6	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	7	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	8	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	9	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	10	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	11	canonical結線頁=fill無効(canonical本体へ)	
cobra	standard	12	canonical結線頁=fill無効(canonical本体へ)	
color	standard	1	検証不通過(外挿)	9784835211015
comic-cue	standard	2	検証不通過(外挿)	9784872570977
count-11	standard	2	検証不通過(外挿)	9784091503022
count-11	standard	3	検証不通過(外挿)	9784091503039
d	standard	2	検証不通過(外挿)	9784391913569
daisannogokudou	shinsoban	1	canonical結線頁=fill無効(canonical本体へ)	
daisannogokudou	shinsoban	4	canonical結線頁=fill無効(canonical本体へ)	
daisannogokudou	standard	3	canonical結線頁=fill無効(canonical本体へ)	
daisannogokudou	standard	5	canonical結線頁=fill無効(canonical本体へ)	
dark-angel-1993	standard	2	候補生成不能(帯非線形+楽天逆引き無し)	
dash-shoutarou	standard	1	検証不通過(外挿)	9784088513218
dash-shoutarou	standard	2	検証不通過(外挿)	9784088513225
dash-shoutarou	standard	3	検証不通過(外挿)	9784088513232
