slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
dokushin-apart-dokudami-sou	standard	通常版	35	24	24	1,2,3,4,5,6,7,8,9,10,11,12
golgo-13	bunkobon	文庫版	40	23	23	1,2,3,4,5,6,7,8,9,10,11,13
ippei-zenshuu	shinsoban	大空社復刻版	20	18	18	2,3,4,5,6,7,8,9,10,11,12,13
jikken-doll-dummy-oscar	standard	通常版	19	17	17	1,2,3,4,5,6,7,8,9,10,11,12
karate-baka-ichidai	standard	通常版	29	17	17	1,2,3,4,5,6,7,8,9,10,11,12
ningenkyouki	standard	通常版	23	16	16	1,2,3,4,5,6,7,8,9,10,11,12
iga-no-kagemaru	standard	通常版	15	14	14	2,3,4,5,6,7,8,9,10,11,12,13
hontoni-atta-kowai-hanashi	standard	通常版	27	13	13	3,6,8,10,13,15,17,18,19,20,21,22
otoko-do-ahou-koshien	standard	通常版	28	13	13	2,5,16,19,20,21,22,23,24,25,26,27
paroyakyuu-news	standard	通常版	15	13	13	1,2,3,4,5,6,7,8,9,10,11,12
shiroi-suit-yamato	standard	通常版	26	13	13	1,2,3,4,5,6,7,8,9,10,11,12
tennis-boy	standard	通常版	14	13	13	1,2,3,4,5,6,7,8,9,10,11,12
cobra	standard	通常版	18	12	12	1,2,3,4,5,6,7,8,9,10,11,12
uwasa-no-himeko	standard	通常版	31	12	12	3,5,6,7,8,9,10,11,12,13,18,19
game-center-arashi	standard	通常版	17	11	11	1,2,3,4,5,7,8,9,10,11,13
mirai-kenji-kun	standard	通常版	12	11	11	1,2,3,4,5,6,7,8,9,10,11
asatarou-den	standard	通常版	11	10	10	1,2,3,4,5,6,7,8,10,11
campus-croquis	standard	通常版	24	10	10	1,2,3,4,6,7,8,9,10,11
choujin-locke	standard	ヒットコミックス版	38	10	10	3,6,7,8,12,13,14,15,16,22
fuji-santarou-meibamen	standard	通常版	19	10	10	1,2,3,4,5,6,7,8,9,10
ring-ni-kakero	standard	通常版	25	10	10	4,17,18,19,20,21,22,23,24,25
shiroi-kaze	standard	通常版	25	10	10	1,2,3,4,5,6,7,8,11,17
the-idolm-ster-cinderella-girls-after20	standard	通常版	13	10	10	4,5,6,7,8,9,10,11,12,13
the-idolm-ster-cinderella-girls-u149	standard	通常版	15	10	10	6,7,8,9,10,11,12,13,14,15
gattsu-ranpei	standard	通常版	19	9	9	1,2,3,4,5,6,7,8,9
gekiga-ningen-kakumei	standard	通常版	55	9	9	1,2,6,8,12,13,14,15,16
muyounosuke	bunkobon	文庫版(小学館文庫)	15	9	9	1,2,3,4,6,7,8,14,15
sabaku-no-maou	shinsoban	秋田書店創立65周年記念特別企画(2012復刻)	10	9	9	2,3,4,5,6,7,8,9,10
shimaizaka	standard	通常版	19	9	9	1,2,3,4,5,6,7,8,9
wild-7	kanzenban	復刻版（生原稿ver.）	16	9	9	8,9,10,11,12,13,14,15,16
bonobono	standard	通常版	50	8	8	2,3,4,5,6,7,8,9
dokuro-bouzu	standard	通常版	11	8	8	1,2,3,4,5,8,9,10
hana-matsumoto	standard	通常版	9	8	8	2,5,7,8,10,14,17,21
honoo-no-romance	standard	通常版	9	8	8	1,2,3,4,6,7,8,9
kyudo-kun	standard	通常版	19	8	8	11,12,13,15,16,17,18,19
matenrou	standard	通常版	13	8	8	6,7,8,10,11,12,13,14
