# 2026-09-24 日次蒸留の保留見直し(過去の triage 全版の保留1,046件→未解決668件を現行分類器で再分類)。残りの一覧
class	isbn	ym	title	author	publisher	note
new1a	9784098637775	2026-09	座頭市物語ノワール（1）	那波 歩才/子母澤 寛	小学館	
new1a	9784098640669	2026-09	教喰（1）	近藤 しぐれ	小学館	
new1a	9784758026048	None	ヴィラン（1）	てにをは/ねここ/ふじた	一迅社	
new1a	9784309296142	2026-09	スヌーピーめくり2027	チャールズ・M・シュルツ/谷川 俊太郎	河出書房新社	
new1a	9784049211863	2026-09	私は悪役令嬢らしいので、ラスボスを愛でる係になることにしました 1	高嶋　育/新　星緒/仁藤　あかね	ブシロードワークス	
new1a	9784049211870	2026-09	幼馴染たちが人気アイドルになった 〜甘々な彼女たちは俺に貢いでくれている〜 1	勇人/くろねこどらごん/ものと	ブシロードワークス	
new1a	9784049211894	2026-09	探索者イリアスは人見知り 最強ぼっち少年は、最恐の仮面で今日もひとりを貫きたい 1	酢忍/差六/桶乃　かもく	ブシロードワークス	
new1a	9784088852867	2026-11	ハイキュー!! キャラクターリミックス 絆 及川と岩泉	古舘 春一	集英社	
new1a	9784098550142	2026-10	小説 名探偵コナン 名探偵の記録者	大倉 崇裕/青山 剛昌	小学館	
new1a	9784088852690	2026-10	アニマルシグナル 1	筒井 大志/春原 ロビンソン	集英社	
new1a	9784091543493	2026-09	妖カツ！！（1）	えびな しお/永尾 柚乃	小学館	
new1a	9784301006114	2026-09	奇世界トラバース〜救助屋ユーリの迷界手帳〜 上巻	紺野千昭/山本謳歌/大熊まい	スクウェア・エニックス	
new1a	9784098736386	2026-11	みにくい小鳥の婚約（1）	水守 糸子/茶九楽 ゆっけ	小学館	
new1a	9784098736270	2026-10	天才少女の暇つぶし	きたむらゆうか	小学館	
new1a	9784098736287	2026-10	エンジェル・ソウル　-脱落アイドルのリスタートー（1）	ときわ藍	小学館	
new1a	9784592231653	2026-10	魔導書令嬢〜伝説の魔導書を修復したら最強の精霊が味方になりました（クールな王弟殿下がなぜかいつもそばにいます）〜 1	白藤 圭/糸加	白泉社	
new1a	9784098735228	2026-09	死神は、また恋をする。（1）	ヒナチ なお	小学館	
new1a	9784098735990	2026-09	プリンセッション・オーケストラ〜それぞれの物語〜	いわおか めめ/Project PRINCESS-SESSI	小学館	
new1a	9784098735068	2026-09	過ぎたる愛は猛毒（1）	秋 ひろな	小学館	
new1a	9784041180112	2027-01	ホロライブ学園 〜Shiny Smily Stories〜　1	塩たこ焼き/カバー株式会社	KADOKAWA	
new1a	9784785983376	2026-11	近畿霊務局 1	ゆのこショウ/霧笛ノト	少年画報社	
new1a	9784088942919	2026-11	異世界転生した途端追放されましたが、ハズレスキル【調理】は世界で唯一魔物を従えられるスキルだったので魔物だらけの見捨てら	松谷 祐汰/すかいふぁーむ	集英社	
new1a	9784801991316	2026-11	ノンブレスラブソング	桃尻ひばり	竹書房	
new1a	9784098641345	2026-10	齋藤なずな短編集（仮）	齋藤なずな	小学館	
new1a	9784098641598	2026-10	男優介護〜彼はサザンクロス高木〜（1）	石川秀幸	小学館	
new1a	9784592167235	2026-10	追放荷物持ちの逆転無双 〜Aランクパーティから解き放たれた便利スキル【収納】が最強の戦闘スキルだったのでSランク美少女と	あるみらん/すかいふぁーむ	白泉社	
new1a	9784049524819	2026-10	よって、初恋は証明された。-デルタとガンマの理学部ノートー1	逆井　卓馬/包実　らっぷ/遠坂　あさぎ	KADOKAWA	
new1a	9784049525083	2026-10	彼女のカノジョと不純な初恋1	Akeo/花宮　みぃ/塩こうじ	KADOKAWA	
new1a	9784065451946	2026-10	24時間界隈（1）	蛭塚 都	講談社	
new1a	9784801991156	2026-10	スローンラット　リユニオン	胡桃ちの	竹書房	
new1a	9784041179727	2026-10	ちびっ子転生者は手に負えないッ！〜転生したらちびっ子だったけど、聖獣と一緒にちゅどーん！する〜　1	あわや/伊藤ゆのみ/撫羽/こよいみつき	KADOKAWA	
new1a	9784065445242	2026-10	やしろ学短編集　叢鋼ームラハガネー	やしろ 学/横田 卓馬	講談社	
new1a	9784098641154	2026-09	佐江子は思う（1）	朔 ユキ蔵	小学館	
new1a	9784098641048	2026-09	宇宙人はいらない（1）	渡邊 ダイスケ	小学館	
new1a	9784098641161	2026-09	熱情を聴かせて（1）	アキヤマ香	小学館	
