class	isbn	ym	title	author	publisher	slug	reason
skip	9784592231684	2026-11	彼方から 小冊子付き愛蔵版 3	ひかわ きょうこ	白泉社		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784592231691	2026-11	彼方から 小冊子付き愛蔵版 4	ひかわ きょうこ	白泉社		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784041180129	2027-01	ホロライブ学園 〜Shiny Smily Stories〜　1　アクリルスタンド	塩たこ焼き/カバー株式会社	KADOKAWA		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	2100015128022	2026-10	【楽天ブックス限定特典】南蛮人(限定絵柄ポストカード（ポストカード）2枚)	松本 大洋/ペドロサ・シリル	小学館		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784091795281	2026-10	雨宮さん 3 特別版	あらゐ けいいち	小学館		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784046607218	2027-03	夫を味方にする方法　6　衣装カタログ＆クリアスタンド付き特装版	SIRU/Spice&Kitty	KADOKAWA		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784065461730	2026-12	肩のりイケブクロさんエコバッグ付き　出禁のモグラ（14）限定版	江口 夏実	講談社		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784778033910	2026-11	まことちゃん セレクション	楳図 かずお	小学館クリエイティブ		scope外(特装/アンソロ/セット/再編/巻表記)
skip	9784065454558	2026-11	スキップとローファー展公式ビジュアルブック	高松 美咲/「スキップとローファー」製作委員会/	講談社		scope外(特装/アンソロ/セット/再編/巻表記)
skip	9784434388675	2026-11	このサキュバスなんか太い。2	ぶしやま	ドリコム		裸数字末尾2=続巻疑い(新作1巻にしない)
skip	9784434388712	2026-11	婚約者が浮気相手と駆け落ちしました。王子殿下に溺愛されて幸せなので、今さら戻りた	あおいれびん/櫻井みこと/黒裄	ドリコム		裸数字末尾6=続巻疑い(新作1巻にしない)
skip	9784046606624	2026-11	非日常活はじめました。2	カマタミワ	KADOKAWA		裸数字末尾2=続巻疑い(新作1巻にしない)
skip	2100015190609	2026-11	【サイン本】非日常活はじめました。2	カマタミワ	KADOKAWA		裸数字末尾2=続巻疑い(新作1巻にしない)
skip	9784046606099	2026-11	帝国一の悪女に溺愛がとまりません！4	あじ/ペルラコット/SORAJIMA	KADOKAWA		裸数字末尾4=続巻疑い(新作1巻にしない)
skip	9784301008675	2026-11	灰宮先輩は怖くてかわいい（4）特装版　小冊子付き	神山すむ	スクウェア・エニックス		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784065460221	2026-11	タロットカード付き　xxxHOLiC・戻（6）特装版	CLAMP	講談社		特装版/限定版(続巻でも非掲載=通常版ISBNを待つ)
skip	9784813034971	2026-11	明日はどっちだ！13	山本小鉄子	大洋図書		裸数字末尾13=続巻疑い(新作1巻にしない)
zokkan	9784088853116	2026-11	キャプテン2 21	コージィ城倉/ちば あきお	集英社	captain	
zokkan	9784088852188	2026-11	ラーメン赤猫 16	アンギャマン	集英社	ramen-akaneko	
zokkan	9784088852355	2026-11	SAKAMOTO DAYS 29	鈴木 祐斗	集英社	sakamoto-days	
zokkan	9784088852362	2026-11	UNDER DOCTOR 3	谷本 今日	集英社	andaadokutaa	
zokkan	9784088852379	2026-11	しのびごと 10	みたらし 三大/たけぐし 一本	集英社	shinobigoto	
zokkan	9784088852256	2026-11	魔都精兵のスレイブ 22	竹村 洋平/タカヒロ	集英社	mato-seihei-no-slave	
zokkan	9784088851471	2026-11	ヘタリア World★Stars Gangsta 3	日丸屋 秀和	集英社	hetalia-world-stars-gangsta	
zokkan	9784088852966	2026-11	THE MARSHAL KING 4	Boichi	集英社	the-marshal-king	
zokkan	9784088852683	2026-11	SPY×FAMILY 18	遠藤 達哉	集英社	spy-family	
zokkan	9784088852973	2026-11	ツムギの魔縫 5	岩本 直輝	集英社	tsumugi-no-mahou	
zokkan	9784088852485	2026-11	シバつき物件 9	大森 えす	集英社	shiba-tsuki-bukken	
zokkan	9784088852492	2026-11	ダンダダン 26	龍 幸伸	集英社	dandadan	
zokkan	9784088851556	2026-11	再婚承認を要求します 10	SUMPUL/HereLee/Alphatart	集英社	saikon-shounin-o-youkyuu-shimasu	
zokkan	9784088851525	2026-11	クソ女に幸あれ 12	岸川 瑞樹	集英社	kuso-onna-ni-sachi-are	
zokkan	9784088852911	2026-11	茜部先生は照れ知らず 6	多治見 尚哉	集英社	akanabe-sensei-wa-tereshirazu	
zokkan	9784088852508	2026-11	ニシトーキョーメタルブラザーズ 3	瀬澤 ノブコ	集英社	nishi-tokyo-metal-brothers	
zokkan	9784088852423	2026-11	悪霊家族 2	にしこ	集英社	akuryoukazoku	
zokkan	9784088852409	2026-11	鵺の陰陽師 17	川江 康太	集英社	nue-no-onmyouji	
zokkan	9784088852454	2026-11	エクソシストを堕とせない 16	フカヤマ ますく/有馬 あるま	集英社	exorcist-o-otosenai	
zokkan	9784088433189	2026-11	お姉ちゃんの翠くん 12	目黒 あむ	集英社	onee-chan-no-midori-kun	
zokkan	9784088433219	2026-11	抱きしめて ついでにキスも 16	美森 青	集英社	dakishimete-tsuide-ni-kisu-mo	
zokkan	9784088433233	2026-11	隣の元カレくん 8	ago	集英社	tonari-no-moto-kare-kun	
zokkan	9784088433318	2026-11	ユメかウツツか 7	咲坂 伊緒	集英社	yume-ka-utsutsu-ka	
zokkan	9784088678504	2026-11	さよならミニスカート 5	牧野 あおい	集英社	sayonara-mini-skirt	
zokkan	9784041180105	2026-11	アガリビトの後始末　2	たもつ　葉子	KADOKAWA	agaribito-no-atoshimatsu	
zokkan	9784592225966	2026-11	春の嵐とモンスター 12	ミユキ 蜜蜂	白泉社	haru-no-arashi-to-monster	
zokkan	9784592231783	2026-11	夜明けを乞うけものたち 6	堤 翔	白泉社	yoake-o-kou-kemonotachi	
zokkan	9784592226024	2026-11	恋する天使は罪深い 4	酒井 ゆかり	白泉社	koisuru-tenshi-wa-tsumibukai	
zokkan	9784592226017	2026-11	推しに甘噛み 11	鈴木 ジュリエッタ	白泉社	oshi-ni-amagami	
zokkan	9784592226031	2026-11	恋する天使は罪深い 5	酒井 ゆかり	白泉社	koisuru-tenshi-wa-tsumibukai	
zokkan	9784065454633	2026-11	頼くんとヨリを戻すわけには！（4）	旗谷 澄生	講談社	yori-kun-to-yori-o-modosu-wake-niwa	
zokkan	9784065454695	2026-11	弟の距離感がバグってます（6）	もすこ	講談社	otouto-no-kyorikan-ga-baguttemasu	
zokkan	9784065451922	2026-11	七つ屋志のぶの宝石匣（28）	二ノ宮 知子	講談社	nanatsuya-shinobu-no-housekibako	
zokkan	9784592231745	2026-11	ウチの万李がお世話になります 6	海道 ちとせ	白泉社	uchi-no-banri-ga-osewa-ni-narimasu	
zokkan	9784592231769	2026-11	ミントチョコレート 15	折笠 まみ	白泉社	mint-chocolate	
zokkan	9784592222682	2026-11	婚約者は溺愛のふり 8	仲野 えみこ	白泉社	konyakusha-wa-dekiai-no-furi	
zokkan	9784065463727	2027-02	魔法少女リリカルなのはEXCEEDS（4）	都築 真紀/川上 修一	講談社	mahou-shoujo-lyrical-nanoha-exceeds	
zokkan	9784785983383	2026-11	朱色の仮面 10	那波 なばな/Dr.Poro	少年画報社	shuiro-no-kamen	
zokkan	9784785983390	2026-11	おへんろちゃん！ 3	近藤 るるる	少年画報社	ohenro-chan	
zokkan	9784592167297	2026-11	真田魂 6	重野 なおき	白泉社	sanadadamashii	
zokkan	9784592167341	2026-11	捕虜英雄〜捨て駒にされた剣奴は敵国で成り上がる〜 4	真じろう/海空 りく	白泉社	horyo-eiyuu	
zokkan	9784592161486	2026-11	ふたりエッチ 96	克・亜樹	白泉社	futari-etchi	
zokkan	9784592162384	2026-11	軍師 黒田官兵衛伝 8	重野 なおき	白泉社	gunshi-kuroda-kanbei-den	
