source	title	title_kana	slug
NDL/user	ダウナーお姉さんは遊びたい	ダウナーオネエサンワアソビタイ	downer-o-neesan-wa-asobitai
NDL/user	生まれ変わってやり直させて	ウマレカワッテヤリナオサセテ	umarekawatte-yarinaosasete
NDL/user	花妻と宵闇〜没落令嬢は純血を捧ぐ〜	ハナヅマトヨイヤミ	hana-tsuma-to-yoiyami
NDL/user	魔物の花嫁	マモノノハナヨメ	mamono-no-hanayome
楽天	ガラス工房の錬金術師	ガラスコウボウノレンキンジュツシ3	garasu-koubou-no-renkinjutsushi
楽天	シェアハピ	シェアハピ	sheahapi
楽天	スライムマスターちゃんのVRMMO	スライムマスターちゃんのVRMMO	slime-master-chan-no-vrmmo
楽天	ソニックと勇気のつるぎ	ソニックトユウキノツルギ	sonic-to-yuuki-no-tsuru-gi
楽天	僕はあの夜あの子と	ボクハアノヨルアノコト3	boku-wa-ano-yoru-ano-ko-to
楽天	怠惰な悪役貴族の俺に、婚約破棄された悪役令嬢が嫁いだ	タイダナアクヤクキゾクノオレニコンヤクハ	taidana-akuyaku-kizoku-no-ore-ni-konyaku-haki-sareta-akuyaku-reijou-ga-totsuidar
楽天	推しの敵になったので@COMIC	オシノテキニナッタノデアットコミックダイ	oshino-teki-ni-nattanode
楽天	昔取ったきねづかで...と言いながら無双する定食屋の	ムカシトッタキネヅカデ...トイイナガラ	mukashi-totta-kinezuka-de-to-iinagara-musou-suru-teishokuya-no-ossan-jitsuha-den
楽天	負け犬とライオン	マケイヌトライオン2	makeinu-to-lion
楽天	転生した脇役平凡な僕は、美形第二王子をヤンデレにして	テンセイシタワキヤクヘイボンナボクハビケ	tensei-shita-wakiyaku-heibonna-boku-wa-bikei-dai-ni-ouji-o-yandere-ni-shiteshima
楽天	雀蜂	スズメバチニ	suzumebachi-ni
楽天	飯バフ食堂、盛況なり〜「おっさんは邪魔だ!」と追放さ	メシバフショクドウセイキョウナリオッサン	meshi-bafu-shokudou-seikyounari
