0nichikon-demo-koishitai	standard/通常版	5	creator束縛再走で適用(分冊版ノイズ型)	
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	standard/通常版	7	JPRO出版権検索で適用(9784049159929)	
19banme-no-karte	standard/通常版	10	NDL在(適用済)	isbn=9784867206843 date=2024.11
99-kai-danzai-sareta-loop-reijou-desu-konsei-wa-chouzetsu-aisare-mode-desutte	standard/通常版	4	NDL在(適用済)	isbn=9784434353321 date=2025.2
aan-kremlin-iq200-no-soap-story	standard/通常版	2	手掛かりなし	
aan-kremlin-iq200-no-soap-story	standard/通常版	4	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	10	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	11	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	12	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	4	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	5	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	6	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	7	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	8	手掛かりなし	
aatsu-megamisamatsu	standard/通常版	9	手掛かりなし	
akujiki-reijou-to-kyouketsu-koushaku	standard/通常版	10	NDL在(適用済)	isbn=9784065387467 date=2025.4
akuma-to-keiyaku	deluxe/デラックス版	2	手掛かりなし	
akuyaku-reijou-no-naka-no-hito	standard/通常版	5	NDL在(適用済)	isbn=9784758028042 date=2024.12
akuyaku-reijou-wa-kyou-mo-karei-ni-anyakusuru	standard/通常版	5	NDL在(適用済)	isbn=9784757595132 date=2024.11
alice-no-ochakai	standard/通常版	5	手掛かりなし	
ane-ni-iwarerugamama-ni-totsu-kun-o-shite-itara-tondemonai-tsuyosa-ni-natte-ita-otouto	standard/通常版	7	NDL在(適用済)	isbn=9784803020458 date=2024.12
ansangu-cinderella	standard/通常版	13	NDL在(適用済)	isbn=9784867206966 date=2024.11
arafoo-boukensha-densetsu-to-naru	standard/通常版	8	NDL在(適用済)	isbn=9784866753874 date=2024.11
arafoo-kenja-no-isekai-seikatsu-nikki	standard/通常版	14	素の検索で適用(作画交代型: 14巻から岡﨑純平。creator束縛盲点)	
arasu-kagayakeru-tsubasa	standard/通常版	9	手掛かりなし	
ariel-comic	standard/通常版	1	手掛かりなし	
ariel-comic	standard/通常版	6	手掛かりなし	
ariel-comic	standard/通常版	7	手掛かりなし	
atori-show	standard/通常版	1	JPRO判定初回で適用(楽天実物裏取り済)	
atori-show	standard/通常版	2	JPRO判定初回で適用(楽天実物裏取り済)	
atori-show	standard/通常版	3	JPRO判定初回で適用(楽天実物裏取り済)	
atori-show	standard/通常版	5	JPRO判定初回で適用(楽天実物裏取り済)	
atri	standard/通常版	4	NDL在(適用済)	isbn=9784041154298 date=2024.10
ayakashi-oyado-ni-yomeiri-shimasu	standard/通常版	11	NDL在(適用済)	isbn=9784047382091 date=2024.11
b-boy	standard/通常版	11	2周目適用(rakuten-regate)	isbn=9784882711995
b-boy	standard/通常版	12	2周目適用(rakuten-regate)	isbn=9784882712091
b-boy	standard/通常版	13	2周目適用(rakuten-regate)	isbn=9784882712190
b-boy	standard/通常版	14	2周目適用(rakuten-regate)	isbn=9784882712299
b-boy	standard/通常版	15	2周目適用(rakuten-regate)	isbn=9784882712404
b-boy	standard/通常版	16	楽天live在(適用済)	isbn=9784882712565 date=1994年08月
b-boy	standard/通常版	17	楽天live在(適用済)	isbn=9784882712664 date=1994年10月
b-boy	standard/通常版	18	楽天live在(適用済)	isbn=9784882712855 date=1994年12月
b-boy	standard/通常版	19	楽天live在(適用済)	isbn=9784882713029 date=1995年02月
b-boy	standard/通常版	2	手掛かりなし	
b-boy	standard/通常版	20	手掛かりなし	
b-boy	standard/通常版	3	手掛かりなし	
b-boy	standard/通常版	4	手掛かりなし	
b-boy	standard/通常版	5	手掛かりなし	
b-boy	standard/通常版	6	手掛かりなし	
b-boy	standard/通常版	7	手掛かりなし	
