mid	label	isbn13	marker	date	publisher	本番頁
M1064229	菜 1	9784768330265	ISBN(set)	2025-07-14	玄光社	sai
M1064230	菜 2	9784768330272	ISBN(set)	2025-07-14	玄光社	sai
M1064246	菜 3	9784768330289	ISBN(set)	2025-07-14	玄光社	sai
M1076582	菜 6	9784768330555	ISBN(set)	2025-08-13	玄光社	sai
M1076606	菜 5	9784768330548	ISBN(set)	2025-08-13	玄光社	sai
M1076608	菜 4	9784768330531	ISBN(set)	2025-08-13	玄光社	sai
M1076808	百物語	9784835459578	ISBN(set)	2025-06-13	復刊ドットコム	hiyaku-monogatari
M1076812	ネオ・ファウスト	9784835459585	ISBN(set)	2025-06-13	復刊ドットコム	neo-faust
M1108531	手塚治虫からの伝言(メッセージ) [10]	9784494018567	ISBN(set)	2020-03-23	童心社	tezuka-osamu-kara-no-message
M1108558	手塚治虫からの伝言(メッセージ) [7]	9784494018536	ISBN(set)	2020-03-23	童心社	tezuka-osamu-kara-no-message
M1108579	手塚治虫からの伝言(メッセージ) [9]	9784494018550	ISBN(set)	2020-03-23	童心社	tezuka-osamu-kara-no-message
M1108605	手塚治虫からの伝言(メッセージ) [8]	9784494018543	ISBN(set)	2020-03-23	童心社	tezuka-osamu-kara-no-message
M946736	白妖の娘 : 完全版. 下巻	9784087920918	ISBN(set)	2023-12	集英社　∥　シュウエイシャ	byakuyou-no-musume
M946764	白妖の娘 : 完全版. 上巻	9784087920918	ISBN(set)	2023-12	集英社　∥　シュウエイシャ	byakuyou-no-musume
M965973	ACCA13区監察課10th anniversary book : letter	9784757589278	ISBN(set)	2024-02	スクウェア・エニックス　∥　スクウェア ・ エニックス	acca-13-ku-kansatsuka-10th-anniversary-book
M1032695	8マン 第5巻	9784253060684	ISBN(set)	2011-12-06	秋田書店	
M1033798	多重人格探偵サイコ Volume. 10		ISBN(set)	2024-02-06	KADOKAWA	
M1033811	多重人格探偵サイコ Volume. 11		ISBN(set)	2024-02-06	KADOKAWA	
M1033813	多重人格探偵サイコ Volume. 12		ISBN(set)	2024-02-06	KADOKAWA	
M1035138	Taro		ISBN(set)	2024-12-03	リイド社	
M1035186	太郎		ISBN(set)	2024-12-03	リイド社	
M1057715	Yaiba 4		ISBN(set)	2025-03-31	小学館	
M1057717	Yaiba 1		ISBN(set)	2025-03-31	小学館	
M1057718	Yaiba 8		ISBN(set)	2025-03-31	小学館	
M1057720	Yaiba 20		ISBN(set)	2025-03-31	小学館	
M1057721	Yaiba 3		ISBN(set)	2025-03-31	小学館	
M1057728	Yaiba 11		ISBN(set)	2025-03-31	小学館	
