slug	title	authors	year	publisher	total_volumes
kaijin-koronko-hakase	怪人コロンコ博士	手塚治虫	1947	(unknown)	1
yurishiizu	ユリシーズ	藤子・F・不二雄	1955	(unknown)	1
sebangou-0	背番号0	寺田ヒロオ	1960	(unknown)	7
ninpou-juuban-shoubu	忍法十番勝負	一峰大二・堀江卓	1966	(unknown)	2
maboroshi-tantei	まぼろし探偵	桑田二郎	1971	(unknown)	10
sasori	さそり	篠原とおる	1973	(unknown)	19
toilet-hakase	トイレット博士	とりいかずよし	1973	(unknown)	29
chintara-kami-chan	チンタラ神ちゃん	藤子・F・不二雄・藤子不二雄Ⓐ	1976	(unknown)	1
dekinbooi	できんボーイ	田村信	1979	(unknown)	4
ojama-yuurei-kun	おじゃまユーレイくん	よしかわ進	1980	(unknown)	3
ookami-no-kaikisen	狼の回帰線	新谷かおる	1980	(unknown)	1
itemaebuson	いてまえ武尊	さいとう・たかを	1981	(unknown)	4
hansel-and-gretel	ヘンゼルとグレーテル	大友克洋	1981	(unknown)	1
haru-ranman	春爛漫	本宮ひろ志	1981	(unknown)	1
shoujo-monogatari	少女物語	羽中ルイ	1982	(unknown)	1
nekomekozou	猫目小僧	楳図かずお	1982	(unknown)	5
tokimeki-no-gogo	ときめきの午後	羽中ルイ	1984	(unknown)	1
i-love-ketsuekigata	アイ・LOVE・血液型	愛川哲也・能見俊賢	1984	(unknown)	1
archimedes-wa-te-o-yogosanai	アルキメデスは手を汚さない	望月あきら	1984	(unknown)	1
faiteingu-kazoku	ファイティング家族	安藤しげき	1984	(unknown)	1
shin-otoko-tabi	新おとこ旅	高橋わたる	1984	(unknown)	1
reikan-chounouryoku-training	霊感・超能力トレーニング	つのだじろう・山下裕人・清田益章・船越富起子	1984	(unknown)	1
onyanko-taigaasu	おニャン虎タイガース	高岡凡太郎	1985	(unknown)	1
chikaku-he-ikitai-hikyou-to-shite-no-kinjo-butai-wa-eguchi-to-iu-ramen-ya	近くへ行きたい。秘境としての近所 舞台は“江ぐち”というラーメン屋。	久住昌之	1985	(unknown)	1
c-live	C-live	内田美奈子	1986	(unknown)	1
comic-cherry-moon	COMICチェリームーン	(unknown)	1986	(unknown)	2
comic-fruits-mitsumame	Comicフルーツみつまめ	わたなべかずみ・西秋ぐりん・つくしの真琴・有村しのぶ・GREAT GAIJIN	1986	(unknown)	4
ore-wa-shiyachi	おれはシャチ	金井たつお	1986	(unknown)	2
happy-penguin	ハッピーペンギン	谷間夢路	1986	(unknown)	1
yuuwaku-karuchaa	誘惑カルチャー	南日れん	1986	(unknown)	1
doodemo-eejiento	どーでもエージェント	三鷹公一	1987	(unknown)	2
interferon	インターフェロン	となみむか	1987	(unknown)	1
comics-project-ako-2	コミックス プロジェクトA子2	小野敏洋・森山ゆうじ	1987	(unknown)	1
kyouki-no-kansengen	狂気の感染源	ゴブリン	1987	(unknown)	1
kami-sama-hotoke-sama-waratte-sukutte	神さま仏さま笑って救って	森田拳次	1987	(unknown)	1
utsukushiki-ikenie	美しき生贄	村祖俊一	1987	(unknown)	1
tsuyumamire	露まみれ	ケン月影	1987	(unknown)	1
