slug	title	ours	isbn_implies	madb_candidates	vols	isbn
0-nousha-minato	0能者ミナト	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	4	9784047283084
1-love-9	1〔LOVE〕9	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	3	9784048674430
11-piki-no-neko-doronko	11ぴきのねこどろんこ	こぐま社	ゴルフダイジェスト社	こぐま社	1	9784772101394
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	文藝春秋	文芸春秋	文藝春秋	1	9784163662909
12renkyuu	12連休	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / エンターブレイン	1	9784047287082
1970-nendaiki	1970年代記	朝日新聞社	朝日新聞出版	朝日新聞社	1	9784022502766
1999-nostradamus-jigoku-no-x-file	1999ノストラダムス地獄のX-file	[発売]講談社	講談社	[発売]講談社 / コミックス	1	9784063137088
crisis-2050	クライシス2050	コミックス	講談社	コミックス	1	9784063131116
3	3	集英社	小池書院	集英社	1	9784883158669
300-nen-hikikomori-tsukuri-tsuzukete-shimatta-kottouhin-madougu-ga-nokinami-cheat-kyuu-no-madougu	300年引きこもり、作り続けてしまった骨董品《魔導具》が、軒並みチート級の魔導具だった件	BookLive	フレックスコミックス	BookLive / フレックスコミックス (発売)	5	9784866752198
300	スリーハンドレッド	小学館プロダクション	小学館集英社プロダクション	小学館プロダクション	1	9784796870368
35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	日販アイ・ピー・エス (発売)	駒草出版株式会社ダンク出版事業部	日販アイ・ピー・エス (発売) / モバイルメディアリサーチ	3	9784909699503
3b-no-koibito	3Bの恋人	LINE Digital Frontier	TOブックス	LINE Digital Frontier / 日販アイ・ピー・エス	4	9784866970790
5nin-irutsu	5人いるっ!?	角川グループパブリッシング	KADOKAWA	角川グループパブリッシング / アスキー・メディアワークス	2	9784048672795
7-nin-no-bukiya-nanabun-no-1	七人の武器屋1/7	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	1	9784047125247
81-yamada-yuusuke-gekijou	8.1山田悠介劇場	角川グループパブリッシング	角川書店	角川グループパブリッシング / 富士見書房	2	9784047126763
