class	slug	title	name	detail
MISSING_STORY	0-nousha-minato	0能者ミナト	透葉山	頁に原作者不在
MISSING_STORY	1-hongo-ga-hanasenai-roshiajin-bishoujo-tennyuusei-ga-tayoreru-no-wa-tagengo-master-no-ore-hitori	日本語が話せないロシア人美少女転入生が頼れるのは、多言語マス	アサヒ	頁に原作者不在
MISSING_STORY	100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-nattemo-sekaijuu-no-deshi-kara	100人の英雄を育てた最強預言者は、冒険者になっても世界中の	あまうい白一	頁に原作者不在
MISSING_STORY	108-kai-korosareta-akuyaku-reijou	108回殺された悪役令嬢	なまくら	頁に原作者不在
MISSING_STORY	10nenburi-ni-saikai-shita-kusogaki-wa-seijun-bishoujo-jk-ni-seichou-shiteita	10年ぶりに再会したクソガキは清純美少女JKに成長していた	館西夕木	頁に原作者不在
MISSING_STORY	11-eyes	11 eyes	ラズエル	頁に原作者不在
MISSING_STORY	138-e	138°E	片岡人生	頁に原作者不在
MISSING_STORY	14-juicy	14ジューシー	光朝田	頁に原作者不在
MISSING_STORY	16bit-sensation	16bitセンセーション	甘露樹/美里みつみ	頁に原作者不在
MISSING_STORY	19banme-no-karte	19番目のカルテ	川下剛史	頁に原作者不在
MISSING_STORY	2-jou-no-valkyria-2	戦場のヴァルキュリア2	株式会社セガ	頁に原作者不在
MISSING_STORY	27-sai-no-nyuugan-diary	27歳のニューガン・ダイアリー	矢方美紀	頁に原作者不在
MISSING_STORY	4-gun-kun-kari	4軍くん〈仮〉	森高夕次	頁に原作者不在
MISSING_STORY	4d	4D	尚毅橘	頁に原作者不在
MISSING_STORY	5-you5-na-kanojo-to-otona-no-ai	小5な彼女とオトナの愛	裕時悠示	頁に原作者不在
MISSING_STORY	7-bunnonijuuni-plus-alpha	22/7+α	宮島礼吏	頁に原作者不在
MISSING_STORY	7-nen-go-de-matteru	7年後で待ってる	ふみ	頁に原作者不在
MISSING_STORY	8-ban-deguchi	8番出口	KOTAKECREATE	頁に原作者不在
MISSING_STORY	86-86	86-エイティシックス	安里アサト	頁に原作者不在
MISSING_STORY	86-furagumentaru-neotenii	86-エイティシックス-フラグメンタルネオテニー	安里アサト	頁に原作者不在
MISSING_STORY	9-nine	9 nine	ぱれっと	頁に原作者不在
MISSING_STORY	aa-warera-ga-myao-shogun	あゝ我らがミャオ将軍	まつだこうた	頁に原作者不在
MISSING_STORY	aatsu-shuukatsu-no-megamisamatsu	ああっ就活の女神さまっ	藤島康介	頁に原作者不在
MISSING_STORY	abanchurie	アバンチュリエ	MarieÉmileMauriceLeblanc	頁に原作者不在
MISSING_STORY	aburakadabura	アブラカダブラ	長崎尚志	頁に原作者不在
MISSING_STORY	aburemon	あぶれもん	来賀友志	頁に原作者不在
MISSING_STORY	acguy-hakase	アッガイ博士	富野由悠季/矢立肇	頁に原作者不在
MISSING_STORY	adachi-tsutomu-monogatari	あだち勉物語	安達充	頁に原作者不在
MISSING_STORY	adam-to-ibu	アダムとイブ	山本英夫	頁に原作者不在
MISSING_STORY	afumi-no-umi	淡海(あふみ)乃海	イスラーフィール	頁に原作者不在
MISSING_STORY	agakimichiruran	吾が君散るらむ	市原武法	頁に原作者不在
MISSING_STORY	agasa-kurisuteii-no-meitantei-poirot-to-marple	アガサ・クリスティーの名探偵ポワロとマープル	AgathaChristie	頁に原作者不在
MISSING_STORY	ahab	エイハブ	HermanMelville	頁に原作者不在
MISSING_STORY	ai-ga-shinu-nowa-kimi-no-sei	愛が死ぬのは君のせい	鉄骨サロ	頁に原作者不在
MISSING_STORY	ai-no-wakakusa-monogatari	愛の若草物語	LouisaMayAlcott	頁に原作者不在
MISSING_STORY	aidorisshu-seven-ryuusei-ni-inoru	アイドリッシュセブン流星に祈る	バンダイナムコエンターテインメント/都志見文太	頁に原作者不在
