series_key	人物	role
name:2C=がろあ|name:WHITE ALBUM2	丸戸史明	監修
name:ATLUS|name:ペルソナ	ATLUS	監修
name:ATLUS|name:ペルソナ～罪と罰～	ATLUS	監修
name:ATLUS|name:真・女神転生デビルチルドレン	ATLUS	監修
name:Chocolate Records|name:君と100回目の恋	イナバセリ	構成
name:DeeCHA|name:「お前には才能がない」と告げられた少女、怪物と評される才能の持ち主だった@COMIC	桐原のん	構成
name:TYPE-MOON|name:MELTY BLOOD路地裏ナイトメア	奈須きのこ	監修
name:coly|name:魔法使いの約束コミックアンソロジー	coly	監修
name:nozomi|name:つくおき生活|sub:週末まとめて作り置きレシピ	nozomi	監修
name:umegrafix|name:Get truth太陽の牙ダグラム	高橋良輔	監修
name:あかいこうじ|name:ういちとヒカルのちょっとおもスロい漫画デラックス	ういち	監修
name:あきやま耕輝|name:ウルトラセブン	円谷プロ	監修
name:おだやか|name:冒険者をクビになったので、錬金術師として出直します!|sub:辺境開拓?よし、俺に任せとけ!	獅子唐	構成
name:こむぴ|name:悪逆覇道のブレイブソウル	桐原のん	構成
name:こやま拓|name:堤義明新たなる野望の構想	本間正夫	構成
name:しんざとけんしん|name:死闘伊江島戦	石原昌家	監修
name:ちばひさと|name:嵐が丘	恋塚稔	構成
name:なのら|name:異世界転移したのでチートを生かして魔法剣士やることにする	渡辺樹	構成
name:なのら|name:異世界転移したのでチートを生かして魔法剣士やることにする.	渡辺樹	構成
name:なるせいさ|name:AMNESIA LATER	デザインファクトリー	監修
name:はらまさき|name:ドラゴンクエストトレジャーズアナザーアドベンチャーファドラの宝島	堀井雄二	監修
name:はらまさき|name:ドラゴンクエストトレジャーズアナザーアドベンチャーファドラの宝島.	堀井雄二	監修
name:はる|name:永久保交幽録	はる	監修
name:ほしの|name:「カルラ舞う!」式 開運巡礼	ほしの	監修
name:ほしの|name:「カルラ舞う!」式パワースポット巡礼	ほしの	監修
name:ほしの|name:東京開運散歩|sub:芝・浅草	ほしの	監修
name:みきとP|name:いーあるふぁんくらぶ	ヨリ	監修
name:ももとりんご|name:愛の妖精	恋塚稔	構成
name:ゆうはじめ|name:クローズ外伝リンダリンダ|sub:アンコール出版	髙橋ヒロシ	監修
name:ゆーげん|name:ライフアライヴ! キミと始める学園総選挙	しっぽ	構成
name:アイディアファクトリー|name:AMNESIA CROWDアンソロジー	デザインファクトリー	監修
name:アキワシンヤ|name:オールカラーマンガで身につく!ことわざ辞典	青山由紀	監修
name:アクアプラス|name:WHITE ALBUM2	丸戸史明	監修
name:アトラス|name:UMA大戦ククルとナギ	アトラス	監修
name:アトラス|name:ペルソナ4 4コマKINGS	アトラス	監修
name:アトラス|name:ペルソナ4 4コマkings	アトラス	監修
name:アトラス|name:ペルソナ4コミックアンソロジー	アトラス	監修
name:アトラス|name:真・女神転生Dチルドレン ライト＆ダーク	アトラス	監修
name:アトラス|name:真・女神転生デビルチルドレン	アトラス	監修
name:エミ|name:毎日がスロ曜日	エミ	監修
name:オオイシナホ|name:ドラゴンクエスト モンスターバトルロードビクトリー	堀井雄二	監修
name:カプコン|name:戦国BASARA烈伝	山本真	監修
name:キムラノボル|name:舞-HiME	谷口悟朗	監修
name:ギャルビ|name:被追放者たちの天下無双	佐倉りょう	構成
name:コナン・ドイル|name:憂国のモリアーティ	竹内良輔	構成
name:サンリオ|name:シュガーバニーズショコラ!かえらないでシュガーバニーズ	サンリオ	監修
name:サンリオ|name:シュガーバニーズショコラ!げんきになあれ!フルーツのおかし	サンリオ	監修
name:サンリオ|name:シュガーバニーズショコラ!すてき!ソフィアのゆめのおかし	サンリオ	監修
name:サンリオ|name:シュガーバニーズショコラ!どきどきクレープづくり!	サンリオ	監修
name:サンリオ|name:シュガーバニーズショコラ!フランソワーズのときめきデート!?	サンリオ	監修
name:スクウェア・エニックス|name:ドラゴンクエスト蒼天のソウラ	堀井雄二	監修
name:ニトロプラス|name:ラメントビヨンド・ザ・ヴォイドコミックセレクション	ニトロプラス	監修
name:ミニワ|name:AMNESIA	デザインファクトリー	監修
name:ヨドカワ|name:トラとハチドリ	MB	監修
name:三本恭子|name:漫画版イケメン戦国|sub:この男、惚れれば地獄	蔵人幸明	構成
name:上村ぎん|name:ポケモン・ザ・ムービー XY光輪の超魔人フーパ	石原恒和	監修
name:下栃棚正之|name:絶滅動物のひみつ	鈴木良武	構成
name:京極夏彦|name:ゲゲゲの鬼太郎	京極夏彦	監修
name:京極夏彦|name:水木しげる漫画大全集	京極夏彦	監修
name:優月祥|name:青薔薇姫のやりなおし革命記	佃繁奈	構成
name:六|name:AMNESIA CROWD	デザインファクトリー	監修
name:円谷プロ|name:ウルトラセブン	円谷プロ	監修
name:前山滋|name:リーマンスロッター山ちゃん	山波達也	監修
name:前田克紀|name:鉄鍋のジャン!五行クンの楽しい香港生活	前田克紀	監修
name:創美社|name:MIRACLE	創美社	編集
name:創美社|name:±ジャンキー	創美社	編集
name:創美社|name:くじら日和	創美社	編集
name:創美社|name:よせる波かえす波	創美社	編集
name:創美社|name:サボテンの秘密	創美社	編集
name:創美社|name:瞳に映るブルーよりも	創美社	編集
name:加藤かきと|name:29とJK	渡辺樹	構成
name:加藤実秋|name:おしげりなんし	わたり	構成
name:半月板損傷|name:神無き世界のおねーちゃん活動	村田真哉	構成
name:半藤一利|name:昭和天皇物語	志波秀宇	監修
name:半藤一利|name:昭和天皇物語.	志波秀宇	監修
name:双葉はづき|name:青薔薇姫のやりなおし革命記	佃繁奈	構成
name:古河コビー|name:漫画版6	峰博士	構成
name:和田秀樹|name:介護日記|sub:父と家族の2163日 : コミックエッセイ	和田秀樹	監修
name:唯浦史|name:冒険者ライセンスを剥奪されたおっさんだけど、愛娘ができたのでのんびり人生を謳歌する	渡辺樹	構成
name:唯浦史|name:最弱無敗の神装機竜	渡辺樹	構成
name:唯浦史|name:最弱無敗の神装機竜 (バハムート)	渡辺樹	構成
name:國立アルバ|name:異世界小林幸子|sub:ラスボス降臨!	幸子プロモーション	監修
name:土田陸|name:ミラキュラス|sub:レディバグ&シャノワール	東映アニメーション	監修
name:坂本敏夫|name:実録地獄のムショ体験!!	坂本敏夫	監修
name:坂本昌彦|name:漫画家しながらツアーナースしています。	坂本昌彦	監修
name:坂田信弘|name:ひかりの空	坂田信弘	監修
name:坂田信弘|name:ひかりの空 R・C・オープン編	坂田信弘	監修
name:坂田信弘|name:ひかりの空 四菱レディスオープン編	坂田信弘	監修
name:坂野公一|name:水木しげる漫画大全集	京極夏彦	監修
name:堀井雄二|name:ドラゴンクエスト エデンの戦士たち	堀井雄二	監修
name:堀井雄二|name:ドラゴンクエストエデンの戦士たち	堀井雄二	監修
name:堀江宏樹|name:第九のマギア	堀江宏樹	監修
name:大月康成|name:業界偉人伝ジンカン	ブシロード	監修
name:大津秀一|name:はっぴーえんど	大津秀一	監修
name:大津秀一|name:はっぴーえんど-新型コロナ編-	大津秀一	監修
name:太田雄貴|name:銀白のパラディン	太田雄貴	監修
name:姫川明|name:シートン動物記	富田京一	監修
name:宇野彰|name:うちの子は字が書けない	宇野彰	監修
name:小松美季|name:椿姫	恋塚稔	構成
name:小泉八雲|name:水木しげる漫画大全集	京極夏彦	監修
name:小賀いちご|name:人質生活から始めるスローライフ	大河原	構成
name:山口敏太郎|name:恐怖卵	山口敏太郎	監修
name:山田こたろ|name:世界に一人、全属性魔法の使い手	萩織章仁	構成
name:岩波明|name:発達障害なわたしたち	岩波明	監修
name:岩田ユキ|name:ようこそ、自由の森の学食へ	山本謙治	監修
name:島津成晃|name:霊界1年生	島津成晃	監修
name:御堂志生|name:身代わりハネムーン|sub:エリートパイロットと初心な看護師は運命の愛に溺れる.	桐原のん	構成
name:志波秀宇|name:蠢太郎	志波秀宇	監修
name:悠木星人|name:方舟	木場健介	構成
name:慕潔|name:異世界刀匠の魔剣製作ぐらし	桜井竜矢	構成
name:手塚眞|name:Pluto	手塚眞	監修
name:手塚眞|name:手塚治虫と戦争	手塚眞	監修
name:斎|name:強制除霊師・斎 呪念の地	斎	監修
name:斎|name:強制除霊師・斎 哀しみの悪鬼	斎	監修
name:斎|name:強制除霊師・斎 守護悪霊	斎	監修
name:斎|name:強制除霊師・斎 怨念旅館	斎	監修
name:斎|name:強制除霊師・斎 悪行の代償	斎	監修
name:斎|name:強制除霊師・斎因縁の家系	斎	監修
name:斎|name:強制除霊師・斎女系家族	斎	監修
name:斎|name:強制除霊師・斎屍人の聲	斎	監修
