vols	base	brand	pub	first_date	last_date	isbns
61	思い出食堂	Comic	少年画報社	2011-10	2023-06	9784785961503,9784785961800,9784785963415,9784785963705,9784785964078,9784785962920,9784785962487,9784785964429
53	ひとりごはん	Comic	少年画報社	2014-11	2024-07	9784785961466,9784785961770,9784785963286,9784785963651,9784785964023,9784785962821,9784785962104,9784785962456
52	ごはん日和	Bunkasha comics	ぶんか社	2016-08	2025-12-09	9784821159628,9784821110124,9784821110469,9784821110674,9784821110940,9784821111114,9784821111350,9784821135738
47	みんなの食卓	Comic	少年画報社	2014-12	2023-05	9784785961350,9784785961664,9784785961992,9784785963170,9784785963576,9784785963873,9784785962739,9784785962326
47	ファイナルファンタジー11アンソロジーコミック	Bros.comics EX	エンターブレイン	2003-07	2008-04	9784757722460,9784757722132,9784757721746,9784757721388,9784757721067,9784757720640,9784757741065,9784757741027
46	On blue		祥伝社	2018-07	2026-05-25	9784396785994,9784396786052,9784396786076,9784396786113,9784396786151,9784396786182,9784396786205,9784396786243
44	アックス		青林工藝社			9784883791408,9784883791446,9784883791491,9784883791552,9784883791613,9784883791668,9784883791699,9784883791750
42	コミック艶	パーフェクト・メモワール	リイド社	2018-09	2026-04-01	9784845864638,9784845868018,9784845868056,9784845868094,9784845868131,9784845868186,9784845868223,9784845868278
40	ラグナロクオンラインアンソロジーコミック	マジキューコミックス	エンターブレイン	2003-02	2007-03	9784757718432,9784757718814,9784757719101,9784757713277,9784757713703,9784757714304,9784757719439,9784757714854
39	俺流!絶品めし	Bunkasha comics	ぶんか社	2017-07	2024-07	9784821135851,9784821136094,9784821137473,9784821137244,9784821137664,9784821137909,9784821136612,9784821138296
38	ときめきごはん	Comic	少年画報社	2016-12	2023-06	9784785961572,9784785961879,9784785963057,9784785963453,9784785963743,9784785962647,9784785962197,9784785964139
33	サムライキッズ	FRESH-PACKS	青磁ビブロス	1989-12-20	1993-07	9784882710479,9784882711865,9784882711797,9784882711667,9784882711476,9784882711155,9784882710998,9784882711377
32	マンガ日本の古典		中央公論新社	2020-07	2021-07	9784124036008,9784124035995,9784124036039,9784124036022,9784124036015,9784124036053,9784124036077,9784124036046
30	オメガバースプロジェクト	Poe backs	ふゅーじょんぷろだくと	2015-02	2018-11	9784865891232,9784865891072,9784865892963,9784865893205,9784865893090,9784865892703,9784865892833,9784865895162
29	真・恋姫・無双-萌将伝-コミックアンソロジー	DNAメディアコミックス	一迅社	2010-11	2015-08	9784758006385,9784758007689,9784758007924,9784758007993,9784758007153,9784758008242,9784758007245,9784758008327
29	まんだらけZENBU		まんだらけ出版部			9784944099900,9784944099931,9784944099962,9784944099986,9784860720001,9784860720032,9784860720049,9784860720056
28	Craft		大洋図書	1999-05	2007-01	9784813010609,9784813010593,9784813010586,9784813010579,9784813010555,9784813010548,9784813010531,9784813010524
27	時代劇ベスト	パーフェクト・メモワール	リイド社	2019-03	2026-03-04	9784845868001,9784845868070,9784845868124,9784845868209,9784845868261,9784845871018,9784845863068,9784845863112
27	たそがれ食堂	バーズコミックスプラス	幻冬舎	2017-06	2022-02	9784344841239,9784344842175,9784344843271,9784344843639,9784344844056,9784344844414,9784344841642,9784344842915
27	本当にあった愉快な話芸能プレミアム	バンブームック	竹書房	2015-05	2023-05	9784801913677,9784801914582,9784801916586,9784801918665,9784801915565,9784801919693,9784801920606,9784801923218
26	メイドイン星矢	FRESH-PACKS	青磁ビブロス	1988-10-20	1993-04	9784882711520,9784882711223,9784882711346,9784882711292,9784882710127,9784882710141,9784882710158,9784882710189
26	GOME2海賊団	エーピーセレクション	ハイランド	1999-02	2004-02	9784894861602,9784894861527,9784894861459,9784894861282,9784894861190,9784894861022,9784894860896,9784894860797
23	本当にあった愉快な話読者投稿プレミアム	バンブームック	竹書房	2018-09	2026-06-22	9784801943551,9784801944978,9784801946187,9784801948174,9784801949522,9784801917583,9784801918962,9784801915916
22	思い出食堂	ぐる漫	少年画報社	2013-10	2026-06-22	9784785978570,9784785979003,9784785979454,9784785979881,9784785980351,9784785981280,9784785981563,9784785982041
22	HQボーイフレンド	F-BOOK selection	ブライト出版	2015-03	2017-06	9784861236242,9784861236259,9784861236327,9784861236273,9784861236303,9784861236310,9784861236501,9784861236457
21	にいがたマンガ大賞作品集		にいがたマンガ大賞実行委員会	2004-02	2026-02-13	9784902565218,9784902565225,9784902565140,9784902565164,9784902565171,9784902565157,9784902565188,9784902565195
21	アニメコミックおしりたんてい		ポプラ社	2019-11	2026-03-13	9784591186558,9784591188026,9784591189146,9784591164266,9784591164259,9784591166215,9784591168301,9784591168318
21	お江戸ねこぱんち	にゃんcomi	少年画報社	2011-09	2019-11	9784785961701,9784785963002,9784785963958,9784785965464,9784785962043,9784785936679,9784785937645,9784785939144
20	ゴブリンにエロいことされちゃうアンソロジーコミック	IDコミックス	講談社	2018-04	2024-08	9784758067232,9784758067683,9784758067782,9784758067966,9784758067614,9784758068079,9784758068185,9784758068321
20	b-boy phoenix		リブレ出版	2006-07	2009-09	9784862634245,9784862636553,9784862636201,9784862635815,9784862635518,9784862635228,9784862634894,9784862634535
20	ラブキャラ大全	Oak comix	オークラ出版	2000-04	2002-07	9784872787689,9784872788341,9784872788495,9784872788655,9784872788785,9784872788938,9784872789119,9784872789508
19	肉体派	Aqua comics	オークラ出版	2005-12	2011-03	9784775515778,9784775516126,9784775516522,9784775511992,9784775506585,9784775515051,9784775514542,9784775514092
19	日本の歴史	集英社版・学習漫画	集英社	1998-03-04	1998-03-04	9784082390013,9784082390020,9784082390037,9784082390044,9784082390051,9784082390068,9784082390075,9784082390082
19	B-boy luv		ビブロス	2003-01	2006-03	9784835217376,9784835217130,9784835216904,9784835216652,9784835216386,9784835216102,9784835215839,9784835215532
18	みんなの食卓	ぐる漫	少年画報社	2015-03	2026-05-18	9784785978389,9784785979225,9784785979690,9784785980153,9784785980566,9784785981136,9784785981419,9784785981846
18	Comic陣	RK mook	楽楽出版	2021-06	2024-08	9784867040720,9784867040805,9784867040874,9784867040973,9784867040911,9784867041031,9784867041086,9784821165469
18	ギルティ・クロス		心交社	2004-11	2009-12	9784778107871,9784778107185,9784778107178,9784778108335,9784778106577,9784778106164,9784778105532,9784778105082
18	Grand slam!	OKS comix	オークス	2003-03	2005-03	9784861052156,9784861051920,9784861051586,9784861051425,9784861050916,9784861050558,9784861050343,9784861052255
17	極楽封神伝	エーピーセレクション	ハイランド	1998-07	2001-07	9784894860322,9784894860230,9784894860124,9784938827991,9784938827854,9784938827786,9784894860407,9784894861466
17	Love prince	エーピーセレクション	ハイランド	2001-04	2004-12	9784894862654,9784894862852,9784894863804,9784894863064,9784894862944,9784894862586,9784894862425,9784894862388
17	ぐるぐるぱらだいす	エーピーセレクション	ハイランド	2000-06	2004-08	9784894861664,9784894863613,9784894863170,9784894862951,9784894862395,9784894861954,9784894861787,9784894861534
17	シュラト同人誌傑作アンソロジー	Poe backs	ふゅーじょんぷろだくとComic box編集部	1989-10-31	1991-07-21	9784893930798,9784893930842,9784893931214,9784893931139,9784893931078,9784893930989,9784893930958,9784893930743
