isbn	reason	adult	title	base	vol	brand	pub	date
9784785977276	no_creator		ときめきごはん	ときめきごはん	No. 45	ぐる漫	少年画報社	2024-08-06
9784865377347	no_creator	1	生贄の放課後	生贄の放課後		GENESYS COMICS	鉄人社	2024-04-06
9784823607257	no_creator	1	お姉ちゃんとずぽずぽ。	お姉ちゃんとずぽずぽ。		GOT COMICS	ジーオーティー	2024-09-06
9784870424517	no_creator	1	カチコチ男の娘	カチコチ男の娘		バイキングコミックススペシャル	あまとりあ社	2024-08-06
9784757593800	no_creator		あまサドアンソロジー	あまサドアンソロジー		ビッグガンガンコミックス	スクウェア・エニックス	2024-08-06
9784868120001	no_creator	1	おにあい	おにあい		WANIMAGAZINE COMICS SPECIAL	ワニマガジン社	2024-10-06
9784823607189	no_creator	1	いいなりマゾメストリップ	いいなりマゾメストリップ		GOT COMICS	ジーオーティー	2024-09-06
9784801983991	no_creator		魔法少女がえっちなピンチに陥っちゃう!アンソロジー	魔法少女がえっちなピンチに陥っちゃう!アンソロジー		Bamboo comics	竹書房	2024-08-06
9784801983991	no_creator		魔法少女がえっちなピンチに陥っちゃう!アンソロジー	魔法少女がえっちなピンチに陥っちゃう!アンソロジー		Bamboo comics	竹書房	2024-08-06
9784868120018	no_creator	1	廻る!交わる!体液!	廻る!交わる!体液!		WANIMAGAZINE COMICS SPECIAL	ワニマガジン社	2024-10-06
9784799219621	no_creator	1	聖剣浸淫	聖剣浸淫		ブラックチェリーコミックス	キルタイムコミュニケーション	2024-09-06
9784799219560	no_creator	1	ふたなり嫁堕ちインサート	ふたなり嫁堕ちインサート		二次元ドリームコミックス	キルタイムコミュニケーション	2024-09-06
9784799219560	no_creator	1	ふたなり嫁堕ちインサート	ふたなり嫁堕ちインサート		二次元ドリームコミックス	キルタイムコミュニケーション	2024-09-06
9784799219577	no_creator	1	囚われた美少女捜査官神代さくらTHE COMIC	囚われた美少女捜査官神代さくらTHE COMIC		二次元ドリームコミックス	キルタイムコミュニケーション	2024-09-06
9784823607370	no_creator	1	中の人は爆乳です	中の人は爆乳です		GOT COMICS	ジーオーティー	2024-10-06
9784799219591	no_creator	1	他者変身のゴーレムガール	他者変身のゴーレムガール		アンリアルコミックス	キルタイムコミュニケーション	2024-09-06
9784823607356	no_creator	1	恥触デリバリー	恥触デリバリー		GOT COMICS	ジーオーティー	2024-10-06
9784799219607	no_creator	1	人外幼馴染との初体験	人外幼馴染との初体験		アンリアルコミックス	キルタイムコミュニケーション	2024-09-06
9784845864638	no_creator		コミック艶	コミック艶	Vol. 34	パーフェクト・メモワール	リイド社	2024-08-06
9784823607363	no_creator	1	いもうとサンクチュアリ	いもうとサンクチュアリ		GOT COMICS	ジーオーティー	2024-10-06
9784799219614	no_creator	1	触手LOVEコレクション	触手LOVEコレクション		アンリアルコミックス	キルタイムコミュニケーション	2024-09-06
9784823607233	no_creator	1	背徳×本能	背徳×本能		GOT COMICS	ジーオーティー	2024-10-06
9784866538273	no_creator	1	学園裏サービス	学園裏サービス		メガストアコミックスシリーズ	コアマガジン	2024-10-06
9784823607387	no_creator	1	ヤッてみてからかんがえよ。	ヤッてみてからかんがえよ。		GOT COMICS	ジーオーティー	2024-10-06
9784823607394	no_creator	1	じょしラク!3 Years Later	じょしラク!3 Years Later		GOT COMICS	ジーオーティー	2024-10-06
9784823607400	no_creator	1	スキのカタチ	スキのカタチ		GOT COMICS	ジーオーティー	2024-10-06
9784758019309	no_creator		公爵様は私の体に飢えている。	公爵様は私の体に飢えている。	2	ベビードール×comics	講談社	2024-10-06
9784758085977	no_creator		偽聖女だと言われましたが、どうやら私が本物のようですよ?	偽聖女だと言われましたが、どうやら私が本物のようですよ?	4	IDコミックス. Zero-sum comics	講談社	2024-10-06
9784758085960	no_creator		悪役令嬢ですが、幸せになってみせますわ!	悪役令嬢ですが、幸せになってみせますわ!	13	IDコミックス. Zero-sum comics	講談社	2024-10-06
9784758085847	no_creator		お兄ちゃんはおしまい!公式アンソロジーコミック	お兄ちゃんはおしまい!公式アンソロジーコミック	5	IDコミックス	講談社	2024-10-06
9784758085984	no_creator		虐げられ乙女の幸せな嫁入り	虐げられ乙女の幸せな嫁入り	4	IDコミックス. Zero-sum comics	講談社	2024-10-06
9784790109655	no_creator		うずまき忍術帖	うずまき忍術帖	2	Diamond comics = ダイヤモンドコミックス	松文館	2002-12-06
9784434341090	no_creator	1	夫婦交歓	夫婦交歓		occupai	星雲社	2024-09-06
9784790119210	no_creator		グランド海賊王	グランド海賊王	9 (ゾロサン繚	DIAMOND COMICS	松文館	2007-05-06
9784790111726	no_creator		熱闘!ミラクル球児	熱闘!ミラクル球児	Vol. 2	Diamond comics = ダイヤモンドコミックス	松文館	2003-12-06
9784790113454	no_creator		うずまき忍術帖	うずまき忍術帖	7	DIAMOND COMICS	松文館	2004-10-06
9784861174575	no_creator	1	ぎゅってして	ぎゅってして		バベルコミックス	文苑堂	2024-10-06
9784861174582	no_creator	1	エルフ化の秘薬	エルフ化の秘薬		バベルコミックス	文苑堂	2024-10-06
9784861174568	no_creator	1	あまからびっち	あまからびっち		バベルコミックス	文苑堂	2024-10-06
9784866538150	no_creator	1	放課後交尾同好会へようこそ!!	放課後交尾同好会へようこそ!!		メガストアコミックスシリーズ	コアマガジン	2024-08-13
