src	slug	vol	isbn	title
manual	?	34	9784758099110	
manual	?	11	9784758099080	
manual	?	1	9784845871773	
manual	?	1	9784835459844	
manual	?	2	9784046601100	
manual	?	2	9784575420135	
manual	?	1	9784825100039	
manual	?	2	9784065437513	
manual	?	1	9784047379428	
manual	sekainorekishi	8	9784082491185	世界の歴史(8)
manual	?	2	9784091782069	空がすき!
auto	?	3	9784089010648	バスタード
auto	?	13	9784253062176	男どアホウ甲子園
offset	?	1	9784592122340	
offset	?	1	9784904101988	
offset	?	1	9784757503137	
offset	?	1	9784396768379	
offset	?	1	9784840140164	
offset	?	1	9784864420112	
offset	?	1	9784796400220	
offset	?	1	9784864420044	
offset	?	8	9788382953343	
offset	?	2	9784864420433	
offset	?	3	9784065194355	
