公開slug	作品	欠けている巻	種2のimprint	頁の版(type:imprint:巻範囲)	判定の目安	isbn
age-35	Age,35	3	My first casual	standard:BIG COMICS SPECIAL:1..2 | bunkobon:小学館文庫:1..1	★別レーベル=版タブ/別作品を先に判断	9784091610171
aishite-hoshii-no-wa-ore-janai-noni	愛してほしいのは俺じゃないのに!	2	モーニングKC	standard:モーニング　KC:1..1	★別レーベル=版タブ/別作品を先に判断	9784065442715
aka-kuro	赤×黒	3	「レアミクス」コミックス	standard:Young sunday comics special:1..2	★別レーベル=版タブ/別作品を先に判断	9784778060190
akuyaku-reijou-koukyuu-monogatari-oukoku-gekidouhen	悪役令嬢後宮物語王国激動編	6,7	Arianrose Comics	standard:Arianrose Comics:1..5	同レーベル=素直な取りこぼし	9784866579184,9784866579191
alien-headbutt	エイリアンヘッドバット	2	ジャンプコミックス	standard:ジャンプコミックス:1..1	同レーベル=素直な取りこぼし	9784088851761
amai-mizu	甘い水	3	講談社box	standard:None:1..2	★別レーベル=版タブ/別作品を先に判断	9784062836135
azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	1,2,3,4	花とゆめCOMICS / 花とゆめコミックス	standard:花とゆめCOMICS:5..9	同レーベル=素直な取りこぼし	9784592213307,9784592216223,9784592216230,9784592216247
boku-no-oshi-o-bl-sekai-kara-mamoritai	僕の推しをBL世界から守りたい	3	BLANKET	standard:viviON THOTH BLANKET:1..1	★別レーベル=版タブ/別作品を先に判断	9784911351024
boku-wa-youkai-ni-naritai	僕は妖怪になりたい	3	Wings comics	standard:ウィングス・コミックス:1..1	★別レーベル=版タブ/別作品を先に判断	9784403624124
bokura-no-issen	ぼくらの一線	3	Baby comics	standard:Baby comics:1..2	同レーベル=素直な取りこぼし	9784865896770
chihiro	ちひろ	3	A.L.C.DX	standard:モーニングKC:1..2	★別レーベル=版タブ/別作品を先に判断	9784253160643
comic-beatles-history	コミックビートルズ・ヒストリー	3		standard:None:1..2	同レーベル=素直な取りこぼし	9784285138269
comic-image-special	コミックイマージュ・スペシャル	1	白夜コミックス	standard:白夜コミックス:2..3	同レーベル=素直な取りこぼし	9784893673404
deetsu-kirai	でえっ嫌い!	5	セブンコミックス	standard:None:1..4	★別レーベル=版タブ/別作品を先に判断	9784091776952
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	1,2,3,4,5,6,7,8,9,10,11	てんとう虫コミックス	standard:コロコロコミックス:12..23	★別レーベル=版タブ/別作品を先に判断	9784091428516,9784091400680,9784091401847,9784091428523,9784091428530,9784091428547,9784091428554,9784091428561,9784091428578,9784091428585,9784091428592
doukyuusei-saimon	同・級・生	3	My first casual	standard:BIG COMIC SPIRITS:1..2 | bunkobon:小学館文庫:1..1	★別レーベル=版タブ/別作品を先に判断	9784091610065
gekiga-oda-nobunaga	劇画織田信長	3	Goma books	standard:ゴラク・コミックス:1..2	★別レーベル=版タブ/別作品を先に判断	9784814918416
glass-no-kakera-wa-neko-no-tameikii	グラスの破片は猫のため息	2,3	Nemuki+コミックス	standard:Nemuki+コミックス:1..1	同レーベル=素直な取りこぼし	9784022142610,9784022142801
hana-buchou-52-to-kokono-chan-17	花部長（52）と心乃ちゃん（17）	3	角川コミックス・エース	standard:角川コミックス・エース:1..2	同レーベル=素直な取りこぼし	9784041070437
hanakeisatsu	花警察	3	劇画キングシリーズ	standard:劇画キングシリーズ:1..1	同レーベル=素直な取りこぼし	9784883151325
happy-birthday-komikku	ハッピーバースデー	3		standard:None:1..2	同レーベル=素直な取りこぼし	9784323070773
hissatsu-yami-doushin	必殺闇同心	3		standard:キングシリーズ:1..2 | shinsoban:King series:1..1	同レーベル=素直な取りこぼし	9784074309993
hitokui-origin	ヒトクイ-origin-	1,2	裏少年サンデーコミックス	standard:裏少年サンデーコミックス:3..10	同レーベル=素直な取りこぼし	9784091257536,9784091262677
hokushin-denki	北神伝綺	3	Kadokawa Comics A	standard:ニュータイプ100%コミックス:1..2	★別レーベル=版タブ/別作品を先に判断	9784047136694
