状態	match	owner_slug	series_key	title	subtitle	number	isbn	release_date	date_gap_days	imprint	edition_type	authors	材料
MISSING	SIBLING	age-35	qid:Q1319777|name:Age,35	Age,35		3	9784091610171	2002-12		My first casual	standard	柴門ふみ	未取得
MISSING	SIBLING	aishite-hoshii-no-wa-ore-janai-noni	name:ムロイケイ|name:愛してほしいのは俺じゃないのに!	愛してほしいのは俺じゃないのに!		2	9784065442715	2026-07-27		モーニングKC	standard		未取得
MISSING	SIBLING	aka-kuro	qid:Q359625|name:赤×黒	赤×黒		3	9784778060190	2009-10		「レアミクス」コミックス	standard	上條淳士	未取得
MISSING	TITLE	akuyaku-reijou-koukyuu-monogatari-oukoku-gekidouhen	name:涼風|name:悪役令嬢後宮物語～王国激動編～	悪役令嬢後宮物語～王国激動編～		6	9784866579184	2026-04-27		Arianrose Comics	standard	涼風 / 鳥屋	未取得
MISSING	TITLE	akuyaku-reijou-koukyuu-monogatari-oukoku-gekidouhen	name:涼風|name:悪役令嬢後宮物語～王国激動編～	悪役令嬢後宮物語～王国激動編～		7	9784866579191	2026-05-25		Arianrose Comics	standard	涼風 / 鳥屋	未取得
MISSING	SIBLING	alien-headbutt	name:犬居彰|name:エイリアンヘッドバット	エイリアンヘッドバット		2	9784088851761	2026-07-27		ジャンプコミックス	standard		未取得
MISSING	SIBLING	amai-mizu	qid:Q11530916|name:甘い水	甘い水		3	9784062836135	2007-02		講談社box	standard	松本剛	未取得
MISSING	TITLE	azufareo-no-sobayounin	name:千歳四季|name:蒼竜の側用人	蒼竜の側用人		1	9784592213307	2016-05-25		花とゆめコミックス	standard		紹介文+書影
MISSING	TITLE	azufareo-no-sobayounin	name:千歳四季|name:蒼竜の側用人	蒼竜の側用人		2	9784592216223	2017-04-25		花とゆめCOMICS	standard		未取得
MISSING	TITLE	azufareo-no-sobayounin	name:千歳四季|name:蒼竜の側用人	蒼竜の側用人		3	9784592216230	2017-10		花とゆめCOMICS	standard		未取得
MISSING	TITLE	azufareo-no-sobayounin	name:千歳四季|name:蒼竜の側用人	蒼竜の側用人		4	9784592216247	2018-04		花とゆめCOMICS	standard		未取得
MISSING	SIBLING	boku-no-oshi-o-bl-sekai-kara-mamoritai	name:とあこ|name:僕の推しをBL世界から守りたい	僕の推しをBL世界から守りたい		3	9784911351024	2026-07-10		BLANKET	standard	とあこ	未取得
MISSING	SIBLING	boku-wa-youkai-ni-naritai	name:コドモペーパー|name:僕は妖怪になりたい	僕は妖怪になりたい		3	9784403624124	2026-08-10		Wings comics	standard	コドモペーパー	未取得
MISSING	SIBLING	bokura-no-issen	name:鴈方ひのの|name:ぼくらの一線	ぼくらの一線		3	9784865896770	2022-01		Baby comics	standard	紺野なをこ	未取得
MISSING	SIBLING	chihiro	qid:Q11451046|name:ちひろ	ちひろ		3	9784253160643	2021-01		A.L.C.DX	standard	安田弘之	未取得
MISSING	SIBLING	comic-beatles-history	name:池田俊一|name:コミックビートルズ・ヒストリー	コミックビートルズ・ヒストリー		3	9784285138269	2013-10			standard	池田俊一	未取得
MISSING	TITLE	comic-image-special	name:すたんだっぷ|name:コミック・イマージュ・スペシャル	コミック・イマージュ・スペシャル		1	9784893673404	1993-08		白夜コミックス	standard		未取得
MISSING	SIBLING	deetsu-kirai	name:後藤ゆきお|name:でぇっ嫌い!	でぇっ嫌い!		5	9784091776952	1994-03		セブンコミックス	standard	牧野和子 / 後藤ゆきお	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		1	9784091428516	2001-05		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		10	9784091400680	2006-02-25		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		11	9784091401847	2006-09-25		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		2	9784091428523	2002-01		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		3	9784091428530	2002-08		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		4	9784091428547	2003-02		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		5	9784091428554	2003-08		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		6	9784091428561	2004-02		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		7	9784091428578	2004-08		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		8	9784091428585	2005-02		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	dorabeesu-doraemon-super-baseball-gaiden	name:藤子プロ|name:ドラベース	ドラベース		9	9784091428592	2005-08-25		てんとう虫コミックス	standard	藤子プロ / むぎわらしんたろう	未取得
MISSING	SIBLING	doukyuusei-saimon	qid:Q1319777|name:同・級・生	同・級・生		3	9784091610065	2002-10		My first casual	standard	柴門ふみ	未取得
MISSING	SIBLING	gekiga-oda-nobunaga	name:あしべつひろし|name:劇画織田信長	劇画織田信長		3	9784814918416	2018-10		Goma books	standard	あしべつひろし / 永島直樹	未取得
MISSING	TITLE	glass-no-kakera-wa-neko-no-tameikii	qid:Q11603611|name:グラスの破片(かけら)は猫のため息|sub:クォート＆ハーフ外伝	グラスの破片(かけら)は猫のため息	クォート＆ハーフ外伝	2	9784022142610	2018-10		Nemuki+コミックス	standard	篠原烏童	紹介文+書影
MISSING	TITLE	glass-no-kakera-wa-neko-no-tameikii	qid:Q11603611|name:グラスの破片(かけら)は猫のため息|sub:クォート&ハーフ外伝	グラスの破片(かけら)は猫のため息	クォート&ハーフ外伝	3	9784022142801	2019-07		Nemuki+コミックス	standard	篠原烏童	書影のみ
MISSING	TITLE	hana-buchou-52-to-kokono-chan-17	name:吟華|name:花部長〈52〉と心乃ちゃん〈17〉	花部長〈52〉と心乃ちゃん〈17〉		3	9784041070437	2018-10		角川コミックス・エース	standard		紹介文+書影
MISSING	SIBLING	hanakeisatsu	qid:Q967455|name:花警察	花警察		3	9784883151325	1991-12-20		劇画キングシリーズ	standard	小池一夫 / 神江里見	未取得
MISSING	SIBLING	happy-birthday-komikku	name:吉富多美|name:ハッピーバースデー|sub:コミック	ハッピーバースデー	コミック	3	9784323070773	2006-03			standard	オ・スギル / 吉富多美 / 青木和雄	未取得
MISSING	SIBLING	hissatsu-yami-doushin	qid:Q11590453|name:必殺闇同心	必殺闇同心		3	9784074309993	2018-11			standard	神江里見 / 黒崎裕一郎	未取得
MISSING	TITLE	hitokui-origin	name:太田羊羹|name:ヒトクイ origin	ヒトクイ origin		1	9784091257536	2015-02		裏少年サンデーコミックス	standard		未取得
MISSING	TITLE	hitokui-origin	name:太田羊羹|name:ヒトクイ origin	ヒトクイ origin		2	9784091262677	2015-07		裏少年サンデーコミックス	standard		未取得
