状態	match	owner_slug	series_key	title	subtitle	number	isbn	release_date	date_gap_days	imprint	edition_type	authors	材料
DUP	SIBLING	0-shinohara	qid:Q7862713|name:0課の女	0課の女		1	9784845850471	2017-08	14402	SP comics	standard	篠原とおる	未取得
DUP	SIBLING	0-shinohara	qid:Q7862713|name:0課の女	0課の女		1	9784845850679	2017-06	14341	SP comics	standard	篠原とおる	未取得
DUP	NEAR	07-ghost	name:雨宮由樹|name:07-GHOST CHILDREN	07-GHOST CHILDREN		1	9784758055390	2010-09	1741	IDコミックス	standard	雨宮由樹	未取得
DUP	SIBLING	0man	qid:Q193300|name:0マン	0マン		1	9784253172288	2007-02	3593	秋田文庫	bunkobon	手塚治虫 / 内記稔夫 / 小澤さとる	未取得
DUP	SIBLING	0man	qid:Q193300|name:0マン	0マン		1	9784778031800	2011-06	5174		standard	手塚治虫 / 内記稔夫 / 小澤さとる	未取得
DUP	TITLE	0man	qid:Q11462709|name:0マン	0マン		1	9784120019630	1990-09	2404	中公漫画叢書	standard	小澤さとる / 手塚治虫	未取得
DUP	SIBLING	0man	qid:Q193300|name:0マン	0マン		2	9784120019647	1990-10	2748	中公漫画叢書	standard	手塚治虫 / 内記稔夫 / 小澤さとる	未取得
DUP	SIBLING	0man	qid:Q193300|name:0マン	0マン		2	9784253172295	2007-05	3308	秋田文庫	bunkobon	手塚治虫 / 内記稔夫 / 小澤さとる	未取得
DUP	SIBLING	0man	qid:Q193300|name:0マン	0マン		3	9784120019654	1992-10	5570	中公漫画叢書	standard	手塚治虫 / 内記稔夫 / 小澤さとる	未取得
DUP	SIBLING	0rii-uchikoshi-0-n	qid:Q17349922|name:0リー打越くん!!	0リー打越くん!!		1	9784063754230	2007-12	3158	KCDX	standard	桑原真也	未取得
DUP	SIBLING	0rii-uchikoshi-0-n	qid:Q17349922|name:0リー打越くん!!	0リー打越くん!!		3	9784063754247	2007-12	2885	KCDX	standard	桑原真也	未取得
