class	sid	title	n_isbn	max_year	parent_page
SPINOFF_OLD疑い	35858	ドラゴンボールZ	39	2014	ドラゴンボール
SPINOFF_OLD疑い	41739	Happy!	38	2004	YAWARA!
SPINOFF_OLD疑い	54806	シュート!新たなる伝説	35	2007	シュート!
SPINOFF_OLD疑い	43743	銀牙伝説Weedオリオン	29	2014	銀牙伝説Weed
SPINOFF_OLD疑い	39269	仁義S	27	2014	本気!
SPINOFF_OLD疑い	56045	キャプテン翼 ワールドユース編	26	2005	キャプテン翼
SPINOFF_OLD疑い	29003	エリートヤンキー三郎 第2部	25	2010	エリートヤンキー三郎
SPINOFF_OLD疑い	46910	生徒諸君!教師編	25	2011	生徒諸君!
SPINOFF_OLD疑い	54807	シュート!熱き挑戦	25	2006	シュート!
SPINOFF_OLD疑い	56043	キャプテン翼 ROAD TO 2002	25	2008	キャプテン翼
SPINOFF_OLD疑い	40628	テニスの王子様 完全版 season 3	23	2013	新テニスの王子様
SPINOFF_OLD疑い	50989	聖闘士星矢THE LOST CANVAS冥王神話	23	2011	聖闘士星矢
SPINOFF_OLD疑い	21362	サーキットの狼Ⅱ	21	1999	サーキットの狼
SPINOFF_OLD疑い	49793	妖鬼化	21	2008	ゲゲゲの鬼太郎
SPINOFF_OLD疑い	50986	聖闘士星矢EPISODE.G	21	2013	聖闘士星矢
SPINOFF_OLD疑い	50975	リングにかけろ1	19	2004	聖闘士星矢
SPINOFF_OLD疑い	56042	キャプテン翼 GOLDEN-23	19	2010	キャプテン翼
SPINOFF_OLD疑い	6122	優駿の門 G1	18	2010	優駿の門
SPINOFF_OLD疑い	23296	BAD BOYSグレアー	18	2006	BAD BOYS
SPINOFF_OLD疑い	123804	Monkey Turn	18	2008	帯をギュッとね!
SPINOFF_OLD疑い	311	AZUMI	17	2014	がんばれ元気
SPINOFF_OLD疑い	36824	CROWS	17	2007	クローズ
SPINOFF_OLD疑い	49654	鎌倉ものがたり スペシャルセレクション	17	2014	三丁目の夕日
SPINOFF_OLD疑い	16179	ゴッドサイダーセカンド	16	2008	ゴッドサイダー
SPINOFF_OLD疑い	44470	アタゴオル物語	16	1990	アタゴオル
SPINOFF_OLD疑い	56594	銃夢last order	16	2011	銃夢
SPINOFF_OLD疑い	125443	カムイ外伝第2部	16	1987	カムイ伝
SPINOFF_OLD疑い	10901	ザ・シェフ～新章	15	2010	ザ・シェフ
SPINOFF_OLD疑い	13727	センゴク天正記	15	2012	センゴク権兵衛
SPINOFF_OLD疑い	28703	ナポレオン -獅子の時代-	15	2011	ナポレオン
SPINOFF_OLD疑い	42630	DAN DOH!! Xi	15	2003	DAN DOH!!
SPINOFF_OLD疑い	44471	アタゴオル玉手箱	15	1996	アタゴオル
SPINOFF_OLD疑い	44875	Cat's・eye	15	2006	シティーハンター
SPINOFF_OLD疑い	47108	幽・遊・白書	15	2005	Hunter×hunter
SPINOFF_OLD疑い	52462	マップスネクストシート	15	2012	マップス
SPINOFF_OLD疑い	53361	Jドリーム飛翔編	15	2002	オフサイド
SPINOFF_OLD疑い	54214	紅い牙 ブルー・ソネット	15	1987	ラブ・シンクロイド
SPINOFF_OLD疑い	7721	酒のほそ道レシピ	14	2010	酒のほそ道
SPINOFF_OLD疑い	12415	食キングスペシャル	14	2007	喧嘩ラーメン
SPINOFF_OLD疑い	37903	HEN	14	2011	GANTZ
