imprint	count
(imprint無し)	5473
Bamboo comics	1219
マーガレットコミックス	905
ハーレクインコミックス★キララ	849
Emerald comics	736
Missy comics	721
花音コミックス	545
Bunkasha comics	542
ハーレクインコミックス	497
Gush comics	496
角川コミックス・エース	459
バーズコミックス	426
Chara comics	385
ディアプラスコミックス	372
Gateau comics	358
りぼんマスコットコミックス	352
ShoPro Books	347
フラワーコミックス	319
アクアコミックス	304
IDコミックス	300
ACTION COMICS	284
講談社コミックスフレンドB	281
あすかコミックスCL-DX	280
B's-LOVEY COMICS	278
HQ comics	256
乙女ドルチェ・コミックス	247
Be-boy comics	227
G-Lish comics	226
MARBLE COMICS	219
drap COMICS DX	218
fleur comics	217
Daria comics	213
ハーレクインコミックス・ダイヤ	209
花とゆめCOMICS	206
電撃コミックスNEXT	203
Cult comics	200
Charles Comics	189
Baby comics	188
Nichibun comics	185
Karen comics	182
YKコミックス	179
講談社コミックスフレンド	178
Be×boy comics	177
Canna Comics	174
BEAM COMIX	170
講談社コミックスデザート	167
ドラコミックス	147
ビーズログコミックス	146
ハーレクインコミックス・パール	143
MFコミックス	141
フロースコミック	140
MBコミックス	136
Poe backs	136
Sho-Comiフラワーコミックス	135
Eternity COMICS	131
ジュネットコミックス	130
Kaiohsha comics. Gush co	130
MFC	129
Romance	126
LiQulle Comics	125
CHOCOLAT COMICS	124
Dengeki Comics EX	122
モーニングKC	117
恋愛MAX COMICS	117
ビッグコミックス	114
SPコミックス	111
ジャンプ・コミックス	108
講談社コミックスミミ	108
Wings comics	104
ベツコミフラワーコミックス	104
KCDX	104
あすかコミックスDX	103
講談社コミックスなかよし	101
BAMBOO ESSAY SELECTION	100
マンサンコミックス	99
ドラゴンコミックスエイジ	99
Super be-boy comics	95
Gコミックス	93
Kirara menu	91
On blue comics	89
Kyun comics	88
arca comics	87
ハーレクインコミックス・クラウン	87
単行本コミックス	86
marginal	86
メディアファクトリーのコミックエッセイ	84
ヤンマガKC	83
ハーレクインコミックス・darling!	82
あすかコミックス	81
DAISY COMICS	81
マーガレット・レインボー・コミックス	80
コロナ・コミックス	78
マーガレット・コミックス	76
MGC	76
まんがで読破	74
PRINCESS COMICS	73
ファミ通クリアコミックス	72
まんがグリム童話	72
H & C comics	72
[Romance]	72
アフタヌーンKC	71
Splushコミックス	71
Cheese!フラワーコミックス	70
ミケプラスコミックス	69
ヤングユーコミックス	68
チャンピオンREDコミックス	67
KITORA	67
コミックエッセイの森	67
シリウスKC	65
アルファポリスCOMICS	65
コアコミックス	65
MFCジーンピクシブシリーズ	64
バベルコミックス	64
Akita top comics wide	63
ハーレクインコミックス★キララ. 永遠のハッピー	63
シルフコミックス	62
セブンティーン・コミックス	62
ひめ恋selection	62
B's LOVEY comics	62
ぶ～けコミックス	61
ヤングジャンプコミックス	61
Bunch comics	61
Manga time comics	61
DC COMICS	61
EYES COMICS BLink	59
LOVE COFFRE COMICS	58
Tulle Comics	58
IDコミックス. Gateau comics	57
ラポートコミックス	56
ワイドKC	56
ミリオンコミックス	56
KCx	56
HARTA COMIX	55
Chéri +	55
講談社コミックス別冊フレンド	54
EYES COMICSメロキス	54
モバフラフラワーコミックスα	53
Blade comics	53
ピーチシリーズ	53
Daito comics BLシリーズ	52
白夜コミックス	52
Avarus series	52
EYES COMICS.Bloom	52
オパールCOMICS	52
ジャンプコミックス	51
MF comic essay	51
スリーズロゼコミックス	51
Regina COMICS	51
