sid	series_key	title	kana	n_isbn	isbn1
2	qid:Q1001784|name:うえきの法則プラス	うえきの法則プラス	ウエキ ノ ホウソク プラス	5	9784091270375
57	qid:Q1010233|name:銀河戦国群雄伝ライ 異聞	銀河戦国群雄伝ライ 異聞	ギンガ センゴク グンユウデン ライ	1	9784840225625
78	qid:Q1015799|name:DEAR BOYS ACT2	DEAR BOYS ACT2	ディア ボーイズ アクト ツー	6	9784063708899
81	qid:Q1015799|name:DEAR BOYS ACTⅢ	DEAR BOYS ACTⅢ	ディア ボーイズ アクト スリー	6	9784063712018
82	qid:Q1015799|name:DEAR BOYS ILLUSTRATIONS	DEAR BOYS ILLUSTRATIONS	ディア ボーイズ イラストレーションズ	2	9784063301281
86	qid:Q1015799|name:Dear boys the early days	Dear boys the early days	ディア ボーイズ ジ アーリー デイズ	1	9784063335866
89	qid:Q1015799|name:G-taste mini	G-taste mini	ジィ テイスト ミニ	1	9784063351163
107	qid:Q1016880|name:ショーグン	ショーグン	ショーグン	7	9784063056761
110	qid:Q1016880|name:ドーベルマン刑事スペシャル	ドーベルマン刑事スペシャル	ドーベルマン ケイジ スペシャル	13	9784537159028
153	qid:Q102248386|name:やさしいあなた…	やさしいあなた…	ヤサシイ アナタ …	1	9784863495722
157	qid:Q1036246|name:JIN 仁	JIN 仁	Jin	3	9784088592961
158	qid:Q1036246|name:JIN　仁	JIN　仁	ジン	6	9784086191593
164	qid:Q1036246|name:クライマー列伝	クライマー列伝	クライマー レツデン	1	9784903955063
233	qid:Q1040261|name:紅茶王子の姫君	紅茶王子の姫君	コウチャ オウジ ノ ヒメギミ	1	9784592188469
241	qid:Q1040463|name:トリコ外伝	トリコ外伝	トリコ ガイデン	1	9784088747637
285	qid:Q104538840|name:ピアニシモでささやいて第二楽章	ピアニシモでささやいて第二楽章	ピアニシモ デ ササヤイテ ダイニ ガクショウ	9	9784063191868
311	qid:Q1048873|name:AZUMI	AZUMI	アズミ	17	9784091838292
340	qid:Q1049521|name:赤ちゃんと僕トリビュート	赤ちゃんと僕トリビュート	アカチャン ト ボク トリビュート	1	9784592198079
352	qid:Q1049526|name:ナムジ 大國主	ナムジ 大國主	ナムジ オオクニヌシ	4	9784041203743
