fairy-tail-re-fantasia	FAIRY TAIL RE:FANTASIA	フェアリーテイルリ:ファンタジア1
mother	Mother(全1)	マザー
nanji-gendai-dungeon-ni-kibou-o-motsubekarazu	汝、現代ダンジョンに希望を持つべからず	ナンジ、ゲンダイダンジョンニキボウヲモツベカラズ
maryoku-zero-no-saikyou-kenja-mahou-riron-o-kiwametara-sekai-saikyou	魔力ゼロの最強賢者 〜魔法理論を極めたら、世界最強になっていた〜(コミック)	マリョクゼロノサイキョウケンジャマホウリロンヲキワメタラセカイサイキョウニナッテイタ
isekai-kara-tobasarete-kita-kantei-musume-wa-uranai-de-seikei-o-tateru	異世界から飛ばされて来た鑑定娘は、占いで生計を立てる	イセカイカラトバサレテキタカンテイムスメハウラナイデイセイツヲタテル
zenin-ikemen-ni-shiteyaru	全員イケメンにしてやる!	ゼンインイケメンニシテヤルロボオタダンシカイゾウケイカク
ouji-wa-muku-na-shinkan-o-koyonaku-aisu	王子は無垢な神官をこよなく愛す	オウジハムクナシンカンヲコヨナクアイスイチ
crbr-crazy-raccoon-battle-royale	CRBR -Crazy Raccoon Battle Royale-	シーアールビーアールクレイジーラクーンバトルロワイヤル
leap-link-loop	Leap Link Loop	リープリンクループ
densetsu-no-akuyaku-reijou-rashii-node-honpen-ni-wa-denai-koto	伝説の悪役令嬢らしいので本編には出ないことにしました	デンセツノアクヤクレイジョウラシイノデホンペンニハデナイコトニシマシタ
konyaku-haki-no-tame-reikoku-kishi-ni-kettou-o-idonde-mimashita	婚約破棄のため冷酷騎士に決闘を挑んでみましたが溺愛されるとか誰か予想できました	コンヤクハキノタメレイコクキシニケットウヲイドンデミマシタガデキアイサレルトカダレカヨソウデキマシタニ
yankare	ヤンカレ	ヤンカレヤンチャナカレシトミライノオヨメサン
hal-formula	HAL FORMULA	ハルフォーミュラ
xinobi	Xinobi	シノビ/ランセノアウトロータチ
tsuihou-youjo-no-ryouchi-kaitakuki	追放幼女の領地開拓記	ツイホウヨウジョノリョウチカイタクキシナリオカイシマエニツイホウサレタアクヤクレイジョウガタミノタメニヤリタイホウダイシタケッカガコチラデスアットコミックダイイッカン
birei-tensei	美麗転生	ビレイテンセイサエナイオジサンビダンシニテンセイス
n-blendx	N.BlendX	エヌブレンドクロス
meaheimu	メアヘイム	メアヘイム3
colorless	colorless	カラーレス
megaphone-parade	MEGAPHONE PARADE	メガフォンパレード
manga-de-ikki-yomi-asami-mitsuhiko-nazo-toki-toraberu-misuterii-sp	まんがでイッキ読み!浅見光彦 謎解きトラベルミステリーSP	マンガデイッキヨミアサミミツヒコナゾトキトラベルミステリースペシャル
tsuukaku-tantei-tsuu-ten-tera-natsume-volume-2-two	痛覚探偵 通天寺ナツメ [超感覚者たちの華麗なる事件記録] VOLUME 2 TWO	ツウカクタンテイツウテンジナツメ[チョウカンカクシャタチノカレイナルジケンキロク]VOLUME2TWO
isekai-majutsushi-wa-mahou-o-tonaenai-the-comic	異世界魔術師は魔法を唱えない THE COMIC8	イセカイマジュツシハマホウヲトナエナイザコミックハチ
ore-no-shoukan-mahou-ga-okashii-jako-sugiru-to-tsuihou-sareta-shoukan	俺の召喚魔法がおかしい。〜雑魚すぎると追放された召喚魔法使いの俺は、現代兵器を召喚して育成チートで無双する〜 vol.02	オレノショウカンマホウガオカシイザコスギルトツイホウサレタショウカンマホウツカイノオレハゲンダイヘイキヲショウカンシテイクセイチートデムソウスルヴォルゼロツー
gorugo-13-vskgb	ゴルゴ13vsKGB	ゴルゴサーティーンバーサスケイジービー
bullet-barettoo	bulletバレットー	バレット
tsuukaku-tanteidoori-ten-tera-natsume	痛覚探偵通天寺ナツメ[超感覚者たちの華麗なる事件記録]	ツウカクタンテイツウテンジナツメ[チョウカンカクシャタチノカレイナルジケンキロク]VOLUME2TWO
kiyoshi-bengoshi-no-tsumi-to-ba	聖弁護士の罪と罰	ヒジリベンゴシノツミトバツ
100-manbunno-1-rukusu	100万分の1ルクス	ヒャクマンブンノイチルクス
