tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
1	3senchimentaru	3senchimentaru	3センチメンタル	3センチメンタル	サン センチメンタル	3センチメンタル	SLUG_TOKEN_MISMATCH:3senchimentaru;NOHYPHEN
1	a-homance	a-homance	ア・ホーマンス	アホーマンス	アホーマンス	ア ホーマンス	SLUG_TOKEN_MISMATCH:homance
1	aa-warera-ga-myao-shogun	aa-warera-ga-myao-shogun	あゝ我らがミャオ将軍	アアワレラガミャオショウグン	アアワレラガミャオショウグンイチ	アア ワレラ ガ ミャオ ショウグン	SLUG_TOKEN_MISMATCH:shogun
1	aakeidia	aakeidia	アーケイディア	アーケイディア	アーケイディア1		SLUG_TOKEN_MISMATCH:aakeidia
1	abashiriikka	abashiriikka	あばしり一家	アバシリイッカ	アバシリ イッカ	アバシリイッカ	NOHYPHEN
1	abc-arbacks	abc-arbacks	ABCアーバックス	エイビーシーアーバックス	ABC　アーバックス（1）	ABCアーバックス	SLUG_TOKEN_MISMATCH:arbacks
1	abec-shabada	abec-shabada	アベックシャバダァ	アベックシャバダァ	アベック シャバダァ	アベック シャバダァ	SLUG_TOKEN_MISMATCH:abec
1	ablovecadabra	ablovecadabra	アブラブカダブラ	アブラブカダブラ	アブラブカダブラ　イチ		SLUG_TOKEN_MISMATCH:ablovecadabra;NOHYPHEN
1	abunoomarukei-joshi	abunoomarukei-joshi	危ノーマル系女子	アブノーマルケイジョシ	アブ ノーマルケイ ジョシ	アブノーマルケイ ジョシ	LOWHYPHEN
1	abunougozaimasu-obotchama	abunougozaimasu-obotchama	あぶのうございますお坊ちゃま	アブノウゴザイマスオボッチャマ	アブノウゴザイマス オボッチャマ	アブノウゴザイマス オボッチャマ	SLUG_TOKEN_MISMATCH:obotchama
1	aburakadabura	aburakadabura	アブラカダブラ	アブラカダブラ	アブラカダブラ リョウキハンザイトクソウシツ	アブラカダブラ	NOHYPHEN
1	accel-star	accel-star	アクセルスター	アクセルスター		アクセル スター	SLUG_TOKEN_MISMATCH:accel
1	adoribukararaimei	adlib-kara-raimei	アドリブから雷鳴	アドリブカラライメイ	アドリブカラライメイ	アドリブカラライメイ	SLUG_TOKEN_MISMATCH:adlib
1	ahare-meisaku-kun	ahare-meisaku-kun	あはれ!名作くん	アワレメイサククン	アワレメイサククンイチ	アワレ メイサククン	SLUG_TOKEN_MISMATCH:ahare
1	ahogenomu	ahogenomu	アホゲノム	アホゲノム	アホゲノム　ザムザカサタニックヘアー　イチ	アホゲノム	NOHYPHEN
1	ahoken-jakkii	ahoken-jakkii	あほ拳ジャッキー	アホケンジャッキー			SLUG_TOKEN_MISMATCH:jakkii
1	ahoubune	ahoubune	阿呆船	アホウセン			SLUG_TOKEN_MISMATCH:ahoubune
1	ai-doll	ai-doll	愛人形	アイドール	アイ ドール	アイ ドール	SLUG_TOKEN_MISMATCH:doll
1	ai-ga-nakutcha-komarimasu	ai-ga-nakutcha-komarimasu	愛がなくっちゃ、こまります!	アイガナクッチャコマリマス		アイ ガ ナクッチャ コマリマス	SLUG_TOKEN_MISMATCH:nakutcha
1	ai-like-haiku	ai-like-haiku	あいらいく俳句	アイライクハイク		アイ ライク ハイク	SLUG_TOKEN_MISMATCH:like
1	ai-ni-chekkuin	ai-ni-chekkuin	愛にチェックイン	アイニチェックイン	アイニチェックイン	アイ ニ チェックイン	SLUG_TOKEN_MISMATCH:chekkuin
1	ai-niiju	ai-niiju	あいにーじゅ♥	アイニージュ		アイ ニージュ	SLUG_TOKEN_MISMATCH:niiju
1	ai-no-akujotachi	ai-no-akujotachi	愛の悪女たち	オオゾラシュッパン	アイ ノ アクジョタチ		SLUG_TOKEN_MISMATCH:akujotachi;KANA_DIFF_RAKUTEN
1	ai-no-danchitchi	ai-no-danchitchi	愛のだんちっち	アイノダンチッチ		アイ ノ ダンチッチ	SLUG_TOKEN_MISMATCH:danchitchi
1	ai-o-choodai	ai-o-choodai	愛をちょーだい!	アイオチョーダイ	アイ オ チョーダイ	アイ オ チョーダイ	SLUG_TOKEN_MISMATCH:choodai
1	ai-to-seishun-no-natchanzu	ai-to-seishun-no-natchanzu	愛とせーしゅんのなっちゃんズ	アイトセイシュンノナッチャンズ	アイ ト セーシュン ノ ナッチャンズ	アイ ト セイシュン ノ ナッチャンズ	SLUG_TOKEN_MISMATCH:natchanzu
1	ai-wa-noroi-no-nippon-doll	ai-wa-noroi-no-nippon-doll	あいは呪いの日本人形	アイワノロイノニホンニンギョウ	アイ ワ ノロイ ノ ニホン ニンギョウ	アイ ワ ノロイ ノ ニホン ニンギョウ	SLUG_TOKEN_MISMATCH:nippon,doll
1	aido-teradateka	aido-teradateka	愛奴	アイド	アイド		SLUG_TOKEN_MISMATCH:teradateka
1	aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	アイドルマスター シャイニーカラーズ 事務的光空	アイドルマスターシャイニーカラーズジムテキシャイ	アイドルマスター シャイニーカラーズ ジムテキ・		SLUG_TOKEN_MISMATCH:shainiikaraazu,koukuu,kiroku
1	aikodesho	aikodesho	あいこでしょ!	アイコデショ	ヒマワリ ヨウチエン モノガタリ アイコ デショ	アイコデショ	NOHYPHEN
1	aikyuu-rakuen	aikyuu-rakuen	愛Q楽園	アイキューパラダイス	アイキューパラダイス　ダイ1カン		SLUG_TOKEN_MISMATCH:rakuen
1	aile	aile	エール!	エール	エール	エール	SLUG_TOKEN_MISMATCH:aile
1	ainosenbiki	ainosenbiki	アイノセンビキ	アイノセンビキ	アイノセンビキ 〜ママカツシタラママガデキタハナ		NOHYPHEN
1	airabu-hiyori	airabu-hiyori	あいらぶ日和	アイラブビヨリ	アイ ラブ ビヨリ	アイラブ ビヨリ	SLUG_TOKEN_MISMATCH:hiyori
1	aishite-aisare-nakutchane	aishite-aisare-nakutchane	愛して愛されなくっちゃね!	アイシテアイサレナクッチャネ	アイシテ アイサレナクッチャネ	アイシテ アイサレ ナクッチャネ	SLUG_TOKEN_MISMATCH:nakutchane
1	aishiteru-kaiyou	aishiteru-kaiyou	アイシテル -海容-	アイシテル	アイシテル カイヨウ		SLUG_TOKEN_MISMATCH:kaiyou
1	aishiteru-kizuna	aishiteru-kizuna	アイシテル -絆-	アイシテル	アイシテル キズナ		SLUG_TOKEN_MISMATCH:kizuna
1	aiteii-shachou-no-aigan-pet-ni-dekiaisaretemasu	aiteii-shachou-no-aigan-pet-ni-dekiaisaretemasu	IT社長の愛玩ペットにされてます	アイティーシャチョウノアイガンペットニサレテマス	アイティー シャチョウ ノ アイガン ペット ニ	アイティー シャチョウ ノ アイガン ペット ニ	SLUG_TOKEN_MISMATCH:dekiaisaretemasu
1	aizenkagura	aizenkagura	あいぜんかぐら	アイゼンカグラ	アイゼン カグラ	アイゼンカグラ	NOHYPHEN
1	ajia-no-diipuna-arukikata	ajia-no-diipuna-arukikata	アジアのディープな歩き方	アジアノディープナアルキカタ		アジア ノ ディープナ アルキカタ	SLUG_TOKEN_MISMATCH:diipuna
1	aka-no-merodii	aka-no-merodii	赤の旋律	アカノメロディー	アカノセンリツ		SLUG_TOKEN_MISMATCH:merodii;KANA_DIFF_RAKUTEN
1	aka-no-washupiiru	aka-no-washupiiru	赤の原遊戯	アカノワシュピール	アカ ノ ワシュピール	アカ ノ ワシュピール	SLUG_TOKEN_MISMATCH:washupiiru
1	akage-no-an-matsuzaki	akage-no-an-matsuzaki	赤毛のアン	アカゲノアン	アカゲ ノ アン		SLUG_TOKEN_MISMATCH:matsuzaki
1	akahishi-no-eleven	akahishi-no-eleven	赤菱のイレブン	セキリョウノイレブン	セキリョウ ノ イレブン	セキリョウ ノ イレブン	SLUG_TOKEN_MISMATCH:akahishi
