class	slug	title	authors	vol	isbn	dup_pages	cache_sibling_vols
NO_EVIDENCE	ai-1995	愛	高見まこ	v2	9784575933994	-	-
NO_EVIDENCE	arakure-neverland	荒くれネバーランド	サンカクヘッド	v2	9784344825604	-	-
NO_EVIDENCE	b-boy-luv	B-boy luv	松本テマリ	v2	9784835214221	-	-
NO_EVIDENCE	baroque-2017	バロック	上田信舟	v3	9784835454443	-	-
NO_EVIDENCE	batsutsu	バツッ!!	ぬまじりよしみ	v2	9784575331967	-	-
NO_EVIDENCE	biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	内山まもる	v2	9784093660020	-	-
NO_EVIDENCE	black-sweep-sisters	ブラック・スイープ・シスターズ	佐野タカシ	v3	9784758063982	-	-
NO_EVIDENCE	bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	田中むねよし	v20	9784777013715	-	-
NO_EVIDENCE	comic-hero	Comic HERO	蜂文太	v6	9784870423060	-	-
NO_EVIDENCE	comic-indeep	COMIC INDEEP	さくら・がい	v3	9784756701237	-	-
NO_EVIDENCE	comic-shin-genjitsu	Comic新現実	みなもと太郎	v2	9784048537889	-	-
NO_EVIDENCE	dai-chouhen-doraemon-1984	大長編ドラエもん	藤子不二雄	v2	9784091590640	-	-
NO_EVIDENCE	dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	小林源文	v2	9784814918843	-	-
NO_EVIDENCE	dfk	DFK	倉谷友也	v2	9784091411969	-	-
NO_EVIDENCE	elysion	エリュシオン	市東亮子	v5	9784344825802	-	-
NO_EVIDENCE	f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	村山文夫	v7	9784779640209	-	-
NO_EVIDENCE	gokuraku-houshinden	極楽封神伝	日輪早夜	v3	9784938827939	-	-
NO_EVIDENCE	grand-vacances	グラン・バカン	山田和重	v2	9784088732695	-	-
NO_EVIDENCE	grayscale-children	グレースケールチルドレン	あきづきりょう	v2	9784840119566	-	-
NO_EVIDENCE	hal-ayase-2017	ハル	牧野あおい	v2	9784865893540	-	-
NO_EVIDENCE	hana-ichimonme	花いちもんめ	渡千枝	v2	9784821198658	-	-
NO_EVIDENCE	hanna-of-the-z	はんなof the Z	吉川かば夫	v2	9784840119900	-	-
NO_EVIDENCE	hero-special	ヒーロースペシャル	大林かおる・池田淳一	v2	9784091408327	-	-
NO_EVIDENCE	holy-maruo-1996	Holy	犬木加奈子	v2	9784041994016	-	-
NO_EVIDENCE	honomi-bureikutsu	ほのみぶれいくっ!	夢乃狸	v2	9784861173905	-	-
NO_EVIDENCE	hontou-ni-atta-nama-maji-giretsu-byouin-esupii	本当にあった〔○生〕マジギレッ病院SP	安斎かなえ・音咲椿・犬養ヒロ・甲斐さゆみ・東條さ	v2	9784832266063	-	-
