slug	title	authors	year	publisher	total_volumes
supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	古谷三敏	1983	hakusensha	1
shousetsu-ace-o-nerae	小説エースをねらえ!	山本鈴美香	1983	(unknown)	1
takamari-shisuu-esukareeshon	たかまり指数エスカレーション	有田万里・Sanze摩利	1984	shueisha	1
biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	内山まもる	1984	shogakukan	1
mansion-neko-no-kyoumi-shinshin	マンションネコの興味シンシン	竹宮惠子	1984	kadokawa	1
dai-chouhen-doraemon	大長編ドラエもん	藤子不二雄	1984	shogakukan	1
hero-special	ヒーロースペシャル	大林かおる・池田淳一	1985	shogakukan	1
kaika-ansatsuchou-tenpousen	開化暗殺帳天保銭	神田たけ志	1985	(unknown)	1
c-live	C-live	内田美奈子	1986	(unknown)	1
yamamoto-fuutarou-kun	山本風太郎くん	新田たつお	1986	(unknown)	1
mindy-land	Mindy land	眠田直	1988	movic	1
aporon-ha-shit-suru	アポローンは嫉妬する	名香智子	1988	shogakukan	1
taaheru-ana-tomiko	ターヘルアナ富子	徳弘正也	1988	shueisha	1
daphne	ダフネー	山岸凉子	1988	kadokawa	1
shoki-sakuhin-shuu	レフトアンドライト	山岸凉子	1988	kadokawa	1
kayou-manga-daizenshuu	歌謡マンガ大全集	内田美奈子	1988	kodansha	1
takahashi-meijin-monogatari	高橋名人物語	河合一慶	1988	shogakukan	1
12	12	井上紀良	1989	shueisha	1
valkyrie	ワルキューレ	千之ナイフ	1989	kubo-shoten	1
shounan-graffiti-1989	湘南グラフティ	吉田聡	1989	shonen-gahosha	1
shounan-bousouzoku	湘南暴走族	吉田聡	1989	shonen-gahosha	1
guy-saito-1990	ガイ	さいとう・たかを	1990	leed	1
sadistic-sayaka-chan	サディスティックさやかちゃん!	永田トマト	1990	studio-ship	1
matador	マタドール	須本壮一	1990	nihon-bungasha	1
karutteto	かるってと	山花典之	1991	shueisha	1
zebra	ゼブラ	篠原とおる	1991	leed	1
tokyo-debut	東京デビュー	松井雪子	1991	seirindo	1
comic-hero	Comic HERO	蜂文太	1992	(unknown)	1
hot-komyunikeeshiyon	あったかファミリー ホット・コミュニケーション	波間信子	1992	kodansha	1
kotoza-no-regashii	こと座のレガシー	井出智香恵	1992	wani-magazine	1
ikinari-shinrensai	いきなり新連載	小山ゆう	1993	(unknown)	1
game-comic-collection	ゲームコミックコレクション	ことぶきつかさ	1993	mediax	1
shinuhodo-kisu-shite	死ぬほどKISSして	大島岳詩	1993	leed	1
kifujin-ha-unazukanai	貴婦人は頷かない	名香智子	1993	shogakukan	1
lovers	Lovers	井上恵美子	1994	shogakukan	1
oki-ni-mesu-mama-1994	お気に召すまま。	さそうあきら	1994	kodansha	1
jungle	ジャングル	嶺岸信明	1994	takeshobo	1
batsutsu	バツッ!!	ぬまじりよしみ	1994	futabasha	1
himawari-ga-koi-o-shita-noha-dare	向日葵が恋をしたのは誰?	名香智子	1994	shogakukan	1
setsugekka	雪月華	田辺真由美	1994	akita	1
