seed	special_isbn	special_title	normal_isbn	normal_title
special-edition-fix-b.yml	9784099430788	Bite Maker 6 日めくりカレンダー付き特装版 杉山 美和子	9784098711529	Bite Maker 〜王様のΩ〜（6） 杉山 美和子
special-edition-fix-b.yml	9784099431143	ブラックチャンネル 5 ブラック天使Ver．アクリルスタンド付き特装版 きさいち さとし	9784091435248	ブラックチャンネル（5） きさいち さとし
special-edition-fix-b.yml	9784065227299	ちいかわ　なんか小さくてかわいいやつ（1）なんか楽しくて飾れる絵本付き特装版 ナガノ	9784065223963	ちいかわ　なんか小さくてかわいいやつ（1） ナガノ
special-edition-fix-b.yml	9784065242520	ちいかわ　なんか小さくてかわいいやつ（2）なんか楽しくて開ける絵本付き特装版 ナガノ	9784065242513	ちいかわ　なんか小さくてかわいいやつ（2） ナガノ
special-edition-fix-b.yml	9784065285794	ちいかわ　なんか小さくてかわいいやつ（4）なんか小さくてためになる豆本付き特装版 ナガノ	9784065286500	ちいかわ　なんか小さくてかわいいやつ（4） ナガノ
special-edition-fix-b.yml	9784099430801	コールドゲーム 5 ボイスコミックDVD付き特装版 和泉 かねよし	9784098711482	コールドゲーム（5） 和泉 かねよし
special-edition-fix-b.yml	9784063583540	DEAR BOYS ACT3 （8） 特装版 八神ひろき	9784065392737	DEAR　BOYS　新装版（8） 八神 ひろき
special-edition-fix-b.yml	9784800008343	ドラゴン、家を買う。（4）初回限定版 多貫カヲ/絢薔子	9784800008435	ドラゴン、家を買う。（4） 多貫カヲ/絢薔子
special-edition-fix-b.yml	9784041108192	衛宮さんちの今日のごはん　（6）　レシピ本付特装版 TAa/只野まこと/TYPE-MOON	9784041108208	衛宮さんちの今日のごはん　（6） TAa/只野まこと/TYPE-MOON
special-edition-fix-b.yml	9784041125168	衛宮さんちの今日のごはん　（8）　レシピ本付特装版 TAa/只野まこと/TYPE-MOON	9784041125151	衛宮さんちの今日のごはん　（8） TAa/只野まこと/TYPE-MOON
special-edition-fix-b.yml	9784065170328	ふらいんぐうぃっち（8）　ドラマCD付き特装版 石塚 千尋	9784065162859	ふらいんぐうぃっち（8） 石塚 千尋
special-edition-fix-b.yml	9784091591654	銀の匙 Silver Spoon ／ 9 オリジナルドラマCDつき特別版 荒川 弘/アニプレックス	9784091244741	銀の匙 Silver Spoon（9） 荒川 弘
