score	親slug	親題	orphan題	接尾	orphan_series_key	巻数	ISBN	発売日	imprint	根拠
10	FIT_GAP	mashou-no-ahosuta-san	マショウのあほすたさん	マショウのあほすたさんW (ういんぐ)	wういんぐ	qid:Q111111979|name:マショウのあほすたさんW (ういんぐ)	1	9784776991809		Sanwa comics	同ISBN帯,同レーベル,親に欠番[2],★欠番2のISBN枠に収まる
8	FIT_GAP	dogs-sato-2023	Dogs	Dogs infight	infight	name:里つばめ|name:Dogs infight	1	9784813032328	2019-07	Craft series	同ISBN帯,親に欠番[2],★欠番2の日付枠に収まる
8	FIT_GAP	hontoni-atta-kowai-hanashi	ほんとにあった怖い話	ほんとにあった怖い話作家編	作家編	name:ひとみ翔|name:ほんとにあった怖い話作家編	1	9784257982555	1993-04-20	ハロウィン少女コミック館	同ISBN帯,親に欠番[2, 9, 25],★欠番25の日付枠に収まる
6	候補	azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	蒼竜(アズファレオ)の側用人～白銀の竜編～0	白銀の竜編0	name:千歳四季|name:蒼竜(アズファレオ)の側用人～白銀の竜編～0	1	9784592216308	2021-01	花とゆめCOMICS	同ISBN帯,同レーベル,親に欠番[1, 2, 3, 4]
5	候補	07-ghost	07-GHOST	07-GHOST CHILDREN	children	name:雨宮由樹|name:07-GHOST CHILDREN	1	9784758055390	2010-09	IDコミックス	同ISBN帯,同レーベル
5	候補	3-3eyes	3×3EYES	3×3EYES(サザンアイズ)	サザンアイズ	qid:Q1970474|name:3×3EYES(サザンアイズ)	1	9784063707533	2010-07	講談社漫画文庫	同ISBN帯,同レーベル
5	候補	absolute-duo	アブソリュート・デュオ	アブソリュート・デュオ TEA PARTY	teaparty	name:浅葉ゆう|name:アブソリュート・デュオ TEA PARTY	1	9784040672458	2015-01	MFコミックス	同ISBN帯,同レーベル
5	候補	ageha-densetsu	胡蝶伝説	胡蝶伝説 六本木激闘編	六本木激闘編	qid:Q11551675|name:胡蝶伝説 六本木激闘編	2	9784088656304;9784088656182	2011-06;2011-02	Queen's comics	同ISBN帯,同レーベル
5	候補	akogare	あこがれ	あこがれマイ・ソング	マイソング	name:永沢京子|name:あこがれマイ・ソング	1	9784061761063	1986-09-14	講談社コミックスフレンド	同ISBN帯,同レーベル
5	候補	akogare	あこがれ	あこがれ愛ランド	愛ランド	name:伊東千江|name:あこがれ愛ランド	1	9784061739840	1983-07-14	講談社コミックスフレンド	同ISBN帯,同レーベル
5	候補	akuyaku-reijou-koukyuu-monogatari	悪役令嬢後宮物語	悪役令嬢後宮物語～王国激動編～	王国激動編	name:涼風|name:悪役令嬢後宮物語～王国激動編～	2	9784866579184;9784866579191	2026-04-27;2026-05-25	Arianrose Comics	同ISBN帯,同レーベル
5	候補	amagamitsu	あまがみっ!	あまがみっ!SS+plus	ss+plus	name:エンターブレイン|name:あまがみっ!SS+plus	1	9784047287822	2013-04	ファミ通クリアコミックス	同ISBN帯,同レーベル
5	候補	amayakana-hana-no-ketsuzoku	甘やかな花の血族	甘やかな花の血族-紅蓮	紅蓮	name:冬森雪湖|name:甘やかな花の血族-紅蓮	1	9784776735489	2013-07	Missy comics	同ISBN帯,同レーベル
5	候補	amnesia	AMNESIA	AMNESIA CROWD	crowd	name:六|name:AMNESIA CROWD	1	9784047290211	2013-07	ビーズログコミックス	同ISBN帯,同レーベル
5	候補	amnesia	AMNESIA	AMNESIA JOKER	joker	name:黒山メッキ|name:AMNESIA JOKER	1	9784047289901	2013-06	ビーズログコミックス	同ISBN帯,同レーベル
5	候補	amnesia	AMNESIA	AMNESIA LATER	later	name:なるせいさ|name:AMNESIA LATER	1	9784047287648	2013-03	ビーズログコミックス	同ISBN帯,同レーベル
5	候補	angel-baby-cupid	Angel baby cupid	Angel Baby Cupid DX.	dx	qid:Q20041859|name:Angel Baby Cupid DX.	1	9784088486239	1997-03-02	マーガレットコミックス	同ISBN帯,同レーベル
