score	aid	slug	title	synopsis_head	catch_head	swap_hint
0.000	138654	dotsuitare	どついたれ	退廃へ向かう戦中、そして続く戦後を舞台にした短編集。		
0.000	192704	doukyonin-ga-otoko-nante-kiitenaitsu	同居人が男なんて聞いてナイッ!	舌と指で巧みに体を翻弄してくる相手。たとえ従兄であっても拒めない——想像もしなかったことをされてしまうという官能ラブスト		
0.000	135054	doukyuusei-to-koisuru-houhou	同級生と恋する方法	番外編3話を収録。（出典が乏しく詳細不明）	こわいと思ってた彼の、やさしさに気づいた日	
0.000	165727	eccentrics	ECCENTRICS	短編「カプートの別荘へおいで」を収録した一作。	失われた記憶、ひとつの人格を分け合う双子	
0.000	182480	esuenuke-no-hitobito	えすえぬ家の人々	かつて格闘シーンで大活躍していたという「小さな大女優」ネオジオ。彼女をめぐるコメディ。	うたって、わらって、ちょっとせつない	
0.000	86902	etten-no-sora	越天の空	敗れた帝国の残党が、侵略してきた軍に反撃を企てる。アクション・ファンタジー。	空の皇国を巡る、暗闘と最終決戦	
0.000	68179	evil-virgin	イビルばーじん	勃起薬で知られる製薬会社が、研究のためサキュバスを雇い入れた。男を惑わす妖艶な女を想像していた社員たちの前に現れたのは、	下ネタ全開、悪魔もインキュバスも大集合	
0.000	33339	fujisaki-ryuu-sakuhinshuu-3-tenkyuugi	藤崎竜作品集3 天球儀	宇宙飛行士を夢見る青年がトラックにはねられ、肉体を離れる体験をして現実を問い直す。一方、二人の友人は彼を救おうと時間との		
0.000	91451	furumetaru-panic-0	フルメタル・パニック!0	笠原鉄郎によるコミカライズ。賀東招二の同名小説を原作とする、SFメカ・サスペンス。	すべては、かなめと宗介の出逢いから	
0.000	108070	fuzoroi-no-renri	不揃いの連理	理不尽な要求ばかりの会社で働き、おまけに既婚男性ばかりに惹かれてしまう田中いおり。ある日知人と泥酔した翌朝、隣で裸の彼が	酔った勢いの一夜から始まる、女の子同士の恋	
