tier	len	has_caption	anilist_id	slug	title	current_synopsis
severe	6	yes	79843	vividred-operation-the-4-koma-bibiope	ビビッドレッド・オペレーションTHE4コマ びびおぺ	四コマ漫画。
severe	7	yes	160478	toshishita-no-rinjin-ni-sewa-dekiaisaretemasu	年下の隣人に世話されてます	短い恋の物語。
severe	7	yes	170782	hontou-ni-atta-tamaranai-hanashi	本当にあったたまらない話	成人向け作品。
severe	9	yes	95740	fushidara	フシダラ	成人向けの短編集。
severe	9	yes	113880	izanau-mono	いざなうもの	短編を集めた一冊。
severe	9	yes	159022	rokunin-no-usotsuki-na-daigakusei-plus-1	六人の嘘つきな大学生〈プラス1〉	番外編を1話収録。
severe	9	yes	161676	hebigami-sama-to-nagamimi-no-miko	蛇神様と長耳の巫女	番外編を2話収録。
severe	10	yes	94090	shikigami-otoko	式神男子	式神のラブコメディ。
severe	10	yes	94843	nagi-to-arashi	ナギと嵐	読み切り作品を収録。
severe	10	yes	96117	shura-no-dress	修羅のドレス	短編を収録した一冊。
severe	10	yes	112970	tamata	TAMATA	読切を併録した一冊。
severe	10	yes	115260	haru-rock	ハルロック	読み切り1編を収録。
severe	10	yes	130343	sono-onna-jiruba	その女、ジルバ	(あらすじ情報なし)
severe	10	yes	149279	fire-ball	FIRE BALL!	(あらすじ情報なし)
severe	10	yes	160753	kinjo-no-keshiki	近所の景色 無能の人	雑誌掲載の短編作品。
severe	10	yes	161782	nezumi	腹話術師 ねずみ	雑誌掲載の短編作品。
severe	10	yes	176445	rinshitsu-no-otoko	隣室の男	雑誌掲載の短編作品。
severe	10	yes	210063	ittou-ryoudan	鬼面石 一刀両断	雑誌掲載の短編作品。
severe	11	yes	33584	oboretai	お・ぼ・れ・た・い	吉原由起による短編集。
severe	11	yes	53253	angel-mark	エンゼルマーク	松永豊和による短編集。
severe	11	yes	87965	watashi-wa-rikyuu	私は利休	日本の茶をめぐる物語。
severe	11	yes	97866	tsukumo-no-hanashi	つくものはなし	おまけ三話を含む作品。
severe	11	yes	107113	shoumonai-bokura-no-renairon	しょうもない僕らの恋愛論	おまけ1話を含む作品。
severe	11	yes	111775	urino-kiko-no-heart-beat	売野機子のハート・ビート	売野機子による短編集。
severe	11	yes	140115	chupakarabu	ちゅぱからぶ	おまけ三話を含む作品。
severe	11	yes	154240	nikoichi	にこいち!!	番外編を収録した一冊。
severe	12	yes	87159	gensou-gynaecocracy	幻想ギネコクラシー	沙村広明 による短編集。
severe	12	yes	88536	ouji-to-kojiki	王子と乞食	王子と乞食をめぐる物語。
