slug	title_id	カテゴリ	商品題
agemono-blues	611819	小説・文芸/エッセイ・紀行	エッセイ	あげものブルース
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	1302209	ライトノベル/女性向けライトノベル	暁の魔女レイシーは自由に生きたい 1　～魔王討伐を終えたので、のんびりお店を開きます～
akutoku-reijou-ni-tensei-shita-noni-masaka-no-kyuukon	1368087	ライトノベル/女性向けライトノベル	悪徳令嬢に転生したのに、まさかの求婚！？～手のひら返しの求婚はお断りします！～
akuyaku-kizoku-toshite-hitsuyou-na-sore	20059113	ライトノベル/男性向けライトノベル	悪役貴族として必要なそれ　１
akuyaku-no-go-reisoku-no-dounika-shitai-nichijou	961781	ライトノベル/女性向けライトノベル	悪役のご令息のどうにかしたい日常【特典SS付】
ansatsusha-wa-tasogare-ni-warau	1071838	ライトノベル/男性向けライトノベル	暗殺者は黄昏に笑う 1
arafoo-otsu-san-slow-life-no-yume-o-miru-ka	642228	ライトノベル/男性向けライトノベル	アラフォーおっさんはスローライフの夢を見るか？
arafoo-shachiku-no-golem-master	448059	ライトノベル/男性向けライトノベル	アラフォー社畜のゴーレムマスター ： 1
arcadia-service-kaishi-kara-sannen-imasara-hajimeru-kasou-sekai-kouryaku	1607159	ライトノベル/男性向けライトノベル	アルカディア　サービス開始から三年、今更始める仮想世界攻略
asa-okitara-tansakusha-ni-natteita-node-dungeon-ni-moguttemiru	20055525	ライトノベル/男性向けライトノベル	朝起きたら探索者になっていたのでダンジョンに潜ってみる
bazure-alice	1334362	ライトノベル/男性向けライトノベル	バズれアリス 1　【追放聖女】応援（いいね）や祈り（スパチャ）が力になるので動画配信やってみます！【異世界⇒日本】
beru-pupee-no-supadari-konyaku	20077702	ライトノベル/女性向けライトノベル	ベル・プペーのスパダリ婚約～「好みじゃない」と言われた人形姫、我慢をやめたら皇子がデレデレになった。実に愛い！～ 1巻
berubara-kids	208787	小説・文芸/エッセイ・紀行	エッセイ	ベルばらKids
biyou-skill-de-class-no-onnanoko-o-kawaiku-shitai	20174168	ライトノベル/男性向けライトノベル	美容スキルでクラスの女の子を可愛くしたい【電子特別版】
boku-wa-konyaku-haki-nante-shimasen-karane	742888	ライトノベル/女性向けライトノベル	僕は婚約破棄なんてしませんからね【特典SS付】
bokunchi	225881	小説・文芸/小説	国内小説	ぼくんち　上
botsuraku-reijou-no-okinimesuma-ma	20062465	ライトノベル/女性向けライトノベル	没落令嬢のお気に召すまま　～婚約破棄されたので宝石鑑定士として独立します～ 1巻
boukensha-party-o-tsuihousareta-sareta-kaifukushi-no-shoujo-o-hirotte-ikusei-shitara-masaka-no	931813	ライトノベル/男性向けライトノベル	冒険者パーティーを追放された回復士の少女を拾って育成したら、まさかの最強職業に転職!?　おまけに彼女の様子が何やらおかしくて…【特典SS付】
bushinden	20066436	ライトノベル/男性向けライトノベル	武神伝　生贄に捧げられた俺は、神に拾われ武を極める
catnip	428340	小説・文芸/エッセイ・紀行	エッセイ	キャットニップ １．
chikuma-san	889580	小説・文芸/エッセイ・紀行	エッセイ	ちくまさん
chou-nankan-dungeon-de-10-mannen-shugyou-shita-kekka-sekai-saikyou-ni	20041249	ライトノベル/男性向けライトノベル	超難関ダンジョンで10万年修行した結果、世界最強に　～最弱無能の下剋上～ 【電子書籍限定特典SS付き】
chuukyuu-kiriko-london	281956	小説・文芸/エッセイ・紀行	エッセイ	中級キリコ・ロンドン
class-no-bocchi-gal-o-omochikaeri-shite-seisokei-bijin-ni-shiteyatta-hanashi	1011340	ライトノベル/男性向けライトノベル	クラスのぼっちギャルをお持ち帰りして清楚系美人にしてやった話
danzai-sareta-makegumi-reijou-desu-jikan-o-modoseru-you-ni-natta-node-kondo-koso-shiawase-ni	1586217	ライトノベル/女性向けライトノベル	断罪された負け組令嬢ですが、時間を戻せるようになったので今度こそ幸せになります　1
danzai-sarete-iru-akuyaku-reijou-to-irekawatte-konyakusha-tachi-o-butsu-tobashitara-dekiai-ga-matte	20044518	ライトノベル/女性向けライトノベル	断罪されている悪役令嬢と入れ替わって婚約者たちをぶっ飛ばしたら、溺愛が待っていました
datte-nozomarenai-tsugai-desu-kara	20079044	小説・文芸/小説	国内小説	だって望まれない番ですから１
dorobune-kizoku-no-goreijou	20079225	ライトノベル/女性向けライトノベル	泥船貴族のご令嬢～幼い弟を息子と偽装し、隣国でしぶとく生き残る！～１
doryoku-shisugita-sekai-saikyou-no-butouka-wa-mahou-sekai-o-yoyuu-de-ikinuku	453705	ライトノベル/男性向けライトノベル	努力しすぎた世界最強の武闘家は、魔法世界を余裕で生き抜く。
doumo-butsuyoku-no-seijo-desu	20054342	ライトノベル/男性向けライトノベル	どうも、物欲の聖女です　無双スキル「クリア報酬」で盛大に勘違いされました
douse-suterareru-nonara-saigo-ni-suki-ni-sasete-itadakimasu	816917	TL/TL小説	どうせ捨てられるのなら、最後に好きにさせていただきます
dungeon-camper-no-ore-gal-haishinsha-o-tasuketara-bazutta-ue-ni-mainichi-gal-ga-meshi-o-kui-ni-kuru	1676730	ライトノベル/男性向けライトノベル	ダンジョンキャンパーの俺、ギャル配信者を助けたらバズった上に毎日ギャルが飯を食いにくる
earth-with-dungeon	1157685	ライトノベル/男性向けライトノベル	アースウィズダンジョン～固有スキル≪等価交換ストア≫を駆使して世界救済を目指します～(サーガフォレスト)1【電子版特典SS付き】
eiyuu-buran-no-jinsei-keikaku	20072675	ライトノベル/男性向けライトノベル	英雄ブランの人生計画 第二の人生は雑用係でお願いします ： 1
eiyuu-to-kenja-no-tenseikon	1111544	ライトノベル/男性向けライトノベル	【電子版限定特典付き】英雄と賢者の転生婚 1～かつての好敵手と婚約して最強夫婦になりました～
enren-kon	622443	ライトノベル/女性向けライトノベル	艶恋婚～御曹司と政略結婚いたします～
enzai-reijou-wa-shinjitai	1489180	ライトノベル/女性向けライトノベル	冤罪令嬢は信じたい　～銀髪が不吉と言われて婚約破棄された子爵令嬢は暗殺貴族に溺愛されて第二の人生を堪能するようです～
f-rank-shoukanshi-pet-atsukai-de-kawaigatteita-shoukanjuu-bahamut-bahamut-ni-seichou-shita-node	1307274	ライトノベル/男性向けライトノベル	Fランク召喚士、ペット扱いで可愛がっていた召喚獣がバハムートに成長したので冒険を辞めて最強の竜騎士になる
fuguu-skill-no-shien-madoushi	838861	ライトノベル/男性向けライトノベル	不遇スキルの支援魔導士【電子版限定書き下ろしSS付】 1巻
gaidoyaku-no-tenshi-o-naguri-taoshitara-shiryoujutsushi-ni-narimashita	1579682	ライトノベル/男性向けライトノベル	ガイド役の天使を殴り倒したら、死霊術師になりました１　～裏イベントを最速で引き当てた結果、世界が終焉を迎えるそうです～
genji-monogatari-asaki-yumemishi	292934	小説・文芸/児童書	よみもの	源氏物語　あさきゆめみし（１）
gogo-no-akubi	818530	小説・文芸/エッセイ・紀行	エッセイ	午后のあくび
gokai-sareta-migawari-no-majo-wa-kokuou-kara-saisho-no-koi-to-saigo-no-koi-o-sasagerareru	20056102	ライトノベル/女性向けライトノベル	誤解された『身代わりの魔女』は、国王から最初の恋と最後の恋を捧げられる 1巻
guild-no-cheat-na-uketsukejou	282541	ライトノベル/男性向けライトノベル	ギルドのチートな受付嬢 ： 1
guuzen-tasuketa-bishoujo-ga-naze-ka-ore-ni-natsuiteshimatta-ken-nitsuite	20115188	ライトノベル/男性向けライトノベル	偶然助けた美少女がなぜか俺に懐いてしまった件について
gyakkou-akuyaku-reijou-wa-tadaima-kyuukon-chuu	20062360	ライトノベル/女性向けライトノベル	逆行悪役令嬢はただ今求婚中　近くに居た騎士に求婚しただけのはずが、溺愛ルートに入りました！？ 【電子書籍限定特典SS付き】
