slug	title	seed_max	page_max	missing	status	title_id	next_cid
meitantei-conan	名探偵コナン	14	109	95	ongoing	20044232	20044232_015
marugoshi-deka	まるごし刑事	5	75	70	completed	1120584	1120584_006
onihei-hankachou	鬼平犯科帳	65	128	63	ongoing	9280	9280_066
patalliro	パタリロ!	50	104	54	ongoing	172962	172962_051
keirin-yarou	ケイリン野郎	4	56	52	completed	185679	185679_005
mandaraya-no-ryouta	まんだら屋の良太	18	53	35	completed	1340981	1340981_019
shaman-king	シャーマンキング	2	35	33	completed	60011690	60011690_003
jingi	仁義	1	33	32	completed	698733	698733_002
tokyo-daigaku-monogatari	東京大学物語	5	34	29	completed	20078135	20078135_006
kumotori-zanpei	雲盗り暫平	6	34	28	completed	245756	245756_007
konjiki-no-gash	金色のガッシュ!!	6	33	27	completed	1215607	1215607_007
dandadan	ダンダダン	1	25	24	ongoing	20184493	20184493_002
tableau-gate	タブロウ・ゲート	2	26	24	completed	142403	142403_003
black-jack	ブラック・ジャック	1	25	24	completed	252461	252461_002
yaiteru-futari	焼いてるふたり	2	25	23	completed	2319529	2319529_003
daichouhen-doraemon	大長編ドラえもん	1	24	23	completed	348970	348970_002
dragon-kishidan	ドラゴン騎士団	6	26	20	completed	147787	147787_007
ikki-tousen	一騎当千	4	24	20	completed	42300	42300_005
desire-2nd-season	DESIRE 2nd season	7	25	18	completed	20144205	20144205_008
lupin-iii-y	ルパン三世Y	2	20	18	completed	344383	344383_003
dotsu-kouren	ドッ硬連	2	20	18	completed	973045	973045_003
shitamachi-tekkoujo-funtouki-natsu-chan-toukyouhen	下町鉄工所奮闘記ナッちゃん東京編	3	21	18	completed	393914	393914_004
rokudenashi-blues	ろくでなしblues	25	42	17	completed	152558	152558_026
tetsujin-28-gou	鉄人28号	7	24	17	completed	29980	29980_008
auction-house	オークション・ハウス	17	34	17	completed	20141289	20141289_018
pikupiku-sentarou	ぴくぴく仙太郎	20	37	17	completed	38260	38260_021
yume-no-ishibumi	夢の碑	3	20	17	completed	502184	502184_004
trinity-7-shichinin-no-masho-tsukai	トリニティセブン 7人の魔書使い	18	34	16	ongoing	141260	141260_019
captain-tsubasa	キャプテン翼	21	37	16	completed	150199	150199_022
sarai	サライ	3	19	16	completed	234262	234262_004
bats-terry	バツ＆テリー	8	24	16	completed	1146580	1146580_009
ninpou-hiwa	忍法秘話	6	22	16	completed	496885	496885_007
puzzle-game-highschool	パズルゲーム☆はいすくーる	18	34	16	completed	300951	300951_019
dragon-quest-daino-daibouken	ドラゴンクエスト ダイの大冒険	22	37	15	completed	196188	196188_023
mad-buru-34	マッド・ブル34	4	19	15	completed	1251598	1251598_005
kaze-no-field	風のフィールド	2	17	15	completed	973064	973064_003
shiroi-kaze	白い風	10	25	15	completed	228417	228417_011
sakuranbo-monogatari	桜桃物語	1	16	15	completed	60011297	60011297_002
offside	オフサイド	15	29	14	completed	20005926	20005926_016
gekitou-arawashi-koukou-gorufubu	激闘!!荒鷲高校ゴルフ部	2	16	14	completed	1886462	1886462_003
tetsunabe-no-jan	鉄鍋のジャン!	13	27	14	completed	143154	143154_014
dan-doh	DAN DOH!!	15	29	14	completed	211050	211050_016
kaguyahime	輝夜姫	14	27	13	completed	199155	199155_015
hi-no-ryousen	緋の稜線	12	25	13	completed	905699	905699_013
fuuunjitachi	風雲児たち	21	34	13	completed	9350	9350_022
m-use	マウス	1	14	13	completed	527869	527869_002
boy	BOY	20	33	13	completed	152557	152557_021
haguhagu	はぐはぐ	2	15	13	completed	242055	242055_003
inugami	犬神	2	14	12	completed	2337185	2337185_003
seikimatsu-leader-den-takeshi	世紀末リーダー伝たけし!	13	25	12	completed	153678	153678_014
manga-de-wakaru-shinryounaika	マンガで分かる心療内科	11	23	12	completed	175272	175272_012
tenjounoniji	天上の虹	11	23	12	completed	2137127	2137127_012
imouto	妹	2	14	12	completed	330311	330311_003
tsuideni-tonchinkan	ついでにとんちんかん	6	18	12	completed	271733	271733_007
oruchuban-ebichu	おるちゅばんエビちゅ	3	15	12	completed	20027543	20027543_004
seito-sho-kun	生徒諸君!	12	24	12	completed	132028	132028_013
itamae-onimasa	板前鬼政	4	16	12	completed	2254117	2254117_005
slam-dunk	SLAM DUNK	20	31	11	completed	20131967	20131967_021
jigoku-sensei-nube	地獄先生ぬ～べ～	20	31	11	completed	152560	152560_021
survival	サバイバル	11	22	11	completed	8800	8800_012
hana-no-asuka-gumi	花のあすか組!	16	27	11	completed	147667	147667_017
dear-boys	Dear boys	12	23	11	completed	15910	15910_013
shakariki	シャカリキ!	7	18	11	completed	185688	185688_008
switch-2002	Switch	2	13	11	completed	237888	237888_003
mobile-suit-gundam-daburuoo-79	機動戦士ガンダム0079	1	12	11	completed	20079656	20079656_002
nippon-chinbotsu	日本沈没	4	15	11	completed	233102	233102_005
captain	キャプテン	15	26	11	completed	202787	202787_016
pureibooru	プレイボール	11	22	11	completed	202788	202788_012
tenshi-kinryouku	天使禁猟区	10	20	10	completed	199158	199158_011
sasuke	サスケ	10	20	10	completed	490305	490305_011
dark-edge	DARK EDGE	5	15	10	completed	378964	378964_006
eikou-naki-tensaitachi	栄光なき天才たち	7	17	10	completed	10001584	10001584_008
4koma-chibimarukochan	4コマちびまる子ちゃん	3	13	10	completed	574003	574003_004
arthur-garage	アーサーgarage	5	15	10	completed	17300	17300_006
rookies	Rookies	15	24	9	completed	150196	150196_016
boku-no-chikyuu-o-mamotte	ぼくの地球を守って	12	21	9	completed	199154	199154_013
cyborg-009	サイボーグ009	27	36	9	completed	269037	269037_028
whistle	ホイッスル!	15	24	9	completed	207666	207666_016
angel-heart	エンジェル・ハート	24	33	9	completed	257963	257963_025
shin-lupin-sansei	新ルパン三世	12	21	9	completed	357476	357476_013
yakumo-tatsu	八雲立つ	10	19	9	completed	327682	327682_011
mr-fullswing	Mr.FULLSWING	15	24	9	completed	206771	206771_016
sensei	先生!	11	20	9	completed	153674	153674_012
papa-told-me-cocohana-ver	Papa told me Cocohana ver	5	14	9	ongoing	218033	218033_006
rockn-call	Rock'n爆音	4	13	9	completed	2299632	2299632_005
gang-king	ギャングキング	28	37	9	completed	173270	173270_029
ninja-bugeichou	忍者武芸帳	8	17	9	completed	490466	490466_009
yakushiji-ryouko-no-kaiki-file-kiri-no-houmonsha	薬師寺涼子の怪奇事件簿 霧の訪問者	2	11	9	completed	217033	217033_003
sanbanchou-hagiwaraya-no-bijin	三番町萩原屋の美人	6	15	9	completed	150833	150833_007
kyou-mo-otenki	今日もお天気	1	10	9	completed	251521	251521_002
seifuku-play	制服プレイ	3	12	9	completed	1197890	1197890_004
dr-slump	Dr.スランプ	9	18	9	completed	188054	188054_010
karin	火輪	8	17	9	completed	184308	184308_009
kodomo-nanka-daikirai	子供なんか大キライ!	9	18	9	completed	259640	259640_010
