plan	title	ndl_book	date	isbn
A_新規頁	シャリ河の秘密基地	シャリ河の秘密基地	1995.3	4041851238
A_新規頁	ピロンの秘密	ピロンの秘密 ; お山の三五郎	1993.7	4061759183
A_新規頁	マンションOBA	マンションOBA	1995.3	4087482928
A_新規頁	丹下左膳	丹下左膳 = Tange Sazen	1994.11	9571313750
A_新規頁	人間牧場	人間牧場 : 少年サンデー版 : 限定版BOX	2012.4	9784778032142
A_新規頁	光線銃ジャック	光線銃ジャック	1995.9	4087483061
A_新規頁	悪右衛門	安達ヶ原・悪右衛門	2003.2	
A_新規頁	牙人	牙人	1999.12	4253174779
A_新規頁	白縫	白縫	1995	4087482944
B_併録	お山の三五郎	ピロンの秘密 ; お山の三五郎	1993.7	4061759183
B_併録	ごめんねママ	マコとルミとチイ ; ごめんねママ	1983.7	4061732730
B_併録	ピストルをあたまにのせた人びと	丹下左膳 ピストルをあたまにのせた人びと	1989	4061086685
B_併録	漫画天文学	漫画生物学 漫画天文学	1989	406173279
C_版裁定	ユニコ 小学一年生版	ユニコ : 小学一年生版	1993.2	4061759108
C_版裁定	火の鳥 少女クラブ版	火の鳥 : 少女クラブ版	1980.3	4061732005
D_要確認	がらくたの詩	がらくたの詩 : 手塚治虫「がらくたの詩」から	p2004	
D_要確認	トキワ荘物語	トキワ荘物語	None	
D_除外	ゲーム	MW : 第0章 : 悪魔のゲーム	[2009?]	
E_ISBNレス旧書	くろい宇宙線	くろい宇宙線[復刻版] : おもしろブック9月号ふろく	2008.3	
E_ISBNレス旧書	ぐっちゃん	ぐっちゃん	1980.8	
E_ISBNレス旧書	こだまちゃん	こだまちゃん	1989.8	
E_ISBNレス旧書	よろめき動物記	よろめき動物記	１９７７．５	
E_ISBNレス旧書	るんは風の中	るんは風の中	２００５	
E_ISBNレス旧書	オリオン137星	オリオン137星 : 宇宙空港 第二部	1956.11	
E_ISBNレス旧書	ガラスの脳	ガラスの脳	c2000	
E_ISBNレス旧書	サロメの唇	サロメの唇	1980.9	
E_ISBNレス旧書	ゼフィルス	タイガーブックス. 1 (ゼフィルス)	1976.9	
E_ISBNレス旧書	タイガー博士	タイガー博士	１９５２．１	
E_ISBNレス旧書	ダリとの再会	ダリとの再会	None	
E_ISBNレス旧書	ペックスばんざい	ペックスばんざい	1970	
E_ISBNレス旧書	世界を滅ぼす男	世界を滅ぼす男	2013.12	
E_ISBNレス旧書	化石人間	化石人間 = The fossil man	2013.12	
E_ISBNレス旧書	化石人間の逆襲	化石人間の逆襲	2013.12	
E_ISBNレス旧書	奇蹟の森のものがたり	奇蹟の森のものがたり : 漫画選書 5	1949.6.5	
E_ISBNレス旧書	孔雀貝	孔雀貝	1977.12	
E_ISBNレス旧書	宇宙空港	宇宙空港	1956.10	
E_ISBNレス旧書	山太郎かえる	山太郎かえる	２００５	
E_ISBNレス旧書	恐怖山脈	恐怖山脈 : 地球劇場 第一部	1957.1	
E_ISBNレス旧書	来るべき人類	来るべき人類	1956.8	
E_ISBNレス旧書	火星からきた男	火星からきた男 : 少年画報第五巻第七号七月号第一ふろく	1979.4	
E_ISBNレス旧書	狂った国境	狂った国境 : 地球劇場第三話	1957.3	
E_ISBNレス旧書	珍念と京ちゃん	珍念と京ちゃん[復刻]	2000.9	
E_ISBNレス旧書	白骨船長	白骨船長	1957.6	
E_ISBNレス旧書	荒野の弾痕	荒野の弾痕	1957.7	
E_ISBNレス旧書	複眼魔人	複眼魔人	1957.4	
