type	title	detail
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	処女姫	qid:Q11278817|name:処女姫
gate(近似題: 既存頁 gyakuten-baribaribaasu と包含一致=分裂/誤題疑い)	逆転バリバリバース	qid:Q113566045|name:逆転バリバリバース
gate(vol1不在(巻[3])=彼岸島型/分裂疑い)	ドッグ・タイムズ	qid:Q11653767|name:ドッグ・タイムズ
gate(vol1不在(巻[3])=彼岸島型/分裂疑い)	変幻戦忍アスカ	qid:Q11678103|name:変幻戦忍アスカ
gate(vol1不在(巻[3])=彼岸島型/分裂疑い)	最弱冒険者が【完全ドロップ】で現代最強	qid:Q16263946|name:最弱冒険者が【完全ドロップ】で現代最強
gate(vol1不在(巻[2026])=彼岸島型/分裂疑い)	心霊実況中継スペシャル	qid:Q18226168|name:心霊実況中継スペシャル
gate(近似題: 既存頁 strand と包含一致=分裂/誤題疑い)	ダストランド	qid:Q2279877|name:ダストランド
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	黒豹くんは食べちゃいたい。	qid:Q24873996|name:黒豹くんは食べちゃいたい。
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	あの島の海音荘	qid:Q3089616|name:あの島の海音荘
gate(近似題: 既存頁 snow-drop と包含一致=分裂/誤題疑い)	スノードロップ	qid:Q9079675|name:スノードロップ
gate(近似題: 既存頁 blank-space と包含一致=分裂/誤題疑い)	ブランクスペース補遺	qid:Q96273570|name:ブランクスペース補遺
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	35歳独身山田、異世界村に理想のセカンドハウスを作りたい	name:出雲大吉|name:35歳独身山田、異世界村に理想のセカンドハウスを作りたい
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	このキスは事故なのに色無しの私がなぜか最強の魔法使いにとらわれてます	name:7e|name:このキスは事故なのに色無しの私がなぜか最強の魔法使いにとらわれてます
gate(vol1不在(巻[4])=彼岸島型/分裂疑い)	ウィッチ・ハンド・クラフト	name:おちゃ芥|name:ウィッチ・ハンド・クラフト
gate(vol1不在(巻[8])=彼岸島型/分裂疑い)	ガベージブレイブ	name:なんじゃもんじゃ|name:ガベージブレイブ
gate(vol1不在(巻[4])=彼岸島型/分裂疑い)	ゾゾゾ(変)	name:タダノなつ|name:ゾゾゾ(変)
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	ドS社長はドM秘書をいじめたい	name:小此木葉っぱ|name:ドS社長はドM秘書をいじめたい
gate(近似題: 既存頁 news-tantei-conan と包含一致=分裂/誤題疑い)	ニュース探偵コナン	name:太田勝|name:ニュース探偵コナン
gate(近似題: 既存頁 platinum と包含一致=分裂/誤題疑い)	プラチナフォーク	name:ラプトル松田1999-|name:プラチナフォーク
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	侯爵家のいたって平和ないつもの食卓	name:すらだまみ|name:侯爵家のいたって平和ないつもの食卓
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	前世は人魚姫ですが、どうしても王子の執着から逃げられません	name:要まりこ|name:前世は人魚姫ですが、どうしても王子の執着から逃げられません
gate(vol1不在(巻[7])=彼岸島型/分裂疑い)	劣等人の魔剣使い	name:かのう寛人|name:劣等人の魔剣使い
gate(vol1不在(巻[10])=彼岸島型/分裂疑い)	悪役令嬢みたいに断罪されそうだったけど、全力で愛されてます!不幸な運命に「ざまぁ」しますわ!	name:たなこ|name:悪役令嬢みたいに断罪されそうだったけど、全力で愛されてます!不幸な運命に「ざまぁ」しますわ!
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵様 (お父様) の溺愛に気づく	name:あーもんど|name:愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵様 (お父様) の溺愛に気づく
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	極楽にはまだ早い	name:天野実樹|name:極楽にはまだ早い
gate(vol1不在(巻[4])=彼岸島型/分裂疑い)	異世界で愛されすぎて困ってます!	name:SyeriKaie|name:異世界で愛されすぎて困ってます!
gate(vol1不在(巻[6])=彼岸島型/分裂疑い)	百合SMでふたりの気持ちはつながりますか?	name:みら漫画家|name:百合SMでふたりの気持ちはつながりますか?
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	禁欲シェアハウス	name:早乙女戦狼|name:禁欲シェアハウス
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	至福の殺し屋ごはん	name:田中守|name:至福の殺し屋ごはん
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	貴方様が「忘れてほしい」とおっしゃいましたので	name:庭師|name:貴方様が「忘れてほしい」とおっしゃいましたので
gate(vol1不在(巻[2])=彼岸島型/分裂疑い)	逢魔ヶ時行方知れず	name:小松松子|name:逢魔ヶ時行方知れず
genpage(ヨミ不明(NDL/楽天とも無し))	たちのみっ!	qid:Q11380501|name:たちのみっ!
genpage(slug要レビュー(kana-num/review: golgo))	ゴルゴ1986	qid:Q2661273|name:ゴルゴ1986
genpage(ヨミ不明(NDL/楽天とも無し))	#ピンキースマイリーはバズりたい!	name:米野江稀一|name:#ピンキースマイリーはバズりたい!
genpage(slug要レビュー(kana-num/review: sanjuudai-ni-natta-watashi-wa-kyou-mo-nantoka-yatte-iru))	30代になった私は今日もなんとかやっている。	name:しっとり|name:30代になった私は今日もなんとかやっている。
genpage(ヨミ不明(NDL/楽天とも無し))	6年生なのに!	name:なのこ|name:6年生なのに!
genpage(ヨミ不明(NDL/楽天とも無し))	9年目の伏線回収	name:丸山ハシシ|name:9年目の伏線回収
genpage(ヨミ不明(NDL/楽天とも無し))	TS転生美少女音虎玲子は寝取られたい	name:二本目海老天マン|name:TS転生美少女音虎玲子は寝取られたい
genpage(slug要レビュー(kana-num/review: jinsei-konomama-de-ii-noka-zone-ni-totsunyuu-shita-node-sekai-sanjuurokkakoku-hitoritabi-shite-mita))	「人生このままでいいのかゾーン」に突入したので世界36カ国ひとり旅してみた	name:ヨハヌン|name:「人生このままでいいのかゾーン」に突入したので世界36カ国ひとり旅してみた
genpage(ヨミ不明(NDL/楽天とも無し))	がんばれ亭主!!	name:橋本博行|name:がんばれ亭主!!
genpage(ヨミ不明(NDL/楽天とも無し))	ぎゅーっと!アグレッション	name:吉川丁|name:ぎゅーっと!アグレッション
genpage(ヨミ不明(NDL/楽天とも無し))	ガールズ・スキャット・オーケストラ!	name:ゐぬゐ|name:ガールズ・スキャット・オーケストラ!
genpage(ヨミ不明(NDL/楽天とも無し))	メリーマリーミー!	name:大村あも|name:メリーマリーミー!
genpage(ヨミ不明(NDL/楽天とも無し))	一畳間まんきつ暮らし!アンソロジーコミック	name:ひさまくまこ|name:一畳間まんきつ暮らし!アンソロジーコミック
genpage(slug要レビュー(kana-num/review: love-taii-footeieito))	恋愛体位48	name:こうきくう|name:恋愛体位48
genpage(ヨミ不明(NDL/楽天とも無し))	捨てられたヤンデレ令嬢は最恐侯爵に激重アタック中!	name:葵日向|name:捨てられたヤンデレ令嬢は最恐侯爵に激重アタック中!
genpage(slug要レビュー(kana-num/review: tokyo-salad-bowl-sekando-dish-keishichouhen))	東京サラダボウル2nd dish-警視庁編-	name:黒丸1980-|name:東京サラダボウル2nd dish-警視庁編-
genpage(ヨミ不明(NDL/楽天とも無し))	海猫の泣く頃、君と港で	name:八重代七瑚|name:海猫の泣く頃、君と港で
genpage(slug要レビュー(kana-num/review: midara-na-yonpii-share-house-ravu-yon))	淫らな4PシェアハウスLove×4	name:こゆきまや|name:淫らな4PシェアハウスLove×4
genpage(ヨミ不明(NDL/楽天とも無し))	異世界転移から始まる女子寮ハーレム!?	name:みぃとばん|name:異世界転移から始まる女子寮ハーレム!?
genpage(ヨミ不明(NDL/楽天とも無し))	絶対どーしても楽していきたいっ!	name:如日やさか|name:絶対どーしても楽していきたいっ!
genpage(ヨミ不明(NDL/楽天とも無し))	腹黒聖女、拾ったケモミミ邪神と一緒に今日も悪を懲らしめます	name:冬島暮|name:腹黒聖女、拾ったケモミミ邪神と一緒に今日も悪を懲らしめます
genpage(ヨミ不明(NDL/楽天とも無し))	謎の職業【母乳テイマー】ってなんですか!?	name:沙和ゆず|name:謎の職業【母乳テイマー】ってなんですか!?
genpage(ヨミ不明(NDL/楽天とも無し))	骨に願いを、星に呪いを	name:育田花|name:骨に願いを、星に呪いを
